First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Initial external release,0,Experienced,https://github.com/aws/aws-cdk/pull/1,0,0,1,0,0,0,Organizational.
Correct instructions for using the superchain,0,Experienced,https://github.com/aws/aws-cdk/commit/b85fcbefadc889fed544b1c1ce29c252f5a6bb24,1,0,0,0,0,1,Organizational.
Minor usage imporvements!,0,Medior,https://github.com/aws/aws-cdk/pull/8,0,1,0,0,0,0,
aws-cdk-kinesis: Implement Kinesis Stream L2 construct. ,0,Experienced,https://github.com/aws/aws-cdk/pull/86,0,0,1,0,0,0,
Minor typo (docs),0,Experienced,https://github.com/aws/aws-cdk/pull/551,0,0,0,1,0,0,
"BREAKING: fix typo ""priviledged"" -> ""privileged""",0,Experienced,https://github.com/aws/aws-cdk/pull/734,1,0,0,0,0,1,
Updated @aws-cdk/aws-codecommit README.md to correct code typo,0,Medior,https://github.com/aws/aws-cdk/pull/780,0,0,0,1,0,0,
Fixed typo in writing-constructs document,0,Experienced,https://github.com/aws/aws-cdk/pull/1017,0,0,0,1,0,0,
docs: Fix incorrect method name,0,Experienced,https://github.com/aws/aws-cdk/pull/1106,0,0,0,1,0,0,
chore(apigateway): add missing tracingEnabled property to API Gateway Stage,0,Medior,https://github.com/aws/aws-cdk/pull/1482,0,1,0,0,0,0,
fix(codebuild): fix Project example with GithubSource ,0,Experienced,https://github.com/aws/aws-cdk/pull/1834,1,0,0,0,0,0,
ECS private registry support design,0,Experienced,https://github.com/aws/aws-cdk/pull/1737,0,0,1,1,0,0,
feat: Add python support to cdk init,0,Experienced,https://github.com/aws/aws-cdk/pull/2130,0,0,1,0,1,0,
feat: Adds NLB TLS Listener,0,Experienced,https://github.com/aws/aws-cdk/pull/2122,0,0,1,1,1,0,
chore(deps): bump lodash.template from 4.4.0 to 4.5.0,0,BOT,https://github.com/aws/aws-cdk/pull/3276,0,0,0,0,0,1,Organizational.
fix(README): fix invalid url in README,0,Experienced,https://github.com/aws/aws-cdk/pull/3296,0,0,0,1,0,0,
fix(cli): update bit.ly link to be directly to github,0,Experienced,https://github.com/aws/aws-cdk/pull/3782,0,0,0,1,0,0,
feat(ecs): add additional log drivers,0,Experienced,https://github.com/aws/aws-cdk/pull/3762,0,1,0,1,1,0,
feat(stepfunctions): add support for Map state,0,Medior,https://github.com/aws/aws-cdk/pull/4145,0,0,1,0,0,0,
feat(s3): onCloudTrailWriteObject matches all update events,0,Novice,https://github.com/aws/aws-cdk/pull/4723,0,0,1,0,0,0,
chore: fix author matching in Mergify configuration,0,Experienced,https://github.com/aws/aws-cdk/pull/4851,1,0,0,0,0,0,
feat(codebuild): support AL2 2.0 & Standard 3.0,0,Experienced,https://github.com/aws/aws-cdk/pull/5226,0,0,1,0,0,0,
chore(ecs): correct doc with proper comparison between launch types,0,Experienced,https://github.com/aws/aws-cdk/pull/5394,0,0,0,1,0,0,
"feat(ecs-patterns): healthyPercent on ALB, NLB, Fargate",0,Experienced,https://github.com/aws/aws-cdk/pull/4820,0,0,1,0,0,0,
feat(eks): EKS-Optimized AMI with GPU support for G4 instance,0,Experienced,https://github.com/aws/aws-cdk/pull/5479,0,0,1,0,0,1,
fix(docs) VPC: fromLookup() allows asymmetric vpc import,0,Novice,https://github.com/aws/aws-cdk/pull/5563,0,0,0,1,0,0,
feat(ec2): `VpcEndpointService` construct,0,Medior,https://github.com/aws/aws-cdk/pull/5498,0,0,1,0,0,0,
fix(route53): invalid import example in README,0,Medior,https://github.com/aws/aws-cdk/pull/5946,1,0,0,1,0,0,
feat(sns): support multiple tokens as url and email subscriptions,0,Novice,https://github.com/aws/aws-cdk/pull/6357,0,1,1,0,0,0,
feat(cloudformation): CloudFormation Resource Specification 11.1.0,0,Experienced,https://github.com/aws/aws-cdk/pull/6424,0,0,1,0,0,0,
