First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Update README.md ,0,Experienced,https://github.com/angular/angular/commit/d0333e43761603c9ce33ad1b19c71353d3faaa4b,0,0,0,1,0,0,
" fix(JsonPipe): marks json pipe as not pure Marked json pipe as not pure so that it runs all the time, reflecting changes on the object.",0,Experienced,https://github.com/angular/angular/commit/fc016b59dcf13161d0396bd868bcc4a6e5efce08,1,0,0,1,0,0,
docs(ng_class): Fix missing comma in example,0,Experienced,https://github.com/angular/angular/pull/8769,0,0,0,1,0,0,
feat(security): allow more HTML5 elements and attributes in sanitizers,0,Experienced,https://github.com/angular/angular/commit/6605eb30e9913e356f76752754e1c33221d3e9e4,0,1,0,0,0,0,
fix(UrlParser) stop setting default value 'true' (matrix params),0,Medior,https://github.com/angular/angular/pull/10946,1,0,0,0,0,0,
fix(compiler-cli): don't unnecessarily throw on StaticSymbols,0,Experienced,https://github.com/angular/angular/pull/12158,1,0,0,0,0,0,
feat(compiler): add id property to i18nMessage ,0,Experienced,https://github.com/angular/angular/commit/6dd52017652f0faab6ecb21fc4107c5fb669fb9b,0,0,1,0,0,0,
fix(aio): invalid formatting in architecure.md,0,Experienced,https://github.com/angular/angular/pull/18159,0,0,0,1,0,0,
docs(aio): typo in template-syntax guide,0,Medior,https://github.com/angular/angular/pull/18765,0,0,0,1,0,0,
"docs(aio): fix ""Error handling"" section in ""HttpClient""",0,Novice,https://github.com/angular/angular/pull/18821,0,0,0,1,0,0,
docs: delete duplicated word,0,Experienced,https://github.com/angular/angular/pull/21129,0,0,0,1,0,0,
docs(http): fix a typo in code comment,0,Novice,https://github.com/angular/angular/pull/22327,0,0,0,1,0,0,
remove redundant override of robots meta,0,Experienced,https://github.com/angular/angular/pull/23249,0,0,0,0,0,1,
styles(topMenu):space between .home and .hamburger,0,Medior,https://github.com/angular/angular/pull/23624,0,0,0,0,0,1,
docs(ivy): fix typo in STATUS.md ,0,Experienced,https://github.com/angular/angular/commit/e79b845a45466ec589776068226498cf204ab115,0,0,0,1,0,0,
"docs: update `lowercase` pipe example in ""AngularJS to Angular"" guide",0,Experienced,https://github.com/angular/angular/pull/24588,0,0,0,1,0,0,
docs(core): rephrase doc for Injector.get,0,Experienced,https://github.com/angular/angular/pull/24670,0,0,0,1,0,0,
fix(router): Fix _lastPathIndex in deeply nested empty paths,0,Experienced,https://github.com/angular/angular/pull/22394,1,0,0,0,0,0,
docs(http): fixed example unit test for error catching,0,Experienced,https://github.com/angular/angular/pull/25306,0,0,0,1,0,0,
docs: fix typo in bootstrapping guide,0,Medior,https://github.com/angular/angular/pull/25939,0,0,0,1,0,0,
feat(ivy): adding support for ngNonBindable attribute,0,Novice,https://github.com/angular/angular/pull/26119,0,0,1,0,0,0,
"docs: minor wording correction. ""use"" to ""user"".",0,Novice,https://github.com/angular/angular/pull/26452,0,0,0,1,0,0,
docs: Removing duplicate lines,0,Medior,https://github.com/angular/angular/pull/26754,0,0,0,1,0,0,
docs: correct https://angularconsole.com/ link,0,Novice,https://github.com/angular/angular/pull/26999,0,0,0,1,0,0,
docs(router): fix misnamed path,0,Experienced,https://github.com/angular/angular/pull/27879,0,0,0,1,0,0,
docs: add Justin Schwartzenberger to GDE page,0,Experienced,https://github.com/angular/angular/pull/29401,0,0,0,1,0,0,
docs: fixed typo on HttpParamsOptions,0,Experienced,https://github.com/angular/angular/pull/29930,0,0,0,1,0,0,
docs: fix naming miss and improve with anchor reference in router guide,0,Experienced,https://github.com/angular/angular/pull/30225,0,0,0,1,0,0,
docs: add kamil mysliwiec to GDE resources,0,Experienced,https://github.com/angular/angular/pull/30508,0,0,0,1,0,0,
docs: change screenshot in setup-local for version 9,0,Experienced,https://github.com/angular/angular/pull/33998,0,0,0,1,0,0,
