Issue,URL,Associated PR,Taken by New Developer? (0/1),Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Events page hasn't been updated. All events are in the past.,https://github.com/angular/angular/issues/34971,https://github.com/angular/angular/pull/35040,0,0,0,0,1,0,0,
Typo in Hierarchical Injectors Doc,https://github.com/angular/angular/issues/34953,https://github.com/angular/angular/pull/34968,1,0,0,0,1,0,0,
Missing item variable / item is not defined,https://github.com/angular/angular/issues/34762,https://github.com/angular/angular/pull/35212,1,0,0,0,1,0,0,"Multiple PRs, took first one for data."
A mistake in the docs - in the description of the Component Class section,https://github.com/angular/angular/issues/32948,https://github.com/angular/angular/pull/32971,1,0,0,0,1,0,0,
"The ""L"" letter should be lowercase in ""HTMLELement"" in docs",https://github.com/angular/angular/issues/32917,https://github.com/angular/angular/pull/32936,1,0,0,0,1,0,0,
"Missing space between ""Component"" and ""will"" in docs.",https://github.com/angular/angular/issues/32873,https://github.com/angular/angular/pull/32885,1,0,0,0,1,0,0,
Document how to bypass asset processing for CSS preprocessors,https://github.com/angular/angular/issues/32811,https://github.com/angular/angular/pull/32921,1,0,0,0,1,0,0,
"Missing the letter ""e"" in ""MDN HTMLTableCellElment"" in docs",https://github.com/angular/angular/issues/32803,https://github.com/angular/angular/pull/32805,0,0,0,0,1,0,0,
GDE list at angular.io is outdated,https://github.com/angular/angular/issues/31992,https://github.com/angular/angular/pull/35925,0,0,0,0,1,0,0,
description and code class names don't match,https://github.com/angular/angular/issues/31781,https://github.com/angular/angular/pull/31815,1,0,0,0,1,0,0,
Docs: Testing guide recommends older version of node for Travis CI setup,https://github.com/angular/angular/issues/31185,https://github.com/angular/angular/pull/31192,1,0,0,0,1,0,0,
Add https://blog.angularindepth.com/ to Community Curations section,https://github.com/angular/angular/issues/31167,https://github.com/angular/angular/pull/31212,1,0,0,0,1,0,0,
Typo in Corporate Proxy under Proxying to a Backend Server,https://github.com/angular/angular/issues/31090,https://github.com/angular/angular/pull/31093,0,0,0,0,1,0,0,
Constructor or variable initialization snippet does not compile,https://github.com/angular/angular/issues/30730,https://github.com/angular/angular/pull/30845,1,0,0,0,1,0,0,
The tooltip of 'Events' link in the footer of angular.io is wrong,https://github.com/angular/angular/issues/30480,https://github.com/angular/angular/pull/30643,1,0,0,0,1,0,0,
Docs: Remove mention of Chrome 41 for differential loading,https://github.com/angular/angular/issues/30387,https://github.com/angular/angular/pull/30390,1,0,0,0,1,0,0,
Docs: Example for minutes and seconds using date pipe doesn't match,https://github.com/angular/angular/issues/30281,https://github.com/angular/angular/pull/30295,0,0,0,0,1,0,0,
Angular Guide: 'Dynamic Components' section should come before 'Angular Elements',https://github.com/angular/angular/issues/30268,https://github.com/angular/angular/pull/30521,0,0,0,0,1,0,0,
Docs: Reactive forms guide lists incorrect fields,https://github.com/angular/angular/issues/29925,https://github.com/angular/angular/pull/30007,1,0,0,0,1,0,0,
remove 0 from src/app/user.service.0.ts from Singleton Service exampe,https://github.com/angular/angular/issues/29862,https://github.com/angular/angular/pull/30097,1,0,0,0,1,0,0,
Docs: Getting started pages don't show hamburger menu on desktop,https://github.com/angular/angular/issues/29773,https://github.com/angular/angular/pull/29791,1,0,0,0,1,0,0,
Wrong code sample for directive's outputs attribute,https://github.com/angular/angular/issues/29523,https://github.com/angular/angular/pull/31199,0,0,0,0,1,0,0,
Build guide could be more clear about where to create proxy.conf.json,https://github.com/angular/angular/issues/29337,https://github.com/angular/angular/pull/30099,0,0,0,0,1,0,0,
Can we update this line to be more inclusive?,https://github.com/angular/angular/issues/25643,https://github.com/angular/angular/pull/29972,1,0,0,0,1,0,0,
Explain the newEvent helper function used in the live example of Testing docs,https://github.com/angular/angular/issues/23370,https://github.com/angular/angular/pull/25975,1,0,0,0,1,0,0,"Multiple PRs, took first one for data."
