First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
changed syntax highlighting code to javascript,0,Experienced,https://github.com/daneden/animate.css/pull/49,0,0,0,0,0,1,
BugFix on rotateOutUpLeft keyframes without vendor prefix,0,Medior,https://github.com/daneden/animate.css/pull/52,1,0,0,0,0,0,
Fix indentation in config file,0,Medior,https://github.com/daneden/animate.css/pull/133,0,0,0,0,0,1,
sh code highlighing,0,UNCERTAIN,https://github.com/daneden/animate.css/pull/148,0,0,0,1,0,0,Developer has tampered with their commits to display an image.
Added slideInUp animation,0,Medior,https://github.com/daneden/animate.css/pull/189,0,0,1,0,0,0,
Flipped flip,0,Experienced,https://github.com/daneden/animate.css/pull/217,0,0,0,0,0,1,
Fixed typo error in rotateOutDownLeft. Fixes #246,0,Experienced,https://github.com/daneden/animate.css/pull/255,1,0,0,0,0,0,
Tiny typo in animate-config.json,0,Experienced,https://github.com/daneden/animate.css/pull/270,1,0,0,0,0,0,
Adding repository field,0,Experienced,https://github.com/daneden/animate.css/pull/336,0,1,0,0,0,0,
Update README.md,0,Medior,https://github.com/daneden/animate.css/pull/359,0,0,0,1,0,0,
Use translate3d instead of translateY or translateX,0,Experienced,https://github.com/daneden/animate.css/pull/375,0,0,0,0,0,1,
"""jello animation""",0,Novice,https://github.com/daneden/animate.css/pull/398,0,0,1,0,0,0,
replaced 0% keyframes with 'from' keyword,0,Experienced,https://github.com/daneden/animate.css/pull/451,1,0,0,0,0,1,
Automatically generate the banner,0,Experienced,https://github.com/daneden/animate.css/pull/487,0,0,1,0,0,1,
specify npm main field,0,Medior,https://github.com/daneden/animate.css/pull/491,0,0,0,0,0,1,Organizational.
LICENSE file added,0,Medior,https://github.com/daneden/animate.css/pull/525,0,0,0,1,0,0,
Add a custom jQuery function in the README,0,Experienced,https://github.com/daneden/animate.css/pull/531,0,0,0,1,0,0,
Updated Readme.md,0,Medior,https://github.com/daneden/animate.css/pull/549,0,0,0,1,0,0,
[bower.json] source dir removed from the ignore array ,0,Novice,https://github.com/daneden/animate.css/pull/550,0,0,0,0,0,1,
add npm installation to readme,0,Medior,https://github.com/daneden/animate.css/pull/594,0,0,0,1,0,0,
Replace unnecessary jQuery $(this) to this,0,Experienced,https://github.com/daneden/animate.css/pull/605,0,0,0,0,0,1,
updated CDN on the Readme.md ,0,Novice,https://github.com/daneden/animate.css/pull/626,0,0,0,1,0,0,
fix headings,0,Experienced,https://github.com/daneden/animate.css/pull/685,1,0,0,0,0,1,
update readme.md,0,Medior,https://github.com/daneden/animate.css/pull/709,0,0,0,1,0,0,
Add Prettier,0,Experienced,https://github.com/daneden/animate.css/pull/762,0,0,1,0,0,0,
Add CDNJS version badge in readme,0,Experienced,https://github.com/daneden/animate.css/pull/643,0,0,0,1,0,0,
Add Heart-Beat animation,0,Experienced,https://github.com/daneden/animate.css/pull/830,0,0,1,0,0,0,
add yarn in readme.md,0,Experienced,https://github.com/daneden/animate.css/pull/865,0,0,0,1,0,0,
Turn off animations for print media query (#856),0,Novice,https://github.com/daneden/animate.css/pull/881,0,1,0,0,0,1,
HTTPS link to opensource.org/licenses/MIT,0,Experienced,https://github.com/daneden/animate.css/pull/943,0,0,0,1,0,0,
