First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
[css2] added TODO entries from whiteboard discussions with Bert ,0,Experienced,https://github.com/w3c/csswg-drafts/commit/f9464a8928677c5eb0deee19b00076da63d621ad,0,0,0,1,0,0,
first time commit. ,0,Experienced,https://github.com/w3c/csswg-drafts/commit/f8d948a698b702d73bb830a5789031b822167d5d,0,0,1,0,0,0,Organizational.
 - 'This version' links to the current version of this specification instead of CSS3 2D Transforms now.,0,Experienced,https://github.com/w3c/csswg-drafts/commit/b65e28bf90cfc9245c47af8bd55bdb95f3f75137,1,0,0,1,0,0,
Fix typo. ,0,Experienced,https://github.com/w3c/csswg-drafts/commit/69422623e33aa842ebe936799dac0b4a9f9902a2,0,0,0,1,0,0,
[css-grid] Fix typo: gridDefinitionColumns vs gridTemplateColumns,0,Experienced,https://github.com/w3c/csswg-drafts/pull/7,0,0,0,1,0,0,
[css-page-floats] map left/right to line-left/right for inline elements and clarify position of anchor,0,Experienced,https://github.com/w3c/csswg-drafts/pull/23,0,1,0,0,0,0,
Moving css3 table from my github to the CSS repo. ,0,Experienced,https://github.com/w3c/csswg-drafts/commit/a4e196661506d1ef581c868a7b7256cf9226858a,0,0,1,0,0,0,
Fixed link to Selectors Level 4 Working Draft,0,Experienced,https://github.com/w3c/csswg-drafts/pull/199,0,0,0,1,0,0,
[selectors] Add a missing equals sign,0,Novice,https://github.com/w3c/csswg-drafts/pull/405,0,1,0,0,0,0,
[css-transforms-2] Transform properties apply to transformable elements,0,Experienced,https://github.com/w3c/csswg-drafts/pull/705,0,1,0,0,0,0,
Don't <dfn> Promise. WebIDL already does that.,0,Experienced,https://github.com/w3c/csswg-drafts/pull/1023,0,0,0,0,0,1,
[css-content] Fix syntaxes according to CSS Values and Units grammar,0,Experienced,https://github.com/w3c/csswg-drafts/pull/1381,1,0,0,0,0,0,
[css-ui] Fixed a typo,0,Experienced,https://github.com/w3c/csswg-drafts/pull/1558,0,0,0,1,0,0,
[css-box] fix ex.12 'margin-bottom' -> 'margin',0,Medior,https://github.com/w3c/csswg-drafts/pull/1647,1,0,0,0,0,0,
"Related to #1821, the change to ""check if two code points are a valid escape"" makes part of ""consume an escaped code point"" unreachable.",0,Experienced,https://github.com/w3c/csswg-drafts/pull/1836,0,0,0,1,0,0,
Export definition of math functions,0,Experienced,https://github.com/w3c/csswg-drafts/pull/2236,0,0,0,0,0,1,
[selectors-4] :nth-*-child(n of S) selectors should be Level 3/4,0,Experienced,https://github.com/w3c/csswg-drafts/pull/2264,0,0,0,0,0,1,
[css-env-1] Define safe area inset variables #2629,0,Medior,https://github.com/w3c/csswg-drafts/pull/2807,0,0,1,0,0,0,
Migrate spatial navigation,0,Experienced,https://github.com/w3c/csswg-drafts/pull/3324,0,0,1,0,0,0,Organizational.
"#2319 Add pull request template, w3c cepc, and shift some text around",0,Experienced,https://github.com/w3c/csswg-drafts/pull/2320,0,0,0,1,0,0,Organizational.
[css-images-3] Fix typo,0,Medior,https://github.com/w3c/csswg-drafts/pull/3100,0,0,0,1,0,0,
refactor(css‑variables): Simplify `var()` function syntax definition,0,Experienced,https://github.com/w3c/csswg-drafts/pull/3485,0,0,0,0,0,1,
[css-images-4] Fix gradient color stop syntax,0,Experienced,https://github.com/w3c/csswg-drafts/pull/3657,1,0,0,0,0,0,
🐛 FIX: Typos & Grammar,0,Experienced,https://github.com/w3c/csswg-drafts/pull/3717,0,0,0,1,0,0,
"Correct spelling of `id=""scollbar-gutter-property""`",0,Experienced,https://github.com/w3c/csswg-drafts/pull/4289,0,0,0,1,0,0,
[css-writing-modes-3] Fix typo #4293,0,Experienced,https://github.com/w3c/csswg-drafts/pull/4294,0,0,0,1,0,0,
"[css-syntax] make ""plus sign"" match other 2 items",0,Experienced,https://github.com/w3c/csswg-drafts/pull/4473,0,0,0,0,0,1,
"added adam as an editor, updated una's information ",0,Experienced,https://github.com/w3c/csswg-drafts/commit/7acf6f670b9b08d7639c90501b968f99de7b1246,0,0,0,1,0,0,
add color-adjust function with example ,0,Experienced,https://github.com/w3c/csswg-drafts/commit/0101c5a65b15cf68498a65ff505911360f866ea5,0,0,1,0,0,0,
Adding of video-* properties and dynamic-range to handle bi-plane scenarios,0,Experienced,https://github.com/w3c/csswg-drafts/pull/4678,0,0,1,0,0,0,
