First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Carbon::parse PHPDoc @return added,0,Novice,https://github.com/briannesbitt/Carbon/pull/31,0,0,0,1,0,0,
Added isSameDay,0,Medior,https://github.com/briannesbitt/Carbon/pull/75,0,0,1,0,0,0,
Fixed issue with isPast() returning true for now(),0,Experienced,https://github.com/briannesbitt/Carbon/pull/142,1,0,0,0,1,0,
Updated Testing,0,Experienced,https://github.com/briannesbitt/Carbon/pull/144,0,0,0,0,1,1,
Added function diffInHoursFiltered to filter a Date period by hours,0,Experienced,https://github.com/briannesbitt/Carbon/pull/227,0,0,1,0,0,0,
Add / Subtract months with no overflow,0,Experienced,https://github.com/briannesbitt/Carbon/pull/239,1,1,0,0,0,1,
Ternary expression,0,Experienced,https://github.com/briannesbitt/Carbon/pull/260,0,0,0,0,0,1,
Turkish translation,0,Novice,https://github.com/briannesbitt/Carbon/pull/277,0,0,0,1,1,0,
Updated LT translation,0,Novice,https://github.com/briannesbitt/Carbon/pull/340,0,0,0,1,0,0,
New lang file for Uzbek language,0,Novice,https://github.com/briannesbitt/Carbon/pull/370,0,0,0,1,0,0,
Latvian translations added,0,Novice,https://github.com/briannesbitt/Carbon/pull/382,0,0,0,1,0,0,
Fix arabic translation,0,Novice,https://github.com/briannesbitt/Carbon/pull/397,0,0,0,0,0,1,
Fix Dutch translation for years,0,Experienced,https://github.com/briannesbitt/Carbon/pull/537,1,0,0,1,0,0,
"Add getter to test for ""long years""",0,Experienced,https://github.com/briannesbitt/Carbon/pull/561,0,0,1,0,0,0,
Fix mistype,0,Novice,https://github.com/briannesbitt/Carbon/commit/a0a0e79e0945593b67a0883598417a0b371199d4,1,0,0,1,0,0,
Tr translate fix,0,Experienced,https://github.com/briannesbitt/Carbon/pull/620,1,0,0,1,0,0,
German Short Texts according to DIN 1355-1,0,Experienced,https://github.com/briannesbitt/Carbon/pull/746,1,0,0,1,1,0,
Fix typo in fromSerialized() method comments,0,Medior,https://github.com/briannesbitt/Carbon/pull/1029,0,0,0,1,0,0,
Added createFromTimestampMs method to parse timestamps in milliseconds.,0,Experienced,https://github.com/briannesbitt/Carbon/pull/988,0,0,1,0,0,0,
Add Serbian (Cyrillic) Language,0,Novice,https://github.com/briannesbitt/Carbon/pull/972,0,0,0,1,0,0,
Add compare method to ComposerInterval,0,Medior,https://github.com/briannesbitt/Carbon/commit/c2103db76dfd43e8b1e1f0ede9124d41e0acb2da,0,1,1,0,1,0,
Extra helpers,0,Experienced,https://github.com/briannesbitt/Carbon/pull/1151,0,0,1,0,1,1,
Added isDayOfWeek(int) method,0,Experienced,https://github.com/briannesbitt/Carbon/pull/993,0,0,1,0,1,0,
Add diff translations for Spanish,0,Experienced,https://github.com/briannesbitt/Carbon/pull/1283,0,1,0,1,0,0,
Added rest of translations in Azerbaijani.,0,Medior,https://github.com/briannesbitt/Carbon/pull/1392,0,0,0,1,0,0,
fix exception message,0,Medior,https://github.com/briannesbitt/Carbon/pull/1398,1,0,0,0,0,1,
Remove the JsonSerializable interface and prevent composer validate warning,0,Experienced,https://github.com/briannesbitt/Carbon/pull/1450,1,0,0,0,0,0,
require JSON extension,0,Experienced,https://github.com/briannesbitt/Carbon/pull/1461,0,0,0,0,0,1,
#1756 Add a parseFromLocale method to the CarbonInterval class,0,Experienced,https://github.com/briannesbitt/Carbon/pull/1765,0,0,1,0,0,0,
always use non-deprecated translation method,0,Experienced,https://github.com/briannesbitt/Carbon/pull/2019,0,1,0,0,0,1,
