First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Initial commit,0,Experienced,https://github.com/Dreamacro/clash/commit/85327183459eb7e0cebe8f6ba12d6ebb56efd2ac,0,0,0,1,0,0,Organizational.
Add license scan report and status,0,BOT,https://github.com/Dreamacro/clash/pull/1,0,0,0,1,0,0,
Fix: a typo error,0,Experienced,https://github.com/Dreamacro/clash/pull/14,0,0,0,1,0,0,
Chore: clean up Dockerfile,0,Medior,https://github.com/Dreamacro/clash/pull/17,0,0,0,0,0,1,
"Update: add tls, sni options to socks5 outbound adapter",0,Experienced,https://github.com/Dreamacro/clash/pull/22,0,1,0,0,0,0,
FreeBSD compatibility patch,0,Experienced,https://github.com/Dreamacro/clash/pull/63,0,1,0,0,0,0,
Fix: allow access to external-ui without authentication,0,Experienced,https://github.com/Dreamacro/clash/pull/75,1,0,0,0,0,1,
makefile add freebsd support,0,Medior,https://github.com/Dreamacro/clash/pull/80,0,1,0,0,0,0,
Add more platform to Makefile,0,Experienced,https://github.com/Dreamacro/clash/pull/83,0,1,0,0,0,0,
Add GitBook link in README.md,0,Experienced,https://github.com/Dreamacro/clash/pull/155,0,0,0,1,0,0,
docs: typo in log.Info,0,Experienced,https://github.com/Dreamacro/clash/pull/166,0,0,0,1,0,0,
make the proxies order the same as the order in config file ,0,Experienced,https://github.com/Dreamacro/clash/pull/180,0,0,0,0,0,1,
fix misspelling,0,Medior,https://github.com/Dreamacro/clash/pull/182,0,0,0,1,0,1,
fix fake ip dns ttl,0,Experienced,https://github.com/Dreamacro/clash/pull/187,1,0,0,0,0,1,
fix: DNS server not recreate correctly,0,Experienced,https://github.com/Dreamacro/clash/pull/186,1,0,0,0,0,0,
Use original sequence for urltest group,0,Medior,https://github.com/Dreamacro/clash/pull/201,0,0,0,0,0,1,
Use 'dns' for ALPN in tcp-tls nameServer,0,Novice,https://github.com/Dreamacro/clash/pull/209,0,0,0,0,0,1,
Feature: local socks5/http(s) server auth,0,Experienced,https://github.com/Dreamacro/clash/pull/216,0,0,1,0,0,0,
use lower case cipher format,0,Novice,https://github.com/Dreamacro/clash/pull/238,0,0,0,0,0,1,
Fix: Fully Socks5 UDP Associate Support,0,Experienced,https://github.com/Dreamacro/clash/pull/233,1,0,0,0,0,1,
Feature: add mipsle-softfloat,0,Novice,https://github.com/Dreamacro/clash/pull/240,0,0,1,0,0,0,
fix typo,0,Experienced,https://github.com/Dreamacro/clash/pull/246,0,0,0,1,0,0,
Feature: trace adapters when dialing,0,Experienced,https://github.com/Dreamacro/clash/pull/170,0,1,0,0,0,0,
"Fix: HTTP Status Code `100 Continue` support""",0,Experienced,https://github.com/Dreamacro/clash/pull/288,1,0,0,0,0,0,
fix: UDP socks listener not stop with zero port,0,Novice,https://github.com/Dreamacro/clash/pull/355,1,0,0,0,0,0,
Some code improvements,0,Medior,https://github.com/Dreamacro/clash/pull/361,0,0,0,0,0,1,
Feature: specify config file in cli,0,Experienced,https://github.com/Dreamacro/clash/pull/360,0,0,1,0,0,0,
Increase DNS timeout,0,Experienced,https://github.com/Dreamacro/clash/pull/464,0,0,0,0,0,1,
Chore: fix typo,0,Experienced,https://github.com/Dreamacro/clash/pull/490,1,0,0,0,0,0,
