First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
First step at getting rid of anonymous blocks and continuations.,0,Experienced,https://github.com/flutter/flutter/commit/85817b24a05bbef07e7dbee30740fab7e6226126,1,0,0,0,0,1,
"In EditableText, wrap the placeholder text in a Row so it will expand…",0,Experienced,https://github.com/flutter/flutter/commit/80b2c1732af07952caaa438c4fc580e38ffcaa0b,0,1,0,0,1,0,
Surface elevation shadow colour on Material,0,Experienced,https://github.com/flutter/flutter/pull/12881,0,1,0,0,0,0,
Allow Flutter tool to be vendored as a submodule,0,Experienced,https://github.com/flutter/flutter/pull/14157,0,0,1,0,0,0,
Fix misspelling in tab description,0,Experienced,https://github.com/flutter/flutter/pull/15449,1,0,0,0,0,0,
Fix segmented control golden tests,0,Medior,https://github.com/flutter/flutter/pull/18695,0,0,0,0,1,0,
Add some options to format subcommand,0,Experienced,https://github.com/flutter/flutter/pull/18360,0,1,0,0,0,0,
Fix ThemeData's cursorColor doesn't work.,0,Experienced,https://github.com/flutter/flutter/pull/21142,1,0,0,0,0,0,
Implement Double Tap Handling in TextField and Editable,0,Medior,https://github.com/flutter/flutter/pull/21264,0,0,1,0,0,0,
Finalize editing when hitting the enter key on a single line TextField,0,Medior,https://github.com/flutter/flutter/pull/23015,0,1,0,0,0,0,
Update README.md,0,Experienced,https://github.com/flutter/flutter/pull/23760,0,0,0,1,0,0,
Fix project directory has spaces lead to compile error,0,Novice,https://github.com/flutter/flutter/pull/23817,1,0,0,0,0,0,
CupertinoTextField: added ability to change placeholder color,0,Experienced,https://github.com/flutter/flutter/pull/28001,0,1,0,0,0,0,
Added opacity to cupertino switch when disabled,0,Novice,https://github.com/flutter/flutter/pull/29451,0,1,0,0,0,0,
remove unnecessary artificial delay in catalog example,0,Experienced,https://github.com/flutter/flutter/pull/31822,1,0,0,0,0,1,
Fix text selection toolbar appearing under obstructions,0,Medior,https://github.com/flutter/flutter/pull/29809,1,0,0,0,0,0,
Fixed LicensePage to close page before loaded the License causes an error,0,Experienced,https://github.com/flutter/flutter/pull/34907,1,0,0,0,0,0,
use common emulator/device list,0,Experienced,https://github.com/flutter/flutter/pull/38296,0,0,0,0,1,0,
PlatformView: recreate surface if the controller changes,0,Medior,https://github.com/flutter/flutter/pull/40280,0,1,0,0,0,1,
Add `smallestScreenSize` to `android:configChanges` in the Android manifest template,0,Experienced,https://github.com/flutter/flutter/pull/43245,0,1,0,0,0,0,
Fix chip ripple bug — No longer two ripples,0,Medior,https://github.com/flutter/flutter/pull/42779,1,0,0,0,0,0,
[Chip] Make sure InkResponse is in the foreground on delete for chips with background color,0,Medior,https://github.com/flutter/flutter/pull/41463,1,0,0,0,0,0,
Typo on comments,0,Novice,https://github.com/flutter/flutter/pull/44076,0,0,0,1,0,0,
Update create.dart,0,Medior,https://github.com/flutter/flutter/pull/43764,0,0,0,0,0,1,
Add textScaleFactor to SelectableText,0,Experienced,https://github.com/flutter/flutter/pull/44682,0,1,0,0,0,0,
Change video_demo slightly so it works on web.,0,Experienced,https://github.com/flutter/flutter/pull/46719,0,0,0,0,0,1,
Flexible padding (header height) for expanded panels,0,Experienced,https://github.com/flutter/flutter/pull/47951,0,1,0,0,0,0,
Fix comment typo,0,Experienced,https://github.com/flutter/flutter/pull/49129,0,0,0,1,0,0,
"Revert ""Do not rebuild Routes when a new opaque Route is pushed on top""",0,Experienced,https://github.com/flutter/flutter/pull/49366,0,0,0,0,0,1,Revert of earlier contribution.
Update cupertino_icons dependency version in pubspec.yaml template,0,Experienced,https://github.com/flutter/flutter/pull/50479,0,0,0,0,0,1,Organizational.
