First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Fix typos and spacings,0,Novice,https://github.com/thedaviddias/Front-End-Checklist/pull/2,1,0,0,0,0,0,
Corrected the comment for x-ua-compatible. ,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/4,1,0,0,0,0,0,
Add alternative favicon generator,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/6,0,0,0,1,0,0,
Type fix: disfunction --> dysfunction,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/13,1,0,0,0,0,0,
Fix Misspellings of 'repercussions' and 'dysfunction',0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/16,1,0,0,0,0,0,
Fixed typos with Weight Page section,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/19,1,0,0,0,0,0,
added useful links for sitemaps,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/44,0,0,0,1,0,0,
Fix link from Table of Contents to Performance,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/52,1,0,0,0,0,0,
"Fix some typos, grammar and formatting issues",0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/55,1,0,0,0,0,0,
Remove pipe from MDN page links,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/60,1,0,0,0,0,0,
Add a Gitter chat badge to README.md,0,BOT,https://github.com/thedaviddias/Front-End-Checklist/pull/64,0,0,0,1,0,0,
Update README.md to not assume gender,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/73,0,0,0,1,0,0,
Add bullets to all resources,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/87,0,0,0,0,0,1,
Added reference to schema.org,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/89,0,0,0,1,0,0,
amended image width and height suggestion,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/96,0,0,0,1,0,0,
fix(images): fix typo,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/101,1,0,0,0,0,0,
Made critical CSS section more independent,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/102,0,0,0,0,0,1,
Adding Facebook image sharing height and width.,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/109,0,1,0,0,0,0,
feat: codeguide added to CSS note,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/112,0,0,0,1,0,0,
Fixed Minor typo #110 in Title Description,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/121,1,0,0,0,0,0,
Added useful link,0,Novice,https://github.com/thedaviddias/Front-End-Checklist/pull/122,0,0,0,1,0,0,
Fix charset grammar,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/129,1,0,0,0,0,0,
Activating Open Collective,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/141,0,0,0,1,0,0,
use svg,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/147,0,0,0,0,0,1,
Update README.md,0,Novice,https://github.com/thedaviddias/Front-End-Checklist/pull/148,0,0,1,0,0,0,
delete duplicate 'Sitemap HTML' in SEO and correct sum other small errors,0,Novice,https://github.com/thedaviddias/Front-End-Checklist/pull/195,1,0,0,0,0,1,
Moved translations section to the top,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/198,0,0,0,0,0,1,
Additions to image optimization section,0,Medior,https://github.com/thedaviddias/Front-End-Checklist/pull/200,0,0,0,1,0,0,
add purgecss,0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/214,0,0,0,1,0,0,
"Remove ""role"" items from accessibility section",0,Experienced,https://github.com/thedaviddias/Front-End-Checklist/pull/217,0,0,0,0,0,1,
