First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Fix link list ,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/1,1,0,0,0,0,0,
Fix typos,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/2,0,0,0,1,0,0,
update open issues link in contribution md,0,Medior,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/3,0,0,0,1,0,0,
Delete .DS_Store,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/4,0,0,0,0,0,1,Organizational.
Fix typos and grammar,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/6,0,0,0,1,0,0,
Add calibre,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/8,0,1,0,0,0,0,
"Changed css example ""concatenation""",0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/22,0,0,0,0,0,1,
Update README.md,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/29,0,0,0,1,0,0,
simplify readme,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/27,0,0,0,1,0,0,
Add ???? French translation,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/33,0,0,1,0,0,0,
fix(typo): connexion => network connection,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/53,1,0,0,0,0,0,
"Finish explaining why rel=""preconnect"" is important ",0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/54,0,1,0,0,0,0,
Add SVG optimization link,0,Medior,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/56,0,0,0,1,0,0,
Add treo.sh,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/64,0,0,0,1,0,0,
Update wording for iframes section,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/66,0,0,0,1,0,0,
Updated Performance tools,0,Novice,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/67,0,0,0,1,0,0,
Adding angular performance checklist,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/69,0,0,0,1,0,0,
Add Checkbot guide and browser extension,0,Medior,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/72,0,0,0,1,0,0,
Added Yellowlabs,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/73,0,0,0,1,0,0,
Adds Project Wallace to CSS analysis tools,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/77,0,0,0,1,0,0,
Removed varvy performance tool duplicate,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/78,1,0,0,0,0,0,
Fix a couple typos,0,Novice,https://github.com/MakelaM/Front-End-Performance-Checklist/pull/1,0,0,0,1,0,0,"From a fork of the repository, approved into main."
Update Vietnamese version,0,Medior,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/83,0,0,1,0,0,0,
Add DebugBear,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/85,0,0,0,1,0,0,
Add section for pre-load ressources,1,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/87,0,0,0,1,0,0,
Add reference to ImageEngine Demo test,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/88,0,0,0,1,0,0,
Add packtracker.io to Tools section,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/89,0,0,0,1,0,0,
docs: fix typo,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/90,1,0,0,1,0,0,
Add link to js-dependency-viewer tool ,0,Medior,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/92,0,0,0,1,0,0,
Update README.md,0,Experienced,https://github.com/thedaviddias/Front-End-Performance-Checklist/pull/93,0,0,0,1,0,0,
