First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Initial import for EFL abstraction to create an app window ,0,Experienced,https://github.com/fyne-io/fyne/commit/9255e2c912a195b576f31e934b36cad49303e0e9,0,0,1,0,0,1,Organizational.
Prevent text entry from going out of bounds when backspacing text,0,Experienced,https://github.com/fyne-io/fyne/pull/15,1,0,0,0,0,0,
New loop,0,Experienced,https://github.com/fyne-io/fyne/pull/19,0,1,0,0,0,1,
add widget entry password support,0,Experienced,https://github.com/fyne-io/fyne/pull/37,0,1,0,0,0,0,
Adds dependencies to the README.md,0,Experienced,https://github.com/fyne-io/fyne/pull/52,0,0,0,1,0,0,
Fix demo build example in README,0,Experienced,https://github.com/fyne-io/fyne/pull/66,0,0,0,1,0,0,
Create target as executable.,0,Medior,https://github.com/fyne-io/fyne/pull/71,0,0,0,0,0,1,
Bring the dependencies into the prerequisites,0,Experienced,https://github.com/fyne-io/fyne/pull/76,0,0,0,1,0,0,
Change OpenURL to use a URL and return error,0,Experienced,https://github.com/fyne-io/fyne/pull/104,0,0,0,0,0,1,
Add function to change the checked state,0,Experienced,https://github.com/fyne-io/fyne/pull/113,0,0,1,0,0,0,
Reduce godoc stutter,0,Experienced,https://github.com/fyne-io/fyne/pull/118,1,0,0,0,0,0,
Made a sentence more clear in ReadMe,0,Novice,https://github.com/fyne-io/fyne/pull/167,0,0,0,1,0,0,
Fix errors in README.md,0,Novice,https://github.com/fyne-io/fyne/pull/173,0,0,0,1,0,0,
Unfocus the currently focused object when another object is clicked,1,Experienced,https://github.com/fyne-io/fyne/pull/177,1,0,0,0,0,0,
Rewrite if-else-if-else to switch statements,0,Experienced,https://github.com/fyne-io/fyne/pull/184,0,0,0,0,0,1,
Bugfix/scroll container,0,Experienced,https://github.com/fyne-io/fyne/pull/260,1,0,0,0,0,0,
Scroller's bar can now be dragged to scroll content,0,Experienced,https://github.com/fyne-io/fyne/pull/269,0,1,0,0,0,0,
Always execute certain event callbacks serially,0,Experienced,https://github.com/fyne-io/fyne/pull/335,0,0,0,0,0,1,
typo fix,0,Medior,https://github.com/fyne-io/fyne/pull/363,0,0,0,1,0,0,
widget/entry/: added right-click-paste feature,0,Medior,https://github.com/fyne-io/fyne/pull/388,0,0,1,0,0,0,
fix paste popup position to equal cursor position,0,Experienced,https://github.com/fyne-io/fyne/pull/397,1,0,0,0,0,0,
Added Slider Widget ,0,Medior,https://github.com/fyne-io/fyne/pull/392,0,0,1,0,0,0,
Update information.go ,0,Novice,https://github.com/fyne-io/fyne/pull/450,0,0,0,1,0,0,
Update mobile readme,0,Experienced,https://github.com/fyne-io/fyne/pull/494,0,0,0,1,0,0,
Optimize png images and svg images - WIP,0,Experienced,https://github.com/fyne-io/fyne/pull/529,0,0,0,0,0,1,
Added some dynamics to tabcontainer,0,Experienced,https://github.com/fyne-io/fyne/commit/b27ad4be814246e30362483d9f2ee774851f15fc,0,1,0,0,0,0,
Fix packaging failure on windows,0,Experienced,https://github.com/fyne-io/fyne/commit/f8e2b48639beb1bf4b28af4b08d39f27a5f7396b,1,0,0,0,0,0,
Fix grammar in CONTRIBUTING.md,0,Experienced,https://github.com/fyne-io/fyne/pull/705,0,0,0,1,0,0,
Only trigger DoubleTapped if the tap before occured on the same canva…,0,Experienced,https://github.com/fyne-io/fyne/commit/99b37a9ad083670ace1a711322c49f672203e11f,1,0,0,0,0,1,
