First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
fixed typo,0,Experienced,https://github.com/gogs/gogs/pull/90,0,0,0,1,0,0,
Install: Set the default host string based on database type ,0,Experienced,https://github.com/gogs/gogs/pull/143,0,1,0,0,0,1,
"add supervisor support and script, easy to use",0,Medior,https://github.com/gogs/gogs/pull/175,0,1,0,0,0,1,Organizational
Enable package building on EL6,0,Experienced,https://github.com/gogs/gogs/pull/612,0,0,0,0,0,1,Organizational
Use the avatar.HashEmail function instead of hashing email directly.,0,Medior,https://github.com/gogs/gogs/pull/708,0,1,0,0,0,1,
spellcheck,0,Medior,https://github.com/gogs/gogs/pull/780,0,0,0,1,0,0,
"Get username, name, surname and e-mail from LDAP server",0,Novice,https://github.com/gogs/gogs/pull/915,1,1,0,0,0,0,
"Fix ""Plus"" icon size in dashboard",0,Novice,https://github.com/gogs/gogs/pull/1159,1,0,0,0,0,0,
Fix typo,0,Medior,https://github.com/gogs/gogs/pull/1223,0,0,0,1,0,0,
Change input field to type=password for the authentication templates.,0,Novice,https://github.com/gogs/gogs/pull/1504,0,1,0,0,0,0,
Simplify disable Gravatar preference wording,0,Experienced,https://github.com/gogs/gogs/pull/1799,0,0,0,0,0,1,
Try to make the SQL queries cleaner and more secure,0,Experienced,https://github.com/gogs/gogs/pull/2893,1,0,0,0,0,1,
Fixes security issue #3110,0,Novice,https://github.com/gogs/gogs/pull/3136,1,1,0,0,0,0,
Private forks should not be deletable by upstream,0,Medior,https://github.com/gogs/gogs/pull/3232,1,0,0,0,0,0,
#3450: fix grammar + typo.,0,Medior,https://github.com/gogs/gogs/pull/3453,1,0,0,1,0,0,
Check if file is a symlink with web editor,0,Experienced,https://github.com/gogs/gogs/pull/3687,0,0,0,1,0,1,
"New locale ""galician""",0,Experienced,https://github.com/gogs/gogs/pull/3917,0,0,0,1,0,0,
Fix wrong anchors for non-latin headings,0,Novice,https://github.com/gogs/gogs/pull/3981,1,0,0,0,0,0,
Update README.md,0,Novice,https://github.com/gogs/gogs/pull/4238,1,0,0,1,0,0,
Fix heading in README.md,0,Experienced,https://github.com/gogs/gogs/pull/4353,1,0,0,1,0,0,
Allow setting UID and GID when running a docker container,0,Medior,https://github.com/gogs/gogs/pull/4776,0,1,0,0,0,0,
Fix file commit history pagination,0,Experienced,https://github.com/gogs/gogs/pull/4965,1,0,0,0,0,0,
Added gitignore for PhpStorm and WebStorm,0,Medior,https://github.com/gogs/gogs/pull/4974,0,0,0,0,0,1,Organizational
Fixes code editor responsiveness,0,Medior,https://github.com/gogs/gogs/pull/5169,1,0,0,0,0,0,
Remove app flags line,0,Experienced,https://github.com/gogs/gogs/pull/5388,0,0,0,0,0,1,
Hide dashboard org creation when not allowed,0,Experienced,https://github.com/gogs/gogs/pull/5393,0,1,0,0,0,0,
Implement issue title and content prefilling,0,Experienced,https://github.com/gogs/gogs/pull/5521,0,1,0,0,0,0,
Idiomatic English,0,Medior,https://github.com/gogs/gogs/pull/5678,0,0,0,1,0,0,
Update TRANSLATORS,0,Experienced,https://github.com/gogs/gogs/pull/5774,0,0,0,1,0,0,
templates/mail: modify the year at the footer,0,Novice,https://github.com/gogs/gogs/pull/5793,0,1,0,0,0,1,
