First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
"Clarify that there is no attribute named ""inert""",0,Experienced,https://github.com/whatwg/html/pull/22,0,1,0,0,0,0,
List all editors' emails in acknowledgements ,0,Experienced,https://github.com/whatwg/html/commit/4fa12c98538878ac73007aec5194448961de91ba,0,0,0,1,0,0,Organizational.
"Fix typo ""ul, element""",1,Experienced,https://github.com/whatwg/html/pull/146,0,0,0,1,0,0,
Specify That clearTimeout/clearInterval are interchangeable #179,0,Medior,https://github.com/whatwg/html/pull/282,0,1,0,0,0,0,
Fixes #265: Change whitelist/blacklist to safelist/blocklist,1,Experienced,https://github.com/whatwg/html/commit/cb3316db45e369ba31d97c5ee2dcd9c353a3cb5d,0,0,0,1,0,0,
Replace 2dcontext's currentTransform with get/setTransform ,0,Experienced,https://github.com/whatwg/html/commit/bb00977fe0f4960f929bb9fa136be2003383d551,0,0,0,0,0,1,
Add ImageBitmapOptions to ImageBitmap's spec,0,Experienced,https://github.com/whatwg/html/pull/741,0,1,0,0,0,0,
"Tweak #616: Disallow ""icon pingback"" in body and rewrap",0,Experienced,https://github.com/whatwg/html/pull/777,0,0,0,0,0,1,
Update focus fixup rule one,0,Experienced,https://github.com/whatwg/html/pull/732,0,0,0,0,0,1,
Remove top-level ForceType text/html #507,0,Experienced,https://github.com/whatwg/html/pull/1761,0,0,0,0,0,1,
"Restore <xmp> to the ""special"" elements list.",0,Experienced,https://github.com/whatwg/html/pull/1919,0,1,0,0,0,0,
Clean up innerText recursion,0,Experienced,https://github.com/whatwg/html/pull/2831,0,0,0,0,0,1,
Fix 3081: Expose MessagePort in AudioWorklet,0,Experienced,https://github.com/whatwg/html/pull/3082,0,1,0,0,0,0,
Typo fix: optons -> options,0,Experienced,https://github.com/whatwg/html/pull/3155,0,0,0,1,0,0,
"Editorial: Fix #3206, change ""has"" to ""have""",1,Novice,https://github.com/whatwg/html/pull/3216,0,0,0,1,0,0,
Replace 'abort these steps' with 'return' ,1,Medior,https://github.com/whatwg/html/pull/3303,0,0,0,0,0,1,
Amend bad link to the child text content change steps,0,Medior,https://github.com/whatwg/html/pull/3422,0,0,0,0,0,1,
Export the definition of CORS-same-origin,0,Experienced,https://github.com/whatwg/html/pull/3605,0,0,0,0,0,1,
Editorial: Fix indentation of opening line of interface DataTransfer.,0,Experienced,https://github.com/whatwg/html/pull/3616,0,0,0,0,0,1,
Annotate OffscreenCanvas attributes with [EnforceRange] ,1,Experienced,https://github.com/whatwg/html/pull/3541,0,1,0,0,0,0,
Add modifications to HTML from LongTasks Spec,0,Medior,https://github.com/whatwg/html/pull/4059,0,1,1,0,0,0,
Decode Serbo-Croatian example text,1,Experienced,https://github.com/whatwg/html/pull/4139,0,1,0,0,0,0,
Editorial: sentence-case “Escapable raw text elements” ,0,Experienced,https://github.com/whatwg/html/pull/3896,0,0,0,0,0,1,
Add missing semicolon,0,Experienced,https://github.com/whatwg/html/pull/4543,1,0,0,0,0,0,
Adds CloseEvent in the `close` event's interface column. ,1,Experienced,https://github.com/whatwg/html/pull/4569,0,1,0,0,0,0,
Make 12.2.5.24 consistent with other states where tag tokens are created,0,Experienced,https://github.com/whatwg/html/pull/4648,0,0,0,0,0,1,
Editorial: export 'active sandboxing flag set',0,Experienced,https://github.com/whatwg/html/pull/4680,0,0,0,1,0,0,
Add SecureContext limitation for [un]registerProtocolHandler API,0,Experienced,https://github.com/whatwg/html/pull/5080,0,1,0,0,0,0,
Specify that script escapes should be case insensitive,0,Experienced,https://github.com/whatwg/html/pull/5111,0,1,0,0,0,0,
Spec the prefixed CSS Animation/Transition event handlers ,0,Experienced,https://github.com/whatwg/html/pull/5188,0,0,1,0,0,0,
