First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Fix double delete on std::bad_alloc exception,0,Medior,https://github.com/nlohmann/json/pull/14,1,0,0,0,0,0,
support enum,0,Experienced,https://github.com/nlohmann/json/pull/71,0,1,0,0,0,0,
Out of tree builds and a few other miscellaneous CMake cleanups.,0,Experienced,https://github.com/nlohmann/json/pull/242,0,1,0,0,0,0,
fixed a tiny typo,0,Medior,https://github.com/nlohmann/json/pull/271,0,0,0,1,0,0,
Update hexify to use array lookup instead of ternary (#270) ,0,Medior,https://github.com/nlohmann/json/pull/275,0,0,0,0,0,1,
unit-constructor1.cpp: Fix floating point truncation warning,0,Experienced,https://github.com/nlohmann/json/pull/300,0,0,0,0,0,1,
Fix usage examples' comments for std::multiset,0,Experienced,https://github.com/nlohmann/json/pull/321,0,0,0,1,0,0,
Add Doozer build badge,0,Experienced,https://github.com/nlohmann/json/pull/400,0,0,0,1,0,0,
Speedup CI builds using cotire,0,Experienced,https://github.com/nlohmann/json/pull/461,0,1,0,0,0,0,
Make exception base class visible in basic_json,0,Medior,https://github.com/nlohmann/json/pull/526,0,1,0,0,0,0,
Fix typo,0,Experienced,https://github.com/nlohmann/json/pull/530,0,0,0,1,0,0,
Properly pop diagnostics,0,Experienced,https://github.com/nlohmann/json/pull/540,1,0,0,0,0,0,
add ensure_ascii parameter to dump. #330,0,Medior,https://github.com/nlohmann/json/pull/654,0,1,0,0,0,0,
massage -> message,0,Experienced,https://github.com/nlohmann/json/pull/678,0,0,0,1,0,0,
Digraph warning,0,Medior,https://github.com/nlohmann/json/pull/679,1,0,0,0,0,0,
Fix warning C4706 on Visual Studio 2017,0,Experienced,https://github.com/nlohmann/json/pull/785,1,0,0,0,0,0,
"Error : 'identifier ""size_t"" is undefined' in linux",0,Medior,https://github.com/nlohmann/json/pull/793,1,0,0,0,0,0,
Typos README,0,Medior,https://github.com/nlohmann/json/pull/811,0,0,0,1,0,0,
Added public target_compile_features for auto and constexpr,0,Experienced,https://github.com/nlohmann/json/pull/1026,0,1,0,0,0,1,
fix typo in README,0,Medior,https://github.com/nlohmann/json/pull/1078,0,0,0,1,0,0,
Add BSON support,0,Experienced,https://github.com/nlohmann/json/pull/1320,0,0,1,0,0,0,
Thirdparty benchmark: Fix Clang detection.,0,Experienced,https://github.com/nlohmann/json/pull/1277,1,0,0,0,0,0,
Added Support for Structured Bindings ,0,Experienced,https://github.com/nlohmann/json/pull/1391,0,0,1,0,0,0,
moved from Catch to doctest for unit tests,0,Experienced,https://github.com/nlohmann/json/pull/1439,0,0,0,0,1,0,
fix GCC 7.1.1 - 7.2.1 on CentOS,0,Experienced,https://github.com/nlohmann/json/pull/1496,1,0,0,0,0,1,
Allow items() to be used with custom string,0,Experienced,https://github.com/nlohmann/json/pull/1765,0,1,0,0,0,0,
did you mean 'serialization'?,0,Experienced,https://github.com/nlohmann/json/pull/1767,0,0,0,1,0,0,
Fix some spelling errors - mostly in comments & documentation.,0,Experienced,https://github.com/nlohmann/json/pull/1803,0,0,0,1,0,0,
Update tests that generate CMake projects to use main project's C++ compiler,0,Medior,https://github.com/nlohmann/json/pull/1844,0,0,0,0,1,1,
Adds instruction for using Build2's package manager,0,Experienced,https://github.com/nlohmann/json/pull/1909,0,0,0,1,0,0,
