First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Add node-gyp dependency to instructions,0,Medior,https://github.com/laurent22/joplin/pull/57,0,0,0,1,0,0,
Fix #119,0,Medior,https://github.com/laurent22/joplin/pull/120,1,0,0,0,0,0,
Update README with Importing from Standard Notes,0,Experienced,https://github.com/laurent22/joplin/pull/128,0,0,0,1,0,0,
Update de_DE.po,0,Experienced,https://github.com/laurent22/joplin/pull/492,0,1,0,0,0,0,
Add text sharing on android,0,Experienced,https://github.com/laurent22/joplin/pull/689,0,1,0,0,0,0,
Add Swedish translation,0,Medior,https://github.com/laurent22/joplin/pull/746,0,0,1,0,0,0,
Fix ubuntu install script,0,Medior,https://github.com/laurent22/joplin/pull/811,1,0,0,0,0,0,
German language file,0,Experienced,https://github.com/laurent22/joplin/pull/854,1,0,0,1,0,0,
Update ru_RU translation,0,Medior,https://github.com/laurent22/joplin/pull/1098,0,1,0,1,0,0,
Fixed and updated translation to Russian language,0,Novice,https://github.com/laurent22/joplin/pull/1175,1,0,0,1,0,0,
Clipper: Feature added for storing urls,0,Experienced,https://github.com/laurent22/joplin/pull/1173,0,0,1,0,0,0,
Desktop: Fix alt key using,0,Experienced,https://github.com/laurent22/joplin/pull/1216,1,0,0,0,0,0,
Desktop: update jp translation,0,Experienced,https://github.com/laurent22/joplin/pull/1318,0,0,1,0,0,0,
[init] the first version of the fa.po file,0,Medior,https://github.com/laurent22/joplin/pull/1539,0,0,1,0,0,0,
CLI: Add docs to clarify how to test,0,Experienced,https://github.com/laurent22/joplin/pull/1775,0,0,0,1,0,0,
Update ja_JP.po,0,Experienced,https://github.com/laurent22/joplin/pull/1776,0,0,1,0,0,0,
Translation: Translation Update pt_BR,0,Experienced,https://github.com/laurent22/joplin/pull/1809,1,0,0,0,0,1,
Update zh_CN.po Chinese translation,0,Medior,https://github.com/laurent22/joplin/pull/1871,0,1,0,0,0,0,
Update Italian translation,0,Medior,https://github.com/laurent22/joplin/pull/1925,0,1,0,0,0,0,
Mobile: Added Front Camera toggle when taking a picture with Joplin Camera,0,Experienced,https://github.com/laurent22/joplin/pull/1913,0,0,1,0,0,0,
Desktop: Add menu item to toggle note list #1988,1,Experienced,https://github.com/laurent22/joplin/pull/1991,0,1,0,0,0,0,
Desktop: Optional open dev tools in Developer Mode,0,Novice,https://github.com/laurent22/joplin/pull/2083,0,1,0,0,0,0,
GsoC first public draft of documentation,0,Medior,https://github.com/laurent22/joplin/pull/2092,0,0,0,1,0,0,
CLI: Update CliClient Node dependency to 10+,0,Experienced,https://github.com/laurent22/joplin/pull/2177,0,0,0,0,0,1,Organizational.
Desktop: Add external editor actions to the note context menu.,0,Novice,https://github.com/laurent22/joplin/pull/2214,0,1,0,0,0,0,
Translation: completed Turkish translation and fixed minor errors,0,Novice,https://github.com/laurent22/joplin/pull/2295,1,0,0,1,0,0,
Reset created and updated times for a duplicate Note,0,Experienced,https://github.com/laurent22/joplin/pull/2428,0,0,0,0,0,1,
Desktop: fixes long lines warpped,1,Experienced,https://github.com/laurent22/joplin/pull/2447,1,0,0,0,0,0,
Desktop: Fix `.desktop` file & force refresh,0,Experienced,https://github.com/laurent22/joplin/pull/2479,1,0,0,0,0,0,
Mobile: Adding Oled dark theme,0,Medior,https://github.com/laurent22/joplin/pull/2368,0,0,1,0,0,0,
