First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
generalization to ndim for predict_proba and predict_classes,0,Novice,https://github.com/keras-team/keras/pull/32,0,1,0,0,0,0,
change sample_weight doc,0,Novice,https://github.com/keras-team/keras/pull/745,0,0,0,1,0,0,
Updated doc with the missing arguments in Graph,0,Medior,https://github.com/keras-team/keras/pull/1228,0,0,0,1,0,0,
add support for validation generators in fit_generator and evaluate_generator,0,Medior,https://github.com/keras-team/keras/pull/1778,0,1,0,0,0,0,
"by allowing soft placement into keras, we can run whole keras model u…",0,Experienced,https://github.com/keras-team/keras/pull/1918,0,0,0,0,0,1,
Avoid double key lookup on callback.py,0,Experienced,https://github.com/keras-team/keras/pull/3018,1,0,0,0,0,1,
Fix VAE example,0,Experienced,https://github.com/keras-team/keras/pull/3220,0,1,0,0,0,1,
Bugfix to CIFAR pickle reading code in Python 3,0,Experienced,https://github.com/keras-team/keras/pull/4319,1,0,0,0,0,0,
Missing parentheses in activations.md,0,Experienced,https://github.com/keras-team/keras/pull/5735,1,0,0,1,0,0,
Fix `deconv_length` inference for `padding='same'` in conv_utils,0,Experienced,https://github.com/keras-team/keras/pull/5796,1,0,0,0,0,0,
Fix IndexError in scikit_learn wrapper (#5941),0,Experienced,https://github.com/keras-team/keras/pull/5944,1,0,0,0,0,0,
Fix indent size of docstring's line,0,Medior,https://github.com/keras-team/keras/pull/6440,0,0,0,0,0,1,
Added batch histogram computation,0,Novice,https://github.com/keras-team/keras/pull/6065,0,0,1,0,0,0,
Add CNTK backend.,0,Experienced,https://github.com/keras-team/keras/commit/75d9415c82b3bbba82095b11ac6c313b40de6066,0,0,1,0,0,0,
More descriptive message when user specifies non-existing metric for early stopping,0,Experienced,https://github.com/keras-team/keras/pull/6954,0,1,0,0,0,0,
Update README.md,0,Experienced,https://github.com/keras-team/keras/pull/7163,0,0,0,1,0,0,
Add seed parameter for image augmentation method. ,0,Experienced,https://github.com/keras-team/keras/pull/7239,0,1,0,0,0,0,
Passed the scheduling argument through the `*_generator` function.,0,Experienced,https://github.com/keras-team/keras/pull/7236,0,0,0,0,0,1,
Add missing import,0,Medior,https://github.com/keras-team/keras/pull/7649,1,0,0,0,0,0,
Fix PEP8,0,Experienced,https://github.com/keras-team/keras/pull/7731,1,0,0,0,0,0,
Update documentation on decoder sequence indexing. ,0,Experienced,https://github.com/keras-team/keras/pull/8187,0,0,0,1,0,0,
fixed RemoteMonitor: Json to handle np.float32 and np.int32 types,0,Medior,https://github.com/keras-team/keras/pull/9261,1,1,0,0,0,0,
Fix Typo in TimeSeriesGenerator DocString,0,Experienced,https://github.com/keras-team/keras/pull/9792,0,0,0,1,0,0,
Mobilenetv2 explanation,0,Novice,https://github.com/keras-team/keras/pull/10174,0,0,0,1,0,0,
Fix typo in writing-your-own-keras-layers.md,0,Novice,https://github.com/keras-team/keras/pull/11325,0,0,0,1,0,0,
[P] [RELNOTES] Add ability to visualize wrapped models with plot_model function,0,Experienced,https://github.com/keras-team/keras/pull/11431,0,0,1,0,0,0,
"Class activation maps using resnet50, inception-resnet-v2, and nasnet model",0,Experienced,https://github.com/keras-team/keras/pull/11820,0,0,1,0,0,0,
"Update the shape of ""y_train"" and ""y_test"" in the document for CIFAR datasets",0,Novice,https://github.com/keras-team/keras/pull/12669,0,0,0,1,0,0,
fix #13341 math_ops to K,0,Experienced,https://github.com/keras-team/keras/pull/13342,1,0,0,0,0,0,
fix: `recurrent_activation` parameter's docstring,0,Experienced,https://github.com/keras-team/keras/pull/13401,0,0,0,1,0,0,
