First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Fix a wrong explaining text about running command to create replication controllers.,0,Experienced,https://github.com/kubernetes/kubernetes/pull/1124,0,0,0,1,0,0,
Add initial resources.md for discussion,0,Novice,https://github.com/kubernetes/kubernetes/pull/617,0,0,0,1,0,0,
Bring Azure deploy scripts up to date,0,Medior,https://github.com/kubernetes/kubernetes/pull/2461,0,0,0,0,0,1,Organizational.
"Fix ""kubectl create with no args"" test to verify exit code",0,Medior,https://github.com/kubernetes/kubernetes/pull/4436,1,0,0,0,0,0,
Provide a way to create a multi-minions cluster on local VMs faster than with vagrant.,0,Medior,https://github.com/kubernetes/kubernetes/pull/4498,0,0,1,0,0,0,
Adds support for multiple resources to kubectl,0,Medior,https://github.com/kubernetes/kubernetes/pull/4667,0,1,0,0,0,0,
READY FOR REVIEW - Fix #2741. Add support for alternate Vagrant providers: …,0,Experienced,https://github.com/kubernetes/kubernetes/pull/6983,0,0,1,0,0,0,
Add ability to specify machine type for GKE,0,Experienced,https://github.com/kubernetes/kubernetes/pull/12985,0,1,0,0,0,0,
Add docs for podautoscaler package,0,Experienced,https://github.com/kubernetes/kubernetes/pull/24776,0,0,0,1,0,0,
kubelet/cadvisor: Refactor cadvisor disk stat/usage interfaces.,0,Experienced,https://github.com/kubernetes/kubernetes/pull/25771,0,0,0,0,0,1,
remove DCOS section from README.md,0,Experienced,https://github.com/kubernetes/kubernetes/pull/26716,0,0,0,1,0,0,
Openstack cinder v1/v2/auto API support,0,Experienced,https://github.com/kubernetes/kubernetes/pull/40423,0,0,1,0,0,0,
Remove unpaired '}',0,Experienced,https://github.com/kubernetes/kubernetes/pull/43554,1,0,0,0,0,0,
Fixes juju kubernetes master: 1. Get certs from a dead leader. 2. Append tokens.,0,Experienced,https://github.com/kubernetes/kubernetes/pull/43620,1,0,0,0,0,0,
There is a rule in using go channel: never close a channel in the,0,Medior,https://github.com/kubernetes/kubernetes/pull/45291,1,0,0,0,0,0,
Created unit tests for GCE cloud provider storage interface.,0,Experienced,https://github.com/kubernetes/kubernetes/pull/44884,0,0,0,0,1,0,
kubelet should let cloud-controller-manager set the node addresses,0,Experienced,https://github.com/kubernetes/kubernetes/pull/47152,0,1,0,0,0,1,
Optionally launch build containers inside a specific parent cgroup,0,Experienced,https://github.com/kubernetes/kubernetes/pull/54071,0,1,0,0,0,0,
Ensure new tags are created on existing ELBs,0,Medior,https://github.com/kubernetes/kubernetes/pull/55731,0,1,0,0,0,0,
updates fluentd in fluentd-es-image to fluentd 1.1.0 ,0,Experienced,https://github.com/kubernetes/kubernetes/pull/58525,0,0,0,0,0,1,Organizational.
Make error messages more helpful in some e2e tests ,1,Novice,https://github.com/kubernetes/kubernetes/pull/71922,0,0,0,0,1,0,
Adjust node_exporter CPU params,0,Experienced,https://github.com/kubernetes/kubernetes/pull/72452,0,0,0,0,1,1,Scoped to e2e tests only.
Fix some typos in comment,0,Medior,https://github.com/kubernetes/kubernetes/pull/73634,0,0,0,1,0,0,
Fix label on UpdateContainerResources operation,0,Experienced,https://github.com/kubernetes/kubernetes/pull/75278,0,0,0,0,0,1,
runtimeclass: update type description to beta,0,Experienced,https://github.com/kubernetes/kubernetes/pull/76972,1,0,0,0,0,0,
Use ExpectEqual in e2e/auth,0,Medior,https://github.com/kubernetes/kubernetes/pull/79762,0,0,0,0,1,1,
don't delete KUBE-MARK-MASQ chain in iptables/ipvs proxier,0,Experienced,https://github.com/kubernetes/kubernetes/pull/80514,1,0,0,0,0,0,
Fix broken link to api-conventions doc. ,0,Experienced,https://github.com/kubernetes/kubernetes/pull/81770,0,0,0,1,0,0,
Fix error-string-capitalization in clientset generator. ,0,Experienced,https://github.com/kubernetes/kubernetes/pull/87138,0,0,0,0,0,1,
Fix Golint errors in pkg/registry/core/pod,1,Experienced,https://github.com/kubernetes/kubernetes/pull/87885,0,0,0,0,0,1,
