First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
chore: initial commit,0,Experienced,https://github.com/ing-bank/lion/commit/7c563b76bf2c688bbb3bc0de4a4ccab1e45c87e9,0,0,1,1,1,0,Organizational.
Split date functions,0,Experienced,https://github.com/ing-bank/lion/pull/11,0,1,0,0,0,1,
chore: release,0,Experienced,https://github.com/ing-bank/lion/commit/d5e2dfe38ebb0729cc06a66088c1b5cb30ce4158,1,0,0,0,0,0,
chore(field): custom fields tutorial,0,Experienced,https://github.com/ing-bank/lion/commit/6a0579cd9153d3fde297e963b0c5fb107b12da42,0,0,0,1,0,0,
hore: refactor to not use deprecated EventMixin,0,Experienced,https://github.com/ing-bank/lion/pull/30,0,0,0,0,0,1,
fix(input-datepicker): prevent button from submitting forms,0,Experienced,https://github.com/ing-bank/lion/pull/60,1,0,0,0,0,0,
fix(core): do not pin lit-html version and allow lit-element patches,0,Experienced,https://github.com/ing-bank/lion/pull/66,1,0,0,0,0,0,
Add throwing an exception for missing namespace,0,Medior,https://github.com/ing-bank/lion/pull/83,0,0,0,0,0,1,
fix: support language fallback for non found locales,0,Experienced,https://github.com/ing-bank/lion/pull/102,0,1,0,0,0,1,
fix(input-amount): support negative numbers,0,Experienced,https://github.com/ing-bank/lion/pull/125,1,0,0,0,0,0,
Update LionIcon to no longer render 'undefined',0,Experienced,https://github.com/ing-bank/lion/pull/116,1,0,0,0,0,0,
"[input] Delegate ""step"" attribute",0,Experienced,https://github.com/ing-bank/lion/pull/180,1,0,0,0,0,0,
Support Chinese language,0,Novice,https://github.com/ing-bank/lion/pull/133,0,0,1,0,0,0,
Calculate max-height based on empty state,1,Experienced,https://github.com/ing-bank/lion/pull/189,0,1,0,0,0,1,
fix(localize): update the way to obtain the group separator for a number,0,Novice,https://github.com/ing-bank/lion/pull/245,0,0,0,0,0,1,
fix(lion-radio-group): handle unchecked state,0,Medior,https://github.com/ing-bank/lion/pull/255,1,0,0,0,0,0,
Update LionIcon to no longer throws when svg is null,1,Medior,https://github.com/ing-bank/lion/pull/276,1,0,0,0,0,1,
fix: Change CN translation for date format validation,0,Novice,https://github.com/ing-bank/lion/pull/290,1,0,0,0,0,0,
fix(calendar): issue 302 part 2 - skipped month,0,Medior,https://github.com/ing-bank/lion/pull/335,1,0,0,0,0,0,
fix: issue #329,1,Experienced,https://github.com/ing-bank/lion/pull/334,1,0,0,0,0,1,
Fix en-US translations in lion-validate,0,Novice,https://github.com/ing-bank/lion/pull/372,0,0,0,1,0,0,
fix(lion-select-rich): keep showing selected item dynamic options bug,1,Experienced,https://github.com/ing-bank/lion/pull/339,1,0,0,0,0,0,
fix(lion-radio-group): wait for registration before setting values,0,Medior,https://github.com/ing-bank/lion/pull/421,0,0,0,0,0,1,
Fix bug in serializeGroup and serializeElements,0,Novice,https://github.com/ing-bank/lion/pull/426,1,0,0,0,0,0,
fix: update broken ajax storybook link,0,Medior,https://github.com/ing-bank/lion/pull/528,1,0,0,0,0,0,
"fix(localize): if locale is set to tr, currency TRY should display TL",0,Novice,https://github.com/ing-bank/lion/pull/538,1,0,0,0,0,1,
fix(field): replace state-disabled/filled css classes with attributes,0,Novice,https://github.com/ing-bank/lion/pull/541,1,0,0,0,0,0,
Release Multiple Contributions,0,Experienced,https://github.com/ing-bank/lion/pull/596,0,0,1,0,0,0,
chore: add TODOs Badge to README,0,Experienced,https://github.com/ing-bank/lion/pull/601,0,0,0,1,0,0,
chore: highlight that yarn is required in readme,0,Medior,https://github.com/ing-bank/lion/pull/584,0,0,0,1,0,0,
