First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
create LICENSE,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/34,0,0,0,1,0,0,
Update productoncode.md,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/58,0,0,0,1,0,0,
Tiny grammar fix in section 1.2,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/65,0,0,0,1,0,0,
add rc as config manager option,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/66,0,0,0,1,0,0,
Fixed some typos,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/75,0,0,0,1,0,1,
Add Prettier to Code Style Practices,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/85,0,0,0,1,0,0,
Remove duplicated ESLint reference. Close #84,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/89,0,0,0,1,0,0,
Fix typo in apmproducts.md,0,Medior,https://github.com/goldbergyoni/nodebestpractices/pull/99,0,0,0,1,0,0,
Create thincomponents.chinese.md,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/101,0,0,0,1,0,0,
Fixed Typing error in Section 3.11,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/123,0,0,0,1,0,0,
Changed (b) to (2) and made it easier to read,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/151,0,0,0,1,0,0,
Fix typo in documentingusingswagger.md,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/163,0,0,0,1,0,0,
5.17. Use an LTS release of Node.js,0,Medior,https://github.com/goldbergyoni/nodebestpractices/pull/168,0,0,0,1,0,0,
Remove unrelated quote.,0,Medior,https://github.com/goldbergyoni/nodebestpractices/pull/179,0,0,0,1,0,0,
Used async/await syntax over chaining .then's,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/217,0,0,0,0,0,1,
Replace deprecated Node Security Project with npm audit,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/226,0,0,0,1,0,0,
Dead link in security section updated,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/241,0,0,0,1,0,0,
Added semicolon issues and examples,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/235,0,0,0,1,0,0,
Add log routing best practice,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/272,0,1,0,1,0,0,
Add Brazilian Flag to Translations,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/283,0,0,0,1,0,0,
Typo && Spacing,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/298,0,0,0,1,0,1,
Rename file to correct mistake,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/306,0,0,0,1,0,1,
typo fix at 4.1,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/336,0,0,0,1,0,0,
Update useonlythebuiltinerror.chinese.md,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/367,0,0,0,1,0,1,
Update README.brazilian-portuguese.md ,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/380,0,0,0,1,0,0,
Missing parentheses,0,Medior,https://github.com/goldbergyoni/nodebestpractices/pull/409,1,0,0,0,0,0,
Update breakintcomponents.chinese.md,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/429,0,0,0,1,0,1,
Russian translation. Removed EN fragment,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/448,1,0,0,1,0,0,
Fix translate on comments,0,Experienced,https://github.com/goldbergyoni/nodebestpractices/pull/563,1,0,0,1,0,0,
Update README.russian.md,0,Novice,https://github.com/goldbergyoni/nodebestpractices/pull/604,0,0,0,1,0,1,
