First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Export STATUS_CODES ,0,Experienced,https://github.com/nodejs/node/commit/501b4a54be5188e06194597010b5f13067da1caf,0,0,0,0,0,1,
"Adding support for require-like initialization of node, ",0,Experienced,https://github.com/nodejs/node/commit/52f93185c783beb71535f59e478fcac8912d0c54,0,1,0,0,0,0,
Close #962: Fixed typo in vm.runInNewContext docs. ,0,Experienced,https://github.com/nodejs/node/commit/68c8a69f4cdda9e6e1d80f1ed90efbabf410f20c,0,0,0,1,0,0,
doc: http: document res.write() `drain` return value ,0,Experienced,https://github.com/nodejs/node/commit/af699c47d1d333dab2eaf438ed78b504ebdb6b79,0,0,0,1,0,0,
fixes #6031 spelling errors ,0,Experienced,https://github.com/nodejs/node/commit/c171c490f2d850f63a37496bc7b31855193ce298,0,0,0,1,0,0,
doc: fix modules require.resolve documentation ,0,Experienced,https://github.com/nodejs/node/commit/7c5fabe4053c82806b0a22437bceab8aa7465b78,0,0,0,1,0,0,
src: fixed a small inconsistency between a check and error ,0,Experienced,https://github.com/nodejs/node/pull/515,1,0,0,0,0,0,
Update docs for network interfaces,0,UNRELIABLE,https://github.com/nodejs/node/pull/543,0,0,0,1,0,0,
http: don't bother making a copy of the options,0,Experienced,https://github.com/nodejs/node/pull/593,0,0,0,0,0,1,
Typography fixes ,0,Medior,https://github.com/nodejs/node/pull/3576,0,0,0,1,0,0,
doc:use proper article,0,Novice,https://github.com/nodejs/node/pull/6689,0,0,0,1,0,0,
doc: fix variable scoping bug in Stream HTTP server example code,0,Medior,https://github.com/nodejs/node/pull/8124,0,0,0,1,0,0,
test: increase coverage for lib/events.js,0,Experienced,https://github.com/nodejs/node/pull/9865,0,0,0,0,1,0,
Use const in test-require-json.js,0,Experienced,https://github.com/nodejs/node/pull/9904,0,0,0,0,1,1,
test: fix buffer alloc tests,0,Novice,https://github.com/nodejs/node/pull/9998,0,0,0,0,1,0,
test: remove common.PORT in test tls ticket cluster,0,Experienced,https://github.com/nodejs/node/pull/12715,0,0,0,0,1,0,
Fix linking from toc to subsection for 4.8.x releases,0,Experienced,https://github.com/nodejs/node/pull/13039,0,0,0,1,0,0,
Fix http2 API docs typos,0,Experienced,https://github.com/nodejs/node/pull/15778,0,0,0,1,0,0,
test: replaces fixturesDir with fixtures,0,Medior,https://github.com/nodejs/node/pull/15838,0,0,0,0,1,0,
doc: fix typo in http2 doc,0,Experienced,https://github.com/nodejs/node/pull/16993,0,0,0,1,0,0,
test: use common.hasIntl instead of typeof Intl in Intl v8BreakIterator test,0,Medior,https://github.com/nodejs/node/pull/17311,0,0,0,0,1,0,
doc: Improve checkServerIdentity docs,0,Novice,https://github.com/nodejs/node/pull/17203,0,0,0,1,0,0,
https: add extra options to Agent#getName(),0,Experienced,https://github.com/nodejs/node/pull/16402,0,1,0,0,0,0,
lto: enabling lto at configure,0,Experienced,https://github.com/nodejs/node/pull/21677,0,0,0,0,0,1,
Fix crypto::Hash update method's error output,0,Experienced,https://github.com/nodejs/node/pull/25533,1,0,0,0,0,0,
lib: remove usage of require('util'),1,Experienced,https://github.com/nodejs/node/pull/26773,0,0,0,0,0,1,
test: add mustCall to test-fs-readfile-pipe,0,Novice,https://github.com/nodejs/node/pull/27450,0,0,0,0,1,0,
deps: update npm to 6.11.3,0,Experienced,https://github.com/nodejs/node/pull/29430,0,0,0,0,0,1,Organizational.
http2: change var to let compact.js,0,Medior,https://github.com/nodejs/node/pull/30392,0,0,0,0,0,1,
src: fix node_dir.cc memory allocation,0,Medior,https://github.com/nodejs/node/pull/30750,0,0,0,0,0,1,
