First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Initial extract,0,Experienced,https://github.com/jethrokuan/org-roam/commit/393ceea575bc61528615e4186bbda3d695c6c2e5,0,0,1,0,0,1,Organizational.
Update Readme,0,Experienced,https://github.com/jethrokuan/org-roam/pull/8,0,0,0,1,0,0,
Don't re-enable org-mode,0,Experienced,https://github.com/jethrokuan/org-roam/pull/13,0,0,0,0,0,1,
Add org-roam-tomorrow and org-roam-date ,0,Experienced,https://github.com/jethrokuan/org-roam/pull/28,0,0,1,0,0,0,
Add or fix symlink support,0,Medior,https://github.com/jethrokuan/org-roam/pull/29,1,0,0,0,0,1,
Look for encrypted org-files (.org.gpg) in files and links,0,Experienced,https://github.com/jethrokuan/org-roam/pull/87,0,1,0,0,0,0,
Add a missed (file-truename org-roam-directory),0,Experienced,https://github.com/jethrokuan/org-roam/pull/88,1,0,0,0,0,0,
WIP: Add org_roam_file link type,0,Experienced,https://github.com/jethrokuan/org-roam/pull/108,0,1,0,0,0,0,
fix typo,0,Experienced,https://github.com/jethrokuan/org-roam/pull/113,0,0,0,0,0,1,
(feature) Add link to backlink line to backlinks buffer,0,Experienced,https://github.com/jethrokuan/org-roam/pull/99,0,1,0,0,0,0,
ncrease performance of post-command-hook,0,Experienced,https://github.com/jethrokuan/org-roam/pull/122,0,0,0,0,0,1,
Add Spacemacs installation instructions,0,Experienced,https://github.com/jethrokuan/org-roam/pull/133,0,0,0,1,0,0,
Handle nil file names,0,Experienced,https://github.com/jethrokuan/org-roam/pull/136,0,1,0,0,0,0,
Add function org-roam-switch-to-buffer,1,Experienced,https://github.com/jethrokuan/org-roam/pull/138,0,1,0,0,0,0,
allow customization of graphviz node appearance,0,Medior,https://github.com/jethrokuan/org-roam/pull/132,0,1,0,0,0,0,
Fallback to Emacs SVG viewer functionality,0,Experienced,https://github.com/jethrokuan/org-roam/pull/145,0,1,0,0,0,0,
Fix typo in tour.md,0,Experienced,https://github.com/jethrokuan/org-roam/pull/172,0,0,0,1,0,0,
Fixed broken markdown src block,0,Experienced,https://github.com/jethrokuan/org-roam/pull/176,0,0,0,1,0,0,
