First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Add sort_columns parameter to plot to allow unsorted plots,0,Medior,https://github.com/pandas-dev/pandas/pull/918,0,1,0,0,0,0,
Added count of columns when DataFrame is printed out,0,Experienced,https://github.com/pandas-dev/pandas/pull/3084,0,1,0,0,0,0,
ENH: Added xlsxwriter as an ExcelWriter option.,0,Experienced,https://github.com/pandas-dev/pandas/pull/4857,0,1,0,0,0,0,
DOC: proposed fix for #4699: Period() docstring inconsistent with code when freq has a mult != 1,0,Experienced,https://github.com/pandas-dev/pandas/pull/5057,0,0,0,1,0,0,
Update rolling skew & kurtosis to handle cases where they aren't defined,0,Novice,https://github.com/pandas-dev/pandas/pull/5760,0,1,0,0,0,1,
DOC: Remove newline in @verbatim code-block.,0,Experienced,https://github.com/pandas-dev/pandas/pull/7078,0,0,0,1,0,0,
DOC: Add missing column header in 'baseball.csv'.,0,Medior,https://github.com/pandas-dev/pandas/pull/7467,0,0,0,1,0,0,
pandas.io.gbq Version 2,0,Novice,https://github.com/pandas-dev/pandas/pull/6937,0,0,0,1,0,0,
Fix bdist_wheel. Add Tag information to WHEEL dist info.,0,Experienced,https://github.com/pandas-dev/pandas/pull/8066,1,0,0,1,0,0,
BUG: fix variable overwriting in radviz,0,Novice,https://github.com/pandas-dev/pandas/pull/8199,1,0,0,0,0,0,
BUG: fix concat to work with more iterables (GH8645) ,0,Experienced,https://github.com/pandas-dev/pandas/pull/8668,1,0,0,0,0,0,
BUG: fix doctests in pandas.core.common,0,Novice,https://github.com/pandas-dev/pandas/pull/8931,1,0,0,0,0,0,
ENH: add interval kwarg to get_data_yahoo issue #9071,0,Medior,https://github.com/pandas-dev/pandas/pull/9072,0,1,0,0,0,0,
ENH Read Stata dta file incrementally,0,Experienced,https://github.com/pandas-dev/pandas/pull/9493,0,1,0,0,0,0,
BUG: implement .sort_index(...inplace=True) for #11402,0,Experienced,https://github.com/pandas-dev/pandas/pull/11422,1,0,0,0,0,0,
CLN: Removed pandas.util.testing.choice ,0,Experienced,https://github.com/pandas-dev/pandas/commit/eba78032e927d2680850c88190f3bafe18cac6ba,0,0,0,0,1,0,
Added pandas logo and separator ,0,Experienced,https://github.com/pandas-dev/pandas/commit/13b7a408a77ee929e0214af8f00453566c896f37,0,0,0,1,0,0,
DOC: Typing error in ExcelFile class example,0,Novice,https://github.com/pandas-dev/pandas/pull/15040,0,0,0,1,0,0,
"Fixes truncated error message ""C extension: umpy.core.multiarray failed to import""",0,Experienced,https://github.com/pandas-dev/pandas/pull/16366,1,0,0,0,0,0,
BUG: DataFrame.first_valid_index() fails if there is no valid entry.,0,Experienced,https://github.com/pandas-dev/pandas/pull/17488,1,0,0,0,0,0,
BUG: Fix series rename called with str altering name rather index (GH17407),0,Medior,https://github.com/pandas-dev/pandas/pull/17654,1,0,0,0,0,0,
Add nrows parameter to pandas.read_excel(),1,Medior,https://github.com/pandas-dev/pandas/pull/18507,0,1,0,0,0,0,
str.extractall with no match returns appropriate MultIndex,0,Experienced,https://github.com/pandas-dev/pandas/pull/19075,1,0,0,0,0,0,
BUG: drop_duplicates not raising KeyError on missing key ,0,Experienced,https://github.com/pandas-dev/pandas/pull/19730,1,0,0,0,0,0,
Two tests didn't properly assert an exception was raised. Fixed.,0,Experienced,https://github.com/pandas-dev/pandas/pull/21409,1,0,0,0,1,0,
"BUG: Offset-based rolling window, with only one raw in dataframe and closed='left', max and min functions make python crash",0,Novice,https://github.com/pandas-dev/pandas/pull/24811,1,0,0,0,0,0,
BUG: Fix passing of numeric_only argument for categorical reduce,0,Experienced,https://github.com/pandas-dev/pandas/pull/25304,1,0,0,0,0,0,
Pandas.io.formats.style.Styler docstring PR02,1,Experienced,https://github.com/pandas-dev/pandas/pull/28539,0,0,0,1,0,0,
fix Rolling for multi-index and reversed index.,0,Experienced,https://github.com/pandas-dev/pandas/pull/28297,1,1,0,0,0,0,
"%s changed to fstring, single quotes in f string changed to double qu",1,Medior,https://github.com/pandas-dev/pandas/pull/30108,0,1,0,0,0,1,
