First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Initial commit,0,BOT,https://github.com/microsoft/PowerToys/commit/f6be6e9fe7f8e4a5170859da6d410ed603844d0c,0,0,0,0,0,0,"Initial commit, organizational."
Initial commit,0,BOT,https://github.com/microsoft/PowerToys/commit/4f4a9e4dcf2e57f23700bb1390e122a07217e0ff,0,0,0,1,0,0,"Initial commit, organizational."
Pushing the first main update to master,0,Novice,https://github.com/microsoft/PowerToys/pull/1,0,0,0,1,0,0,
Minor spelling corrections,0,Medior,https://github.com/microsoft/PowerToys/pull/25,0,0,0,1,0,0,
Fixed typo in readme,0,Medior,https://github.com/microsoft/PowerToys/pull/153,0,0,0,1,0,0,
update backlog links,0,Experienced,https://github.com/microsoft/PowerToys/pull/201,0,0,0,1,0,0,
Update PowerToysBacklog.md,0,Novice,https://github.com/microsoft/PowerToys/pull/220,0,0,0,1,0,0,
Slight web bits cleanup,0,Experienced,https://github.com/microsoft/PowerToys/pull/280,0,0,0,0,0,1,
Added Hi-res logo (4k PNG),0,Novice,https://github.com/microsoft/PowerToys/pull/323,0,0,0,1,0,0,
Advertise shortcuts,0,Experienced,https://github.com/microsoft/PowerToys/pull/273,0,1,0,1,0,0,
Add documentation about Chocolatey installation,0,Experienced,https://github.com/microsoft/PowerToys/pull/350,0,0,0,1,0,0,
Couple of typos,0,Novice,https://github.com/microsoft/PowerToys/pull/364,0,0,0,1,0,0,
Update README.md,0,Experienced,https://github.com/microsoft/PowerToys/pull/446,0,0,0,1,0,0,
Modifying the startup behaviour of the FancyZones Layout Editor,0,Experienced,https://github.com/microsoft/PowerToys/pull/401,0,1,0,0,0,0,
Cleanup LICENSE,0,Novice,https://github.com/microsoft/PowerToys/pull/466,0,0,0,1,0,0,
fix editor CLI parsing if comma is decimal sep in locale ,0,Novice,https://github.com/microsoft/PowerToys/pull/488,1,0,0,0,0,1,
Dev/sashapie/wix nuget sacl,0,Experienced,https://github.com/microsoft/PowerToys/pull/489,0,1,0,0,0,1,
Update PowerToysBacklog.md,0,Experienced,https://github.com/microsoft/PowerToys/pull/511,0,0,0,1,0,0,
Typo at line 42,0,Novice,https://github.com/microsoft/PowerToys/pull/546,0,0,0,1,0,0,
FZ Editor support for small screens,0,Experienced,https://github.com/microsoft/PowerToys/pull/542,1,1,0,0,0,0,
Update organization.md,0,Experienced,https://github.com/microsoft/PowerToys/pull/559,1,0,0,1,0,0,
Update README.md,0,Experienced,https://github.com/microsoft/PowerToys/pull/626,1,0,0,1,0,0,
Customize system menu items through dedicated API ,0,Medior,https://github.com/microsoft/PowerToys/pull/677,0,0,1,0,0,0,
Update README.md,0,BOT,https://github.com/microsoft/PowerToys/pull/740,1,0,0,1,0,0,
Settings unit tests,0,Experienced,https://github.com/microsoft/PowerToys/pull/921,0,0,0,0,1,0,
"adding fancy zone opacity setting, enhancement #631 ",0,Experienced,https://github.com/microsoft/PowerToys/pull/1008,0,0,1,0,0,0,
Move reusable functions from PowerRenameLib Helpers.h to Common,0,Medior,https://github.com/microsoft/PowerToys/pull/1101,0,0,0,0,0,1,
Migrate FancyZones data persisting from Registry to JSON file,0,Medior,https://github.com/microsoft/PowerToys/pull/1194,0,1,0,0,0,1,
"""Always run as administrator"" and ""Restart as ..."" only for administrator account",0,Novice,https://github.com/microsoft/PowerToys/pull/1318,1,0,0,0,0,0,
Change Windows Store to Microsoft Store in README ,0,Novice,https://github.com/microsoft/PowerToys/pull/1369,0,0,0,1,0,0,
