First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Update setup.py ,0,Experienced,https://github.com/OpenMined/PySyft/commit/66302419714969ac7c3d8c61401d23f36dd26ed7,0,0,0,1,0,0,Organizational.
:page_facing_up: docs: add install docs & headings,0,Medior,https://github.com/OpenMined/PySyft/pull/1,0,0,0,1,0,0,
A simple Dockerfile for Syft,0,Experienced,https://github.com/OpenMined/PySyft/pull/18,0,0,1,0,0,0,
Rafi devel,0,Medior,https://github.com/OpenMined/PySyft/pull/136,0,1,0,0,0,0,
"Implemented BaseTensor.{le,ge,lt} and inplace versions",0,Experienced,https://github.com/OpenMined/PySyft/pull/254,0,1,0,0,0,0,
"updated class name from ""admmTests"" -> ""addmmTests"" in test_math.py",0,Novice,https://github.com/OpenMined/PySyft/pull/338,0,0,0,0,0,1,
Updated LinearClassifier,0,Novice,https://github.com/OpenMined/PySyft/pull/337,0,1,0,0,0,0,
Momentum and Learning Rate Decay for SGD Optimizer,0,Experienced,https://github.com/OpenMined/PySyft/pull/733,0,1,0,0,0,0,
bugfix: do not delete results for inline aritmetic operations,1,Experienced,https://github.com/OpenMined/PySyft/pull/754,1,0,0,0,0,0,
__add__ method for IntTensor,1,Experienced,https://github.com/OpenMined/PySyft/pull/758,0,1,0,0,0,0,
Added Reciprocal Functionality,1,Medior,https://github.com/OpenMined/PySyft/pull/1285,0,1,0,0,0,0,
corrected typo,1,Experienced,https://github.com/OpenMined/PySyft/pull/1384,0,0,0,1,0,0,
Add missing docstrings in TorchHook,1,Medior,https://github.com/OpenMined/PySyft/pull/1443,0,0,0,1,0,0,
Update README.md for Windows Pytorch Installation,0,Novice,https://github.com/OpenMined/PySyft/pull/1576,0,0,0,1,0,0,
Wrong import path fixed. ,0,Experienced,https://github.com/OpenMined/PySyft/commit/7b482f7b903d66c90cff632fbff98ac26acacded,1,0,0,0,0,0,
Fix for issue #1645. ,1,Novice,https://github.com/OpenMined/PySyft/pull/1646,0,0,0,1,0,0,
Fixed a timeout issue occuring on raspberry PIs or low-power devices,0,Experienced,https://github.com/OpenMined/PySyft/pull/2084,1,0,0,0,0,0,
[wip] TFE Keras integration,0,Experienced,https://github.com/OpenMined/PySyft/pull/2170,0,0,1,0,0,0,
Added fix_prec for Linear Object,0,Experienced,https://github.com/OpenMined/PySyft/pull/2364,0,1,0,0,0,0,
Fix code formatting in grid.py,0,Medior,https://github.com/OpenMined/PySyft/pull/2694,0,0,0,0,0,1,
Remove Siraj Raval from README,0,Experienced,https://github.com/OpenMined/PySyft/pull/2815,0,0,0,1,0,0,
Cleanup Protocol,1,Experienced,https://github.com/OpenMined/PySyft/pull/2849,0,0,0,0,0,1,
add missing python packages and edit makefile,0,Novice,https://github.com/OpenMined/PySyft/pull/2870,0,0,0,1,0,0,
Translation to Indonesian Tutorial - Part 01,0,Experienced,https://github.com/OpenMined/PySyft/pull/2899,0,0,0,1,0,0,
Bengali Tutorial Part Two,0,Experienced,https://github.com/OpenMined/PySyft/pull/2942,0,0,0,1,0,0,
Add dependency caching to Github Actions,0,Experienced,https://github.com/OpenMined/PySyft/pull/3124,0,0,0,0,1,0,
Update regarding incompatible python versions,0,Medior,https://github.com/OpenMined/PySyft/pull/3154,0,0,0,1,0,0,
README.md update: specify python=3.7,0,Experienced,https://github.com/OpenMined/PySyft/pull/3162,0,0,0,1,0,0,
added floptimizer to maintain a list of optimizer objects,1,Novice,https://github.com/OpenMined/PySyft/pull/3179,0,1,0,0,0,0,
Add a `protocol` kwarg to `encrypt()` method to select between MPC and Paillier HE ,1,Experienced,https://github.com/OpenMined/PySyft/pull/3234,0,1,0,0,0,0,
