First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Fixed generator collisions for nested controller modules. ,0,Experienced,https://github.com/rails/rails/commit/2d372d704987e05712ccd937e78d8dbd41242efe,1,0,0,0,0,0,
Ruby 1.9.1p0's URI.decode() bug fix,0,Experienced,https://github.com/rails/rails/commit/3b3dbd797397fe692fa50bdb46a0db06b82bf848,1,0,0,0,0,0,
Allow store to be a not null column.,0,Experienced,https://github.com/rails/rails/pull/4856,0,1,0,0,0,0,
ordinalize negative numbers patch,0,Novice,https://github.com/rails/rails/pull/438,0,1,0,0,0,0,
Trusted proxies are configurable,0,Medior,https://github.com/rails/rails/pull/2632,0,0,1,0,0,0,
Fix confusing example in ActiveModel::Errors ,0,Experienced,https://github.com/rails/rails/commit/0c948a587d5fd22d0d0465d81ced2be9b903a6f6,0,0,0,1,0,0,
Remove mention of `convert_key` now that it's been taken out in,0,Medior,https://github.com/rails/rails/commit/32c28e8214940fe6b06043b280e8d342e16eb3c6,0,0,0,0,0,1,
Support another file type .rake in `rake notes`,0,Medior,https://github.com/rails/rails/pull/7871,0,1,0,0,0,0,
Added regression test for #8195. ,0,Experienced,https://github.com/rails/rails/commit/567cdd1f29850d66e4b895be2eba4a100df51371,0,0,0,0,1,0,
Update capture_helper.rb ,0,Experienced,https://github.com/rails/rails/commit/c5b5c68d522b4bdcb5fce03a5966ec93bdd87e95,0,0,0,0,0,1,
Fix links containing stray colons ,0,Medior,https://github.com/rails/rails/commit/69a87d5ada9dd07ed95d16c11767c8fb73e81051,0,0,0,1,0,0,
Fix #8856 Ensure has_one association=(associate) triggers save. ,0,Experienced,https://github.com/rails/rails/commit/ebd7cc6f459e43aa03a6b8095266888909e0ee4d,1,0,0,0,0,0,
Allow override of PostgreSQL UUID primary key default ,0,Experienced,https://github.com/rails/rails/pull/10404,0,1,0,0,0,0,
Restore ActiveRecord connection to original environment after rake:db:test:prepare task.,0,Experienced,https://github.com/rails/rails/pull/10424,0,1,0,0,0,0,
Add detailed steps on how to squash multiple commits into a single detailed commit,0,Experienced,https://github.com/rails/rails/commit/6df9c595ad8e473d15a81a9291e891476bc833c2,0,0,0,1,0,0,
Merge Arel,0,Experienced,https://github.com/rails/rails/pull/32097,0,0,1,0,0,0,
Change order of scope subsections in Active Record Querying guide,0,Medior,https://github.com/rails/rails/pull/14576,0,1,0,0,0,1,
Integrate ActiveJob / DeliverLater / GlobalID with Rails,0,Experienced,https://github.com/rails/rails/pull/16485,0,0,1,0,0,0,Fun fact: creator of Rails.
Return truthy value from head method,0,Novice,https://github.com/rails/rails/pull/19291,1,0,0,0,0,0,
bugfix CodeStatics#calculate_directory_statics when dir has source ext,0,Medior,https://github.com/rails/rails/pull/19703,1,0,0,0,0,0,
Remove out-of-date AC::Broadcaster reference ,0,Experienced,https://github.com/rails/rails/commit/f2c270cd0e6846ef46c91d73a2c996b759cc5da2,0,0,0,0,0,1,
"ActionCable, sometimes add_channel is not called.",0,Experienced,https://github.com/rails/rails/pull/25030,1,0,0,0,0,0,
[documentation] ActiveRecord: Document order of Callbacks,0,Experienced,https://github.com/rails/rails/pull/27294,0,0,0,1,0,0,
Specify correct extension for text layouts,0,Experienced,https://github.com/rails/rails/pull/29618,0,0,0,1,0,0,
Fix IE 10 and IE 11's broken `preventDefault` for rails-ujs,0,Experienced,https://github.com/rails/rails/pull/31574,1,0,0,0,0,0,
Add available transformations to docs,0,Experienced,https://github.com/rails/rails/pull/32876,0,0,0,1,0,0,
"""brethen"" is misspelled and could be clearer",0,Experienced,https://github.com/rails/rails/pull/33033,0,0,0,1,0,0,
[Docs] All links from README.md now served over https,0,Experienced,https://github.com/rails/rails/pull/33481,0,0,0,1,0,0,
Focus search input after page load on /rails/info/routes ,0,Experienced,https://github.com/rails/rails/pull/33683,0,1,0,0,0,0,
Fixing an issue when parsing an opclass by allowing indexed column in indexdef to be wrapped up by double quotes,0,Experienced,https://github.com/rails/rails/pull/34498,1,1,0,0,0,0,
