First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
Double quotes for strings in JSON data,0,Medior,https://github.com/facebook/react/pull/128,0,0,0,0,0,1,
Fix failing tests,0,Medior,https://github.com/facebook/react/pull/524,0,0,0,0,1,0,
Serve unminified react.js on docs site,0,Experienced,https://github.com/facebook/react/pull/1365,0,0,0,1,0,0,
Updated the ajax to tip to also mention that you need to check ,0,Experienced,https://github.com/facebook/react/commit/cd3ba59cf18c08338f6eb614ee28daa30ac974de,0,1,0,0,0,0,
Give context aware message if markup reuse fails,0,Experienced,https://github.com/facebook/react/pull/2629,0,0,1,0,0,0,
Corrected spelling in ReactReconcileTransaction.js,0,Novice,https://github.com/facebook/react/pull/4123,0,0,0,1,0,0,
[docs] fix forms Default Value example,0,Medior,https://github.com/facebook/react/pull/5101,0,0,0,1,0,0,
ReactShallowRenderer.render returns the rendered output ,0,Experienced,https://github.com/facebook/react/pull/5411,0,1,0,0,0,0,
[docs] Fix typo in ref-08-reconciliation.md,0,Experienced,https://github.com/facebook/react/pull/5799,0,0,0,1,0,0,
Update 10.2-form-input-binding-sugar.zh-CN.md,0,Novice,https://github.com/facebook/react/pull/6141,0,0,0,1,0,0,
Grammar fix for 15.0 blog post ,0,Experienced,https://github.com/facebook/react/pull/6443,0,0,0,1,0,0,
Wording change in doc,0,Medior,https://github.com/facebook/react/pull/7348,0,0,0,1,0,0,
Update OWASP link in docs for dangerous innerHTML,0,Experienced,https://github.com/facebook/react/pull/7710,0,0,0,1,0,0,
Add link to gulpjs ,0,Experienced,https://github.com/facebook/react/commit/b59a8d94cc5f7253a4b8ad8be8d4b3072faf375e,0,0,0,1,0,0,
forms breakup ,0,Experienced,https://github.com/facebook/react/commit/3a09f4bf30a8feaccfe5716d74de8b78f3d07a6a,0,0,0,0,0,1,
Handles risky callbacks on setState. Fixes #8238,0,Experienced,https://github.com/facebook/react/pull/8242,0,1,0,0,0,1,
update to codebase-overview.md,0,Experienced,https://github.com/facebook/react/pull/8671,0,0,0,1,0,0,
Missing onLoad and onError events on image tag #5626,0,Novice,https://github.com/facebook/react/pull/9042,0,1,0,0,0,0,
"Docs: Use single quotes, remove extra whitespace",0,Experienced,https://github.com/facebook/react/pull/9215,0,0,0,1,0,0,
Remove addons path deleted in #9209,0,Experienced,https://github.com/facebook/react/pull/9921,0,0,0,0,0,1,
"""Write Code in Your Editor"": Split step 5 into 2 steps",0,Experienced,https://github.com/facebook/react/pull/10832,0,0,0,1,0,0,
Add React Summit Nigeria to the list of conferences.,0,Novice,https://github.com/facebook/react/pull/10939,0,0,0,1,0,0,
Correct logo URL,0,Experienced,https://github.com/facebook/react/pull/11090,1,0,0,0,0,0,
Rewrite ReactDOMInput-test depending on internal API (#11299),1,Medior,https://github.com/facebook/react/pull/11309,0,0,0,0,1,0,
Support string values for capture attribute,0,Experienced,https://github.com/facebook/react/pull/11424,0,1,0,0,0,0,
Update HTTP -> HTTPs in README files,0,Novice,https://github.com/facebook/react/pull/11635,0,0,0,1,0,0,
Reduce scheduler serialization overhead,0,Experienced,https://github.com/facebook/react/pull/14249,0,1,0,0,0,1,
Use SameValue instead of === to check for dispatchAction equivalence,0,Experienced,https://github.com/facebook/react/pull/14752,0,0,0,0,0,1,
Improve `table > tr` warning,0,Experienced,https://github.com/facebook/react/pull/16535,0,1,0,0,0,0,
Moving backend injection to the content script,0,Novice,https://github.com/facebook/react/pull/16900,0,0,0,0,0,1,
