First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
fix bug where switcher is messing with account menu,0,Experienced,https://github.com/sindresorhus/refined-github/pull/16,1,0,0,0,0,0,
Close #12 PR: Add `Releases` tab to the repo page. Fixes #8,0,Experienced,https://github.com/sindresorhus/refined-github/commit/4f82478b8cce46f852dd237b5b4d43014adda6bc,0,0,1,0,0,0,
Moves the account switcher thumbnail next to the text,0,Experienced,https://github.com/sindresorhus/refined-github/pull/45,0,1,0,0,0,1,
fix merge commit duplicated icon,0,Experienced,https://github.com/sindresorhus/refined-github/pull/116,1,0,0,0,0,0,
Move entire sidebar content down with padding,0,Experienced,https://github.com/sindresorhus/refined-github/pull/271,0,1,0,0,0,0,
Move Operator Mono to top of font stack,0,Experienced,https://github.com/sindresorhus/refined-github/pull/335,0,0,0,0,0,1,
Fix releases counter class name,0,Experienced,https://github.com/sindresorhus/refined-github/pull/379,1,0,0,0,0,1,
Add navigation to milestone pages,0,Experienced,https://github.com/sindresorhus/refined-github/pull/375,0,1,0,0,0,0,
Leverage Operator Mono ScreenSmart variant,0,Experienced,https://github.com/sindresorhus/refined-github/pull/384,0,0,0,0,0,1,
"Fix Trending menu item and ""g + t"" shortcut disappearance and hide Marketplace menu item",0,Medior,https://github.com/sindresorhus/refined-github/pull/639,1,0,0,0,0,0,
check for repo nav element,0,Experienced,https://github.com/sindresorhus/refined-github/pull/664,0,0,0,0,0,1,
"Fix ""mark unread"" not updating participating count on notifications page",0,Medior,https://github.com/sindresorhus/refined-github/pull/681,1,0,0,0,0,0,
Don't show names for GitHub apps ,0,Experienced,https://github.com/sindresorhus/refined-github/pull/959,1,0,0,0,0,1,
Fix dropdowns backdrop z-index issues,0,Experienced,https://github.com/sindresorhus/refined-github/pull/1044,1,0,0,0,0,0,
Use the pull request description as the commit message when merging w,0,Experienced,https://github.com/amilenkovic/refined-github/pull/1,0,1,0,0,0,0,
Disable referrer for linkified URLs,0,Medior,https://github.com/sindresorhus/refined-github/pull/1380,1,0,0,0,0,1,
Add delete button to files in a PR,0,Experienced,https://github.com/sindresorhus/refined-github/pull/1398,0,0,1,0,0,0,
Remove coma from release number ,0,Experienced,https://github.com/sindresorhus/refined-github/pull/1414,0,1,0,0,0,1,
Remove your repositories link in dropdown,0,Experienced,https://github.com/sindresorhus/refined-github/pull/1460,0,1,0,0,0,0,
Set default repositories type to sources,0,Medior,https://github.com/sindresorhus/refined-github/pull/1440,0,0,0,0,0,1,
Add Sourcegraph to related extensions in the readme,0,Medior,https://github.com/sindresorhus/refined-github/pull/1583,0,0,0,1,0,0,
Show warning when user attempts to disable PR edits ,1,Experienced,https://github.com/sindresorhus/refined-github/pull/1770,0,1,0,1,0,0,
Edit GHE GraphQL endpoint,1,Experienced,https://github.com/sindresorhus/refined-github/pull/1812,1,0,0,0,0,0,
Resolve conflicts in a click,0,Experienced,https://github.com/sindresorhus/refined-github/pull/1882,0,0,1,0,0,1,
Various fixes for `global-discussion-list-filters` feature,0,Experienced,https://github.com/sindresorhus/refined-github/pull/1926,1,0,0,0,0,0,
Fix wrong id in edit-files-faster,0,Novice,https://github.com/sindresorhus/refined-github/pull/1972,1,0,0,0,0,0,
"Restore ""Open All"" on issues/PRs list (`batch-open-issues`) ",1,Experienced,https://github.com/sindresorhus/refined-github/pull/2015,0,0,0,0,0,1,
Consider more positive reactions in `highest-rated-comment`,0,Experienced,https://github.com/sindresorhus/refined-github/pull/2387,0,1,0,0,0,0,
Fix `sync-pr-commit-title` with new issue option,0,Experienced,https://github.com/sindresorhus/refined-github/pull/2402,1,0,0,0,0,0,
Revert usage of `@me` search keyword to restore GHE support,0,Medior,https://github.com/sindresorhus/refined-github/pull/2819,1,0,0,0,0,1,
