First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
typo in xw_plus_b,0,Experienced,https://github.com/tensorflow/tensorflow/pull/949,0,0,0,1,0,0,
Fixed learning_rate in trainer,0,Experienced,https://github.com/tensorflow/tensorflow/commit/e9a6432014d5f1e64819baa96dfb6e768d326b7d,1,1,0,0,0,0,
"Typo in comment, random weights init",0,Experienced,https://github.com/tensorflow/tensorflow/pull/1617,0,0,0,1,0,0,
"Adds conv3d_transpose operation (3D ""deconvolution"") ",0,Experienced,https://github.com/tensorflow/tensorflow/pull/3049,0,0,1,0,0,0,
Fix typo in error message formats,0,Experienced,https://github.com/tensorflow/tensorflow/pull/3662,1,0,0,0,0,0,
fixing go get and var name,0,Medior,https://github.com/tensorflow/tensorflow/pull/4918,1,0,0,0,0,0,
Fix typo,0,Novice,https://github.com/tensorflow/tensorflow/pull/5881,0,0,0,1,0,0,
Group LSTM cell,0,Medior,https://github.com/tensorflow/tensorflow/pull/9606,0,0,1,0,0,0,
" Allow gRPC Workers to use configure the number of threads driving work on both client and server side. Thread count is hardcoded to 8 for now, should be tuned in the future.",0,Experienced,https://github.com/tensorflow/tensorflow/commit/0d5fb1036e0e8d99a942e7a5234feaef021607f5,0,1,0,0,0,0,
Removing duplicate code block that raises exception,0,Medior,https://github.com/tensorflow/tensorflow/pull/16568,0,0,0,0,0,1,
Add broadcasting functionality for Div and Sub ops.,0,Novice,https://github.com/tensorflow/tensorflow/pull/17123,0,1,0,0,0,0,
Fix typo,0,Experienced,https://github.com/tensorflow/tensorflow/pull/17434,0,0,0,1,0,0,Typo.
XLA CPU Fft no core framework and single thread,0,Novice,https://github.com/tensorflow/tensorflow/pull/18685,1,1,0,0,0,0,
ust fix little issue that is model_file_type variable but not using it in iOS DEMO.,0,Novice,https://github.com/tensorflow/tensorflow/pull/19149,1,0,0,0,0,0,
Update keras.md,0,Experienced,https://github.com/tensorflow/tensorflow/pull/20957,0,0,0,1,0,0,
Update Go README with working bazel config flag,0,Experienced,https://github.com/tensorflow/tensorflow/pull/21027,0,0,0,1,0,0,
Fix a bug in TF_LITE_ENSURE_OK.,0,Novice,https://github.com/tensorflow/tensorflow/pull/22144,1,0,0,0,0,0,
fix spelling error,0,Experienced,https://github.com/tensorflow/tensorflow/pull/23707,0,0,0,1,0,0,
Fix ClusterSpec.as_dict with only chief and ps,0,Experienced,https://github.com/tensorflow/tensorflow/pull/24166,1,0,0,0,0,0,
fix broken links and typo in NMT w/Attention example,0,Experienced,https://github.com/tensorflow/tensorflow/pull/25201,0,0,0,1,0,0,
Automated rollback of changelist 246372868 ,0,Experienced,https://github.com/tensorflow/tensorflow/commit/9b450b1ef19ab4640bb0ea8b1ebabf14e710a0b9,0,0,0,0,0,1,
Modularized gaussian noises' dtype.,0,Experienced,https://github.com/tensorflow/tensorflow/pull/30844,1,0,0,0,0,0,
In while_v2 emit a StatelessIf op if the body is stateless.,0,Experienced,https://github.com/tensorflow/tensorflow/commit/170a95de67f266c9fd7fea3ceedc5a7ecb0c80c3,0,0,0,0,0,1,
Change imported header file to resolve build error. ,0,Experienced,https://github.com/tensorflow/tensorflow/commit/7418650579fe66561e8456376ebf79527e744e73,0,0,0,0,0,1,
Fix for parallel_map_dataset_op_test failure on big endian,0,Medior,https://github.com/tensorflow/tensorflow/pull/33596,1,0,0,0,0,0,
 Add support for per-channel quantization for hybrid conv weights with asymmetric inputs,0,Experienced,https://github.com/tensorflow/tensorflow/commit/a96887c483553c58c969b934cca1aa0321ed4653,0,1,0,0,0,0,
Fix deprecation warnings in image_ops by replacing div with divide or floordiv,0,Experienced,https://github.com/tensorflow/tensorflow/pull/34807,1,0,0,0,0,0,
Add survey to README.md,0,Novice,https://github.com/tensorflow/tensorflow/pull/35082,0,0,0,1,0,0,
Fix docstring of padded_batch,0,Experienced,https://github.com/tensorflow/tensorflow/pull/35128,0,0,0,1,0,0,
"Updated ""tf.keras.losses.cosine_similarity()"" docs",0,Medior,https://github.com/tensorflow/tensorflow/pull/37905,0,0,0,1,0,0,
