First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
chore: remove useless parameter to the function removeVnodes (#9910),0,Experienced,https://github.com/vuejs/vue/pull/9914,0,0,0,0,0,1,
Improving license clarity of simplehtmlparser.js,0,Medior,https://github.com/vuejs/vue/pull/9907,0,0,0,1,0,0,
fix(compiler): remove the extra space of v-for alias,0,Experienced,https://github.com/vuejs/vue/pull/8233,0,1,0,0,0,1,
Add iterable supports for v-for ,0,Experienced,https://github.com/vuejs/vue/pull/8179,0,0,1,0,1,0,Related to https://github.com/vuejs/vue/issues/5893
chore: add unittests for core/observer/dep,0,Experienced,https://github.com/vuejs/vue/pull/7738,0,0,0,0,1,0,
Add UMD global declaration to index.d.ts,0,Experienced,https://github.com/vuejs/vue/pull/7868,0,0,0,0,0,1,
fix(v-model): add value to $attrs if not defined in props (fix #9330),0,Experienced,https://github.com/vuejs/vue/pull/9331,1,0,0,0,1,0,
documentation,0,Experienced,https://github.com/vuejs/vue/issues/3,0,0,0,1,0,0,
[automated] Patreon sponsors update,0,BOT,https://github.com/vuejs/vue/pull/9296,0,0,0,1,0,0,
feat: add .editorconfig,0,Experienced,https://github.com/vuejs/vue/pull/5691,0,0,0,0,0,1,
Unit tests for v-bind:style,0,Experienced,https://github.com/vuejs/vue/pull/2932,0,0,0,0,1,0,
chore: fix typo in `next-tick.js` comment,0,Experienced,https://github.com/vuejs/vue/pull/10607,0,0,0,1,0,0,
fix typo,0,Experienced,https://github.com/vuejs/vue/pull/9934,0,0,0,1,0,0,
update README.md,0,Medior,https://github.com/vuejs/vue/pull/9346,0,0,0,1,0,0,
fix(compiler): fix double escaping of ssrNode attribute values (fix #7223),0,Experienced,https://github.com/vuejs/vue/pull/7224,1,0,0,0,0,0,
fix ts types: use object and string instead of Object and String,0,Medior,https://github.com/vuejs/vue/pull/7126,1,0,0,0,0,1,
Update downloads badge to point to graph of downloads ,0,Experienced,https://github.com/vuejs/vue/pull/7733,0,0,0,1,0,0,
docs: fix spelling and grammatical errors,0,Medior,https://github.com/vuejs/vue/pull/9619,0,0,0,1,0,0,
Make callback optional when providing context,0,Experienced,https://github.com/vuejs/vue/pull/7098,0,1,0,0,0,0,
feat(compiler): output source range for compiler errors (#6338),0,Experienced,https://github.com/vuejs/vue/pull/7127,0,1,1,0,1,1,
"Expose the author URL in ""Commits"" example",0,Experienced,https://github.com/vuejs/vue/pull/2751,0,0,0,1,0,0,
comment spelling errors,0,Novice,https://github.com/vuejs/vue/pull/2800,0,0,0,1,0,0,
test(observe): remove unused test code,0,Experienced,https://github.com/vuejs/vue/pull/9684,0,0,0,0,1,1,
fix: add v-show style in ssr if style is binding to an array,0,Medior,https://github.com/vuejs/vue/pull/7814,1,0,0,0,1,0,
"Fixed ""delcare"" typo error",0,Experienced,https://github.com/vuejs/vue/pull/3552,0,0,0,1,0,0,
Suppress a warning 'Unknown custom element' with SSR <img> tag,0,Experienced,https://github.com/vuejs/vue/pull/2802,0,1,0,0,1,0,
Add esm-files to package.json,0,Experienced,https://github.com/vuejs/vue/pull/5009,0,1,0,0,0,0,
simple grammar fix in readme. eliminated extra 'the',0,Experienced,https://github.com/vuejs/vue/pull/8887,0,0,0,1,0,0,
fix(core): fix defineReactive unnecessary getters call fix #7280,0,Experienced,https://github.com/vuejs/vue/pull/7302,1,0,0,0,0,1,
"Update CONTRIBUTING.md's jdfiddle template, and vue's version inside ISSUE_TEMPLATE.md",0,Experienced,https://github.com/vuejs/vue/pull/3921,0,0,0,1,0,0,
