First Commit Pull Request,Related to a good-first-issue?,Developer Experience?,Link to PR,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
[Android] Allow designer to disable asynchronicity in image loading.,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/111,0,1,0,0,0,0,
Android Custom Font support,0,Novice,https://github.com/xamarin/Xamarin.Forms/pull/236,0,0,1,0,0,0,
Invalidate measure of Label when FormattedText changes ,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/303,0,1,0,0,0,0,
Allow Custom Android MapRenderers to override the default MapView options,0,Novice,https://github.com/xamarin/Xamarin.Forms/pull/285,0,1,0,0,0,0,
fix bug-39359,0,Novice,https://github.com/xamarin/Xamarin.Forms/pull/599,1,0,0,0,0,0,
[README] Add Xamarin.Forms banner,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/757,0,0,0,1,0,0,
UWP MapRenderer NRE and Location fixes,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/811,1,0,0,0,0,0,
Spell correction of FromattedString,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/864,0,0,0,1,0,0,
[iOS] Extract native control creation like in android ButtonRenderer,0,Novice,https://github.com/xamarin/Xamarin.Forms/pull/1080,0,1,0,0,0,0,
[UWP] Bug 57674 - XF.UWP ListView not honoring INotifyCollectionChanged ,0,Novice,https://github.com/xamarin/Xamarin.Forms/pull/1235,1,0,0,0,0,0,
Implemented MaxLength property on Entry and Editor,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/1880,0,1,0,0,0,0,
Use relative URL to support recursive checkout in VSTS,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/1926,0,1,0,0,0,0,
"[Core, iOS, Android, UWP, WPF] Hide scroll view scroll bars",0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/1910,0,1,0,0,0,0,
"[WPF] Fix bug : Xamarin.Forms WPF load local html throw ArgumentException with message ""Relative URIs are not allowed""",0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/2166,1,0,0,0,0,0,
[Tizen]Add Caret position for Tizen,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/3255,0,0,1,0,0,0,
GH2691: Make XmlnsDefinitionAttribute public,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/2782,0,1,0,0,0,1,
Implemented ImageButtonRenderer for WPF ,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/5668,0,1,0,0,0,0,
s/SearchBoxVisiblity/SearchBoxVisibility/ from base 4.0.0,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/5931,1,0,0,0,0,0,
[GTK] Fix Padding/Margin properties of Frame element (#5533),0,Novice,https://github.com/xamarin/Xamarin.Forms/pull/5764,1,0,0,0,0,0,
WpfHelper.FindChildren: Pass forceUsingTheVisualTreeHelper to recursive calls.,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/5922,0,0,0,0,0,1,
Fixes for B40005 test case,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/5912,1,0,0,0,1,0,
Disposed objects are not handled properly in android scrollview renderer #5820,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/6151,1,0,0,0,0,0,
fix NRE in InvokeOnMainThreadAsync,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/6708,1,0,0,0,0,0,
[GTK] Fix navigation,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/6692,1,0,0,0,0,0,
[iOS] Moved `UITableView` setup selection to `ListViewRenderer`,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/7122,0,0,0,0,0,1,
[Android] Cache typefaces in font image source handler,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/6470,0,1,0,0,0,1,
[Android] Context actions menu is now updated when changing cells.,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/6460,0,1,0,0,0,0,
Warn on Styles validation instead of throwing exception,0,Experienced,https://github.com/xamarin/Xamarin.Forms/pull/7495,0,1,0,0,0,0,
In Android : Reverse layout only when default layout direction is the…,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/7809,1,0,0,0,0,0,
[p/gtk]Fix for #4880 -Text not shown as it should Xamarin.Forms.GTK,0,Medior,https://github.com/xamarin/Xamarin.Forms/pull/8473,1,0,0,0,0,0,
chore: remove useless parameter to the function removeVnodes (#9910),0,Experienced,https://github.com/vuejs/vue/pull/9914,0,0,0,0,0,1,
Improving license clarity of simplehtmlparser.js,0,Medior,https://github.com/vuejs/vue/pull/9907,0,0,0,1,0,0,
fix(compiler): remove the extra space of v-for alias,0,Experienced,https://github.com/vuejs/vue/pull/8233,0,1,0,0,0,1,
