Second Contribution (Pull Request),Link to Second PR,Link to First Contribution,Bug Fix (0/1),Enhancing an Existing Feature (0/1),New Feature (0/1),Documentation(0/1),Testing (0/1),Refactoring (0/1),Other Information
N.A,N.A,https://github.com/xamarin/Xamarin.Forms/pull/757,0,0,0,0,0,0,
N.A,N.A,https://github.com/vuejs/vue/pull/7733,0,0,0,0,0,0,
Support auto-prefixed style value as array (client/ssr),https://github.com/vuejs/vue/pull/5460,https://github.com/vuejs/vue/pull/3921,0,0,1,0,0,0,
N.A,N.A,https://github.com/tastejs/todomvc/pull/842,0,0,0,0,0,0,
Add Carrot Creative to the list of consultants,https://github.com/serverless/serverless/pull/708,https://github.com/serverless/serverless/pull/481,0,0,0,1,0,0,
N.A,N.A,https://github.com/sindresorhus/refined-github/pull/1583,0,0,0,0,0,0,
N.A,N.A,https://github.com/facebook/react/pull/8671,0,0,0,0,0,0,
N.A,N.A,https://github.com/rails/rails/pull/33481,0,0,0,0,0,0,
:construction_worker: build: create binary `syft_cmd` during install,https://github.com/OpenMined/PySyft/pull/8,https://github.com/OpenMined/PySyft/pull/1,0,1,0,0,0,0,
Initial CODE_OF_CONDUCT.md commit ,https://github.com/microsoft/PowerToys/commit/4989396abc2d5cdbe2e9a794cc9db871e546b8bf,https://github.com/microsoft/PowerToys/commit/4f4a9e4dcf2e57f23700bb1390e122a07217e0ff,0,0,0,1,0,0,
N.A,N.A,https://github.com/microsoft/PowerToys/pull/153,0,0,0,0,0,0,
N.A,N.A,https://github.com/microsoft/playwright/pull/709,0,0,0,0,0,0,
N.A,N.A,https://github.com/goldbergyoni/nodebestpractices/pull/66,0,0,0,0,0,0,
N.A,N.A,https://github.com/goldbergyoni/nodebestpractices/pull/298,0,0,0,0,0,0,
N.A,N.A,https://github.com/goldbergyoni/nodebestpractices/pull/604,0,0,0,0,0,0,
N.A,N.A,https://github.com/ing-bank/lion/pull/584,0,0,0,0,0,0,
fix link to contributing.md,https://github.com/thedaviddias/Front-End-Checklist/pull/215,https://github.com/thedaviddias/Front-End-Checklist/pull/214,0,0,0,1,0,0,
N.A,N.A,https://github.com/pallets/flask/pull/1335,0,0,0,0,0,0,
docs: add guide for writing readmes ,https://github.com/expressjs/express/commit/1678613db165126306bd79ca6bda310c5cf9bb62,https://github.com/expressjs/express/commit/c48014fde8682f59c2fff8f0ae4655daf8de3b0d,0,0,0,1,0,0,
N.A,N.A,https://github.com/elastic/elasticsearch/pull/29155,0,0,0,0,0,0,
N.A,N.A,https://github.com/elastic/elasticsearch/commit/b9d36fdb5e2ee500adc699f1bdad47007805e821,0,0,0,0,0,0,
N.A,N.A,https://github.com/microsoft/DeepSpeed/pull/60,0,0,0,0,0,0,
removed session_params from deepspeed_constants.py,https://github.com/microsoft/DeepSpeed/pull/162,https://github.com/microsoft/DeepSpeed/pull/79,0,0,0,0,0,1,
N.A,N.A,https://github.com/crawlab-team/crawlab/commit/37f5889b090f162ffeca55c32cb6301b5fd052a6,0,0,0,0,0,0,
N.A,N.A,https://github.com/briannesbitt/Carbon/pull/382,0,0,0,0,0,0,
"

Update Lithuanian tests ",https://github.com/briannesbitt/Carbon/commit/71851d1c63d75ce8c4a3aef2d2d0bb12575a7d13,https://github.com/briannesbitt/Carbon/commit/a0a0e79e0945593b67a0883598417a0b371199d4,0,0,0,0,1,0,
N.A,N.A,https://github.com/daneden/animate.css/pull/148,0,0,0,0,0,0,
docs(changelog): fix typo in 5.1.1,https://github.com/angular/angular/pull/21007,https://github.com/angular/angular/pull/18765,0,0,0,1,0,0,
docs: Fix links,https://github.com/angular/angular/pull/27027,https://github.com/angular/angular/pull/26754,0,0,0,1,0,0,
N.A,N.A,https://github.com/angular/angular/pull/29930,0,0,0,0,0,0,
