First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
9823daa4294a8620c43aaed482bb22cf2be4db0a,Initial commit,thedaviddias,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/9823daa4294a8620c43aaed482bb22cf2be4db0a
aeefcb8a6391d202ca5c1010fa52eca1ca4671a4,Update README.md,mrzdevcore,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/aeefcb8a6391d202ca5c1010fa52eca1ca4671a4
df279b7945e9f150b0d39d5d290b35e99f0cc438,Fix typos,zakizkhan,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/df279b7945e9f150b0d39d5d290b35e99f0cc438
d93ac576e47a4090e875778ddc54b5e335ee2ec0,Update README.md,jwd83,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/d93ac576e47a4090e875778ddc54b5e335ee2ec0
9b44d2941f7bfa4a76f0229f486e576c50e00dea,Add alternative favicon generator,cdubz,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/9b44d2941f7bfa4a76f0229f486e576c50e00dea
671fb7bbc4531a07bed20cc6eea62d8ccfd948ce,Fix error in code comment for x-ua-compatible,serkandurusoy,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/671fb7bbc4531a07bed20cc6eea62d8ccfd948ce
2f5d039aeef9af371f5a1d3a892b52dd8e711b06,"Fix typo.

Webfront -> Webfont",TrevorS,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/2f5d039aeef9af371f5a1d3a892b52dd8e711b06
934f032239700d4087b8ada3a697e4b59cbe4358,Fix typo in README.md,petetnt,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/934f032239700d4087b8ada3a697e4b59cbe4358
057d6e6dc1a53c14fa46b2dcc926dadce74e92a5,Add missing link to W3C validator,ainkinen,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/057d6e6dc1a53c14fa46b2dcc926dadce74e92a5
1ebc1fabf71adc01fb6b7eacbcd8c112d4077249,Type fix: disfunction --> dysfunction,philraj,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/1ebc1fabf71adc01fb6b7eacbcd8c112d4077249
a684930fa0d489cdd3bb0a3bf45852cde7bc6329,Fixed typo,MartinFaartoft,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/a684930fa0d489cdd3bb0a3bf45852cde7bc6329
ba0610f2a150cbd29038a6b853af4953b3bdeb3d,"Fix typo

fmore -> more",fourcube,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/ba0610f2a150cbd29038a6b853af4953b3bdeb3d
11754ca5a92de17a444525d7c19c316cd183e6e8,Fix Misspellings,roger-kang-mo,https://api.github.com/repos/thedaviddias/Front-End-Checklist/git/commits/11754ca5a92de17a444525d7c19c316cd183e6e8
