First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
454fb5943d85ea88007cab0cd34539bf02b73129,Initial commit,thedaviddias,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/454fb5943d85ea88007cab0cd34539bf02b73129
3d43ef86bee7d79e65eb1c95ec85306d07a96ad0,Fix link list,azu,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/3d43ef86bee7d79e65eb1c95ec85306d07a96ad0
b52c85b00f9818e61cc5369294b1a77b2d48c4d2,Fix backticks,ParkSB,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/b52c85b00f9818e61cc5369294b1a77b2d48c4d2
51665b48760261e9d2d819264fc9a5ceeb218906,update open issues link,firattale,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/51665b48760261e9d2d819264fc9a5ceeb218906
62169e49ebf7d17950e07b3ccc0126b2507a7052,Delete .DS_Store,limonte,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/62169e49ebf7d17950e07b3ccc0126b2507a7052
d31c552f4595bb23ea6edca031b792cdaeda6d94,"Fix typos and grammar 

`importante` 🡺 `important`
`fech` 🡺 `fetch`
`librairies` 🡺 `libraries` ( x 2 )
`functionnality` 🡺 `functionality`
`Identifing` 🡺 `Identifying`

`your` 🡺 `you`
`you` 🡺 `your` ( x 2 )
`live` 🡺 `lives`
`is` 🡺 `are` ( x 2 )
`are send` 🡺 `is sent`
`minified` 🡺 `minify`
`ended` 🡺 `end`
`need` 🡺 `needed`
`help` 🡺 `helps`
`decrease` 🡺 `decreases`
`Depending` 🡺 `Depending on`
`enable` 🡺 `enabled`",pra85,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/d31c552f4595bb23ea6edca031b792cdaeda6d94
bc7ceeada758e92ec0045d1f00d81d09a53a39ed,Add calibre,benschwarz,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/bc7ceeada758e92ec0045d1f00d81d09a53a39ed
c398568a22a329948078258d34bb82c18d4853b1,"Changed css example ""concatenation""",annnoo,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/c398568a22a329948078258d34bb82c18d4853b1
f33833efdbae2a737502c96b37bba215e4caefad,Update README.md,hdpero,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/f33833efdbae2a737502c96b37bba215e4caefad
906a48a22906c0288dc18ff75bb4455e750f80e3,simplify readme,lex111,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/906a48a22906c0288dc18ff75bb4455e750f80e3
2e004a1fe70b9e9f19f3a9fb97c8826e40c703fe,Add PWMetrics,denar90,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/2e004a1fe70b9e9f19f3a9fb97c8826e40c703fe
1aef0bc25bdf88a5e047ee423b77ee4e8c7cd9ac,Add 🇫🇷 French translation,WilliamDASILVA,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/1aef0bc25bdf88a5e047ee423b77ee4e8c7cd9ac
647ac947a66224ea9af28ff88628ffd913887e39,"Added ""the following"" to fix sentence",verlok,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/647ac947a66224ea9af28ff88628ffd913887e39
35b1f94b5fa75dd885880d903eced31f67b21039,fix(typo): connexion => network connection,shayc,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/35b1f94b5fa75dd885880d903eced31f67b21039
8efc97e5f6e273ea402ac01c1a0c0b159e6f3d3a,"Finish explaining why rel=""preconnect"" is important",bmac,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/8efc97e5f6e273ea402ac01c1a0c0b159e6f3d3a
9e1037e97c2224158fe09d4210faf70d077d2ebb,Add SVG optimization link,dutiyesh,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/9e1037e97c2224158fe09d4210faf70d077d2ebb
de9ea9385a504d6aa0f65bcde979194e6556b1e3,add treo.sh,alekseykulikov,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/de9ea9385a504d6aa0f65bcde979194e6556b1e3
48758eafd7c6c79466234c9e9bd6e4dd74ea74b3,Update wording for iframes section,jakubhomoly,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/48758eafd7c6c79466234c9e9bd6e4dd74ea74b3
e38abe3d776d6e0b5d1548b58f1ae3cb255cfc6f,"Updated Performance tools

Added Lighthouse to the list.",vamsi-kavuri,https://api.github.com/repos/thedaviddias/Front-End-Performance-Checklist/git/commits/e38abe3d776d6e0b5d1548b58f1ae3cb255cfc6f
