First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
f6be6e9fe7f8e4a5170859da6d410ed603844d0c,Initial commit,msftgits,https://api.github.com/repos/microsoft/PowerToys/git/commits/f6be6e9fe7f8e4a5170859da6d410ed603844d0c
4f4a9e4dcf2e57f23700bb1390e122a07217e0ff,Initial commit,microsoftopensource,https://api.github.com/repos/microsoft/PowerToys/git/commits/4f4a9e4dcf2e57f23700bb1390e122a07217e0ff
cbaa5fb732528a61e016da16815de6dffc6cacf1,Update README.md,indierawk2k2,https://api.github.com/repos/microsoft/PowerToys/git/commits/cbaa5fb732528a61e016da16815de6dffc6cacf1
3fc2176f51ad0e821938344f4ad282a070bbda69,fix a couple typos,corbob,https://api.github.com/repos/microsoft/PowerToys/git/commits/3fc2176f51ad0e821938344f4ad282a070bbda69
a5d81e7c1df68215e0160d024c0f035455c5819f,s/expereince/experience,tomer,https://api.github.com/repos/microsoft/PowerToys/git/commits/a5d81e7c1df68215e0160d024c0f035455c5819f
2d282bb6b5d8dec024a8dac79517206de261447d,"Minor spelling corrections

Corrected letter transpositions, and capitalized Alt+Tab for consistency (all other key names were at the beginning of their respective lines, so were already capitalized, but on my Surface Book all modifier keys and Tab are capitalized)",joshuaalm,https://api.github.com/repos/microsoft/PowerToys/git/commits/2d282bb6b5d8dec024a8dac79517206de261447d
9c7d2edf37480fb22824e17cb42106ea862e33e2,add issue links to Backlog list,Meir017,https://api.github.com/repos/microsoft/PowerToys/git/commits/9c7d2edf37480fb22824e17cb42106ea862e33e2
8431b80e482bd1daf90f59c94a1d1ecc0bd252d7,"FancyZones and Shortcut Guide initial commit

Co-authored-by: Alexis Campailla <alexis@janeasystems.com>
Co-authored-by: Bret Anderson <bretan@microsoft.com>
Co-authored-by: Enrico Giordani <enrico.giordani@gmail.com>
Co-authored-by: Jaime Bernardo <jaime@janeasystems.com>
Co-authored-by: Jeff Bogdan <jeffbog@microsoft.com>
Co-authored-by: March Rogers <marchr@microsoft.com>
Co-authored-by: Mike Harsh <mharsh@microsoft.com>
Co-authored-by: Nachum Bundak <Nachum.Bundak@microsoft.com>
Co-authored-by: Oliver Jones <ojones@microsoft.com>
Co-authored-by: Patrick Little <plittle@microsoft.com>",bzoz,https://api.github.com/repos/microsoft/PowerToys/git/commits/8431b80e482bd1daf90f59c94a1d1ecc0bd252d7
71b38bba88a5e10ec75c5fb63308d6702617a36f,Fix typo in README.md (#153),grumpydev,https://api.github.com/repos/microsoft/PowerToys/git/commits/71b38bba88a5e10ec75c5fb63308d6702617a36f
8ef433905745ec26959c9c2ff6b8f4680a1f1c27,"Update backlog links (#201)

- Update FZ backlog links
- Update ShortcutGuide backlog links",enricogior,https://api.github.com/repos/microsoft/PowerToys/git/commits/8ef433905745ec26959c9c2ff6b8f4680a1f1c27
8d80f32a952edb77d07abbd97d8f45d2a130027f,Fix typo in src/README.md  (#207),bitcrazed,https://api.github.com/repos/microsoft/PowerToys/git/commits/8d80f32a952edb77d07abbd97d8f45d2a130027f
b686880e7fffbcf33b3881986bfe450ee7d945c9,Fix typo in README.md (#214),chasemaier,https://api.github.com/repos/microsoft/PowerToys/git/commits/b686880e7fffbcf33b3881986bfe450ee7d945c9
d8558536994ce8efe6b74939641acf107f5a955d,Fix typo in PowerToysBacklog.md (#220),rayburger,https://api.github.com/repos/microsoft/PowerToys/git/commits/d8558536994ce8efe6b74939641acf107f5a955d
fdab2d01b9f42aae3dbb0ef4a3fcae9f6c5f7fd5,"Escape less-than-sign in fancyzones/README.md (#222)

Without escaping this is rendered as an HTML, which is invisible.",mythmon,https://api.github.com/repos/microsoft/PowerToys/git/commits/fdab2d01b9f42aae3dbb0ef4a3fcae9f6c5f7fd5
164462da8b7a139ee5afb3be80871775d844e919,Fix typo in README.md (#221),johng42,https://api.github.com/repos/microsoft/PowerToys/git/commits/164462da8b7a139ee5afb3be80871775d844e919
8d53187d0f99ec5652bf844f2fc1b1c6d46b5c9b,Fix typo in PowerToysBacklog.md  (#231),ExecThTs,https://api.github.com/repos/microsoft/PowerToys/git/commits/8d53187d0f99ec5652bf844f2fc1b1c6d46b5c9b
6acddfb0c77070a3b1401a79af04cf38092fd910,Fix typo in fancyzones/README.md (#259),tulkjay,https://api.github.com/repos/microsoft/PowerToys/git/commits/6acddfb0c77070a3b1401a79af04cf38092fd910
335bf0cb95a3f65218211a53e3aa0ab4cae13b98,"Fix typos in README.md (#258)

Minor typos and more concise language.",trident-job,https://api.github.com/repos/microsoft/PowerToys/git/commits/335bf0cb95a3f65218211a53e3aa0ab4cae13b98
5f5402aa0a40a7177c5b1ad80d231d1b5b97c6c1,"[ImgBot] Optimize images (#225)

*Total -- 3,268.30kb -> 2,584.85kb (20.91%)

/doc/images/example_powertoy/settings.png -- 126.39kb -> 56.48kb (55.31%)
/src/modules/fancyzones/FancyZonesSettings.png -- 177.46kb -> 116.84kb (34.16%)
/Logo.jpg -- 37.32kb -> 26.97kb (27.73%)
/doc/images/Logo.jpg -- 37.32kb -> 26.97kb (27.73%)
/src/modules/fancyzones/Picker.png -- 35.86kb -> 26.45kb (26.25%)
/doc/images/runner/tray.png -- 3.40kb -> 2.52kb (25.95%)
/doc/images/shortcut_guide/usage.png -- 95.94kb -> 72.74kb (24.19%)
/doc/images/shortcut_guide/settings.png -- 40.33kb -> 30.76kb (23.73%)
/src/modules/fancyzones/FancyZones.png -- 1,266.91kb -> 982.63kb (22.44%)
/doc/images/MTNDWidget.jpg -- 5.74kb -> 4.73kb (17.59%)
/MTNDWidget.jpg -- 5.74kb -> 4.73kb (17.59%)
/src/modules/fancyzones/TableEditor.png -- 288.73kb -> 237.93kb (17.59%)
/WindowsKeyShortcutGuide.jpg -- 323.86kb -> 273.17kb (15.65%)
/doc/images/WindowsKeyShortcutGuide.jpg -- 323.86kb -> 273.17kb (15.65%)
/src/modules/fancyzones/WindowEditor.png -- 277.95kb -> 245.99kb (11.5%)
/doc/images/FZTutorial.jpg -- 214.13kb -> 195.51kb (8.7%)
/src/settings-web/src/components/fabric.png -- 7.36kb -> 7.26kb (1.31%)

Signed-off-by: ImgBotApp <ImgBotHelp@gmail.com>",EwoutH,https://api.github.com/repos/microsoft/PowerToys/git/commits/5f5402aa0a40a7177c5b1ad80d231d1b5b97c6c1
e562b29ecd9bbca5521b392cf82e9d6b1fe7d411,Editor should come up on the monitor with the foreground window. Defaults to primary monitor if there is no foreground window.,TheMrJukes,https://api.github.com/repos/microsoft/PowerToys/git/commits/e562b29ecd9bbca5521b392cf82e9d6b1fe7d411
ffa1b1e6a316f52fcc7347ebfd7ef6526eb1af82,Cleanup settings-web (#280),Alaricus,https://api.github.com/repos/microsoft/PowerToys/git/commits/ffa1b1e6a316f52fcc7347ebfd7ef6526eb1af82
38029efe50cc8aba012d5b6d5ab1cb4fa9ceea06,Added Hi-res logo (4k PNG),casungo,https://api.github.com/repos/microsoft/PowerToys/git/commits/38029efe50cc8aba012d5b6d5ab1cb4fa9ceea06
12cd7bb49fa3de095d0aef51bf6ba1bd27cceb0a,"Advertise shortcuts

* Change shortcut to advertised

Note that I had to remove the ability to not install a
Start Menu shortcut, as advertised shortcuts must always
be installed.

Also note that I had to change the ""Core"" feature to always
be installed (disabling Install-on-Demand) as having that
turned on broke the Scheduled Task installer.

* Disable ARPNOMODIFY",wjk,https://api.github.com/repos/microsoft/PowerToys/git/commits/12cd7bb49fa3de095d0aef51bf6ba1bd27cceb0a
6cf3486387995a51bfc6c5ebcc16442b85aa0268,Add documentation about Chocolatey installation (#349),mkevenaar,https://api.github.com/repos/microsoft/PowerToys/git/commits/6cf3486387995a51bfc6c5ebcc16442b85aa0268
