First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
5857bbfc9b56564adfc7f0d88af0b2f3ec6ec3b4,Initial commit,iamtrask,https://api.github.com/repos/OpenMined/PySyft/git/commits/5857bbfc9b56564adfc7f0d88af0b2f3ec6ec3b4
66302419714969ac7c3d8c61401d23f36dd26ed7,Update setup.py,4mber,https://api.github.com/repos/OpenMined/PySyft/git/commits/66302419714969ac7c3d8c61401d23f36dd26ed7
4c96427bd38948259e71a2eb5c10490289c24bd5,:page_facing_up: docs: add install docs & headings,anoff,https://api.github.com/repos/OpenMined/PySyft/git/commits/4c96427bd38948259e71a2eb5c10490289c24bd5
3420dc6cdea998be7a8269e4d6baa1e76e1ea1f4,added phe dependency to requirements.txt,dmonn,https://api.github.com/repos/OpenMined/PySyft/git/commits/3420dc6cdea998be7a8269e4d6baa1e76e1ea1f4
58f7d02b2310256e2158ca884134894de551b078,Added script to install dependencies of syft,Ujjwal-9,https://api.github.com/repos/OpenMined/PySyft/git/commits/58f7d02b2310256e2158ca884134894de551b078
37ce0bb7360a4ee7ceea3b739346f6297302cd66,"Add jupyter to requirements

So that we can run `jupyter notebook` in the `notebooks` directory.",swaroopch,https://api.github.com/repos/OpenMined/PySyft/git/commits/37ce0bb7360a4ee7ceea3b739346f6297302cd66
400c8de8a3a714da21c0e2b175c6e4adad3677b9,Check for the name of the submodule we'd like to ignore in a more general way.,poppingtonic,https://api.github.com/repos/OpenMined/PySyft/git/commits/400c8de8a3a714da21c0e2b175c6e4adad3677b9
8af439f8c914423e880d8d8dda7f1ea0ce3a284a,A simple Dockerfile for Syft,TheOriginalAlex,https://api.github.com/repos/OpenMined/PySyft/git/commits/8af439f8c914423e880d8d8dda7f1ea0ce3a284a
4080f70cd4e54f92f05e1dd6b8a111ef1f4dfac3,"Merge pull request #18 from TheOriginalAlex/dockerfile

A simple Dockerfile for Syft",kevinahuber,https://api.github.com/repos/OpenMined/PySyft/git/commits/4080f70cd4e54f92f05e1dd6b8a111ef1f4dfac3
0ee13459dbaa8a472e5964b213c41c88944cd577,Docker + CI/CD support foundations,cypherai,https://api.github.com/repos/OpenMined/PySyft/git/commits/0ee13459dbaa8a472e5964b213c41c88944cd577
2e9789b0fd2cdf0de362afcf25f238d55bb67fd3,"Merge pull request #1 from OpenMined/master

j",pilar12,https://api.github.com/repos/OpenMined/PySyft/git/commits/2e9789b0fd2cdf0de362afcf25f238d55bb67fd3
444832facc4694b9834dfb0cad5b1485aa5cbeac,Fix imports in encryption example notebook,erfannoury,https://api.github.com/repos/OpenMined/PySyft/git/commits/444832facc4694b9834dfb0cad5b1485aa5cbeac
84421b6255d1743d103abc07a89122a9163fef4c,Implement dim() + unit tests,samsontmr,https://api.github.com/repos/OpenMined/PySyft/git/commits/84421b6255d1743d103abc07a89122a9163fef4c
a80a7419bbf440eef8cff58ff3f908611efdacde,added Ceil & Cumsum operations,radicalrafi,https://api.github.com/repos/OpenMined/PySyft/git/commits/a80a7419bbf440eef8cff58ff3f908611efdacde
31b3c053d6529283df7a4ac1b12d7afb1a1c123f,"Link update

Update the `Contributor Quickstart Guide` link",lucaslopes,https://api.github.com/repos/OpenMined/PySyft/git/commits/31b3c053d6529283df7a4ac1b12d7afb1a1c123f
6225fe1b4c615efd85c746e3c80a7d514f1557a2,Implemented transpose functionality,axelsly,https://api.github.com/repos/OpenMined/PySyft/git/commits/6225fe1b4c615efd85c746e3c80a7d514f1557a2
d6a0746be1d7d28ed931a07d782433d371a23a11,Implemented Sign functionality on BaseTensor Object#95,sajalsubodh22,https://api.github.com/repos/OpenMined/PySyft/git/commits/d6a0746be1d7d28ed931a07d782433d371a23a11
0942199988b47b5a2f4aeadbb52b27b6b94348f1,Merge branch 'develop' into fixceil,EdwardDixon,https://api.github.com/repos/OpenMined/PySyft/git/commits/0942199988b47b5a2f4aeadbb52b27b6b94348f1
5363c908369269a3aea76bec493368c99ad73af5,"feat(view and view_as functions)
- view function added to tensor
- view_as function added
- tests for view functions added",aradhyamathur,https://api.github.com/repos/OpenMined/PySyft/git/commits/5363c908369269a3aea76bec493368c99ad73af5
