First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
c2f06e6c24a82d01b3262b045ea51372400c900c,Script to create empty secrets and mapskey files,hartez,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/c2f06e6c24a82d01b3262b045ea51372400c900c
3adea68113b3447b1ab6240db0d4b714ffb1713e,[UWP] Fix resource key name PushPinTemplate,rmarinho,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/3adea68113b3447b1ab6240db0d4b714ffb1713e
d5c3359070317e57a2cb8e98608d0286071e389d,[W] ListView Cells will respect RowHeight,samhouts,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/d5c3359070317e57a2cb8e98608d0286071e389d
ab1472de45fe7991af7ddd0fddf84b66d2efad14,"Merge pull request #12 from xamarin/vssettings

VS settings file with the Xamarin.Forms code style settings",kingces95,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/ab1472de45fe7991af7ddd0fddf84b66d2efad14
c7081b10f8fd9a7b8e54b1b00f7f29a0fbc0c4ad,Doc bug fixes,MichaelNorman,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/c7081b10f8fd9a7b8e54b1b00f7f29a0fbc0c4ad
2f3ed4b027eb47439ba83d32ccbfe8bcee212b98,"[WP8] CustomMessageBox dismissal no longer causes black SystemTray

The CustomMessageBox was having an interaction with WP8 where its
dismissal was changing the SystemTray's background color to black. It
appears that the SystemTray's background color was never set, despite
its appearing white prior to the use of a CustomMessageBox.",pauldipietro,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/2f3ed4b027eb47439ba83d32ccbfe8bcee212b98
c92297047c01112fd4a6e7695a40acb274fdf7a7,[X] internal CreateFromXaml () (#77),StephaneDelcroix,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/c92297047c01112fd4a6e7695a40acb274fdf7a7
279e4b01a329f59798e7a688e8501814c37e1385,"[Android] Allow designer to disable asynchronicity in image loading. (#111)

The XF Previewer doesn't support async operations as it loads a layout and immediately tries to snapshot it.

This commit adds a new property to let designer reflect onto so that the behavior can be specifically made synchronous and image will appear in the final preview.",garuma,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/279e4b01a329f59798e7a688e8501814c37e1385
6b9adc7459f9babf3288a6800ca12a76eab244ca,"Removed hard reference to StatusBar, changed to type name to prevent crash when StatusBar type is not present (#144)",thebeekeeper,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/6b9adc7459f9babf3288a6800ca12a76eab244ca
2a68d44588f93e5d8f6a2cb4ee729377167d4a94,Update README.md,migueldeicaza,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/2a68d44588f93e5d8f6a2cb4ee729377167d4a94
7ae7dbaa9695fac8fc0d818a808602d58ea0ce47,Fix Bug 39486 (#153),scastria,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/7ae7dbaa9695fac8fc0d818a808602d58ea0ce47
616e16a6855161693a8f30af085f37e06d5e9d67,"Forward Orientation Methods in PlatformRenderer and ModalWrapper (#147)

* PlatformRenderer and ModalWrapper are Wrappers around the real UIViewController, rotation and orientations methods are not correctly forwarded in IOS. Per example, you cannot programatically lock the rotation of the IOS screen. This changes will fix that.

* Changed spaces to tabs, as requested.",maxpiva,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/616e16a6855161693a8f30af085f37e06d5e9d67
4cbe7e61e51198455bb18266ebbcb58ff23916c7,ixed bug with app resume for windows phone silverlight. Bug 41076 in bugzilla (#184),dhindrik,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/4cbe7e61e51198455bb18266ebbcb58ff23916c7
89aee2a3c2c592cf5a3c5d5f9a7415979f4b0748,Added .editorconfig (#192),cschwarz,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/89aee2a3c2c592cf5a3c5d5f9a7415979f4b0748
31ba696514f9b069d5dd6a8520d4f9f2ef963f74,WinRT/UWP center crop image on AspectFill (#190),adamped,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/31ba696514f9b069d5dd6a8520d4f9f2ef963f74
3aa5d68e2e9a70766aefc746a2566d0766a03b58,fix Thickness.IsDefault. Bottom was ignored (#200),brainoffline,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/3aa5d68e2e9a70766aefc746a2566d0766a03b58
