First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
6a3abf2366e2c32ce3460155903262fee01736c8,Initial commit,mhevery,https://api.github.com/repos/angular/angular/git/commits/6a3abf2366e2c32ce3460155903262fee01736c8
afa761646472120edef1f9b01f219f125f20128e,build - refactor,tbosch,https://api.github.com/repos/angular/angular/git/commits/afa761646472120edef1f9b01f219f125f20128e
2cc1a4c35420e62829d886f1f84c2731d0f7ef33,"refactor(js2dart): refactor dart library statement

fixes #12
closes #16",vicb,https://api.github.com/repos/angular/angular/git/commits/2cc1a4c35420e62829d886f1f84c2731d0f7ef33
c3b442ea53ad43fd348f80a579a82060aa239c7b,"chore: karma with JS, Dart

Note: karma with dart is still not working
because of how `karma-dart` loads `package:…` dependencies.

Usage:
```
karma start karma-js.conf.js
karma start karma-dart.conf.js
```

Make sure to set `DARTIUM_BIN` env variable.

Refactors `js2dart`:
- live outside of the traceur module (`tools/js2dart/index.js`)
  so it can be reused by gulp and karma
- automatically build the sources in memory,
  so that `js2dart` can be used without running `gulp build` first
- provide a way to specify the moduleName of a compilation run
  independently of the input filename. This helps error messages
  and source maps (not yet enabled) to report the correct file name

Changes project setup:
- add module `test_lib` that contains the primitives for tests
  (e.g. `describe`, `it`, …)
- clean up some sources that had errors in them
- module names in transpiled js and dart files don’t contain
  `lib`, `test` nor `src` any more (e.g. `di/di`).",vojtajina,https://api.github.com/repos/angular/angular/git/commits/c3b442ea53ad43fd348f80a579a82060aa239c7b
c85ab3a5a44c1596f7934cccab1a82e7fcf0c7ad,feat(lexer): initial (wip) implementation.,chirayuk,https://api.github.com/repos/angular/angular/git/commits/c85ab3a5a44c1596f7934cccab1a82e7fcf0c7ad
64fe73e20da5a615a73751c648d78c36a74f836d,feat(transpiler): handle named params,vsavkin,https://api.github.com/repos/angular/angular/git/commits/64fe73e20da5a615a73751c648d78c36a74f836d
abb3ee450786cb365f0048c894e3f175ab5ec09f,"docs(readme): add installation of pub as a pre-requisite

Closes #113",hswolff,https://api.github.com/repos/angular/angular/git/commits/abb3ee450786cb365f0048c894e3f175ab5ec09f
87b0d3fcc589c13c105d16dfb25ec1d691b9bbee,"docs(readme): add missing prerequsite [karma-cli]

Closes #102",blakelapierre,https://api.github.com/repos/angular/angular/git/commits/87b0d3fcc589c13c105d16dfb25ec1d691b9bbee
e1c84e02f8728f80ad53e9334b6e94bef98dd9a9,"chore: adds Windows support for build

Closes #104",marclaval,https://api.github.com/repos/angular/angular/git/commits/e1c84e02f8728f80ad53e9334b6e94bef98dd9a9
b0c9d05ea7bf804f59020bcb25e34134a94123b9,feat(view): add onChange implementation to view.,rkirov,https://api.github.com/repos/angular/angular/git/commits/b0c9d05ea7bf804f59020bcb25e34134a94123b9
7a3be938d530c50d621691a5720dbbe7f88dc0bd,"chore(package.json): correct Apache-2.0 license

Closes #164",PatrickJS,https://api.github.com/repos/angular/angular/git/commits/7a3be938d530c50d621691a5720dbbe7f88dc0bd
cb276fe4125e21d1a6b2966cc94ceb4e9b8ff2b7,"Fixed small typo in example

Closes #165",Alxandr,https://api.github.com/repos/angular/angular/git/commits/cb276fe4125e21d1a6b2966cc94ceb4e9b8ff2b7
398571e3e4e25183d1ab7bfc20eaf52dbb1e6318,docs(di): simple typo,SekibOmazic,https://api.github.com/repos/angular/angular/git/commits/398571e3e4e25183d1ab7bfc20eaf52dbb1e6318
7d0673723f8f39a3ce3e9405130ca83ef5c1816b,"chore: remove unnecessary file

Closes #182",cironunes,https://api.github.com/repos/angular/angular/git/commits/7d0673723f8f39a3ce3e9405130ca83ef5c1816b
3e57189e457e484ba8e924acea6736ff2d0d498d,"fix(examples): fix hello_world example (js)

Added missing path mapping for the new reflection module.",urish,https://api.github.com/repos/angular/angular/git/commits/3e57189e457e484ba8e924acea6736ff2d0d498d
95d86d151add21b0fdff8fe9d725f64c868a0074,fix(example): correct markup in the hello world example,pkozlowski-opensource,https://api.github.com/repos/angular/angular/git/commits/95d86d151add21b0fdff8fe9d725f64c868a0074
983c00c49512ba9656649810f9389563a2a3d9fa,docs(di/src/annotations): use triple backticks to code-fence code blocks,petebacondarwin,https://api.github.com/repos/angular/angular/git/commits/983c00c49512ba9656649810f9389563a2a3d9fa
45008884e4523eb88102da01a96ccbc2b79ce4fe,Add semicolon to generateNavigationDoc.js,ebradyjobory,https://api.github.com/repos/angular/angular/git/commits/45008884e4523eb88102da01a96ccbc2b79ce4fe
ef20b706aa3524e01d3901d49d211bbca948a5e9,Replaced Children loop iteration for the firstChild method,fsbatista,https://api.github.com/repos/angular/angular/git/commits/ef20b706aa3524e01d3901d49d211bbca948a5e9
1320175646e7c6341313a34974149a7203d73d1c,perf(change detection): minimized amount of code in protective try-catch,rakudrama,https://api.github.com/repos/angular/angular/git/commits/1320175646e7c6341313a34974149a7203d73d1c
d0333e43761603c9ce33ad1b19c71353d3faaa4b,Update README.md,kwalrath,https://api.github.com/repos/angular/angular/git/commits/d0333e43761603c9ce33ad1b19c71353d3faaa4b
