First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
b2073c40df5eb54852359a852ecdbef4ddf69d77,Initial commit,jamesiri,https://api.github.com/repos/aws/aws-cdk/git/commits/b2073c40df5eb54852359a852ecdbef4ddf69d77
2db0565cd23a4d828dbc415b6b7ecd7cd4382057,Initial external release: repository skelaton,eladb,https://api.github.com/repos/aws/aws-cdk/git/commits/2db0565cd23a4d828dbc415b6b7ecd7cd4382057
b85fcbefadc889fed544b1c1ce29c252f5a6bb24,"Correct instructions for using the superchain

- One needs to log in to docker (at least for now)
- The image name includes the repository name",RomainMuller,https://api.github.com/repos/aws/aws-cdk/git/commits/b85fcbefadc889fed544b1c1ce29c252f5a6bb24
eb6b5da86c67607bfeb776934621ed0f8d18c2cd,"Minor usage imporvements!

* Adds `.DS_Store` to the `.gitignore` file - because mac
* Exposes domainName and dualStackDomainName on the S3 L2 construct (because somtimes you need those)
* Adds a ""Canonical User Id"" in the permissions lib - because there's so many ways to identify accounts! (We need it for CloudFront OAIs 🎉)",mindstorms6,https://api.github.com/repos/aws/aws-cdk/git/commits/eb6b5da86c67607bfeb776934621ed0f8d18c2cd
a2f799114acee9970576882812a8122deb6e33fe,"Big docs update

- Changed wording, add more references between sections.
- Highlighted some details better.
- Reorganized discussion about L1s and L2s a bit to make it flow better.
- Changes the title of the section that used to be called ""using l2s""
  into ""writing CDK apps"".
- Update formatting.
- Get rid of level1, level2 substitutions",rix0rrr,https://api.github.com/repos/aws/aws-cdk/git/commits/a2f799114acee9970576882812a8122deb6e33fe
1b9f792a2c9e79971b44078c7de061bf6a2eb710,"fix(aws-cdk-toolkit): ignore template ts files

The .npmignore was ignoring the bin/template.ts file used
by the cdk init script. As such, it meant that cdk init
did not work on a packaged CDK.

Fixes #72",leepa,https://api.github.com/repos/aws/aws-cdk/git/commits/1b9f792a2c9e79971b44078c7de061bf6a2eb710
7a6edf4954fbdf2fcd4f9f59d50ccde280f6d928,"aws-cdk-kinesis: Implement Kinesis Stream L2 construct. (#86)

kinesis: Implement Kinesis Stream L2 construct.",sam-goodwin,https://api.github.com/repos/aws/aws-cdk/git/commits/7a6edf4954fbdf2fcd4f9f59d50ccde280f6d928
233a8cc7a1ebb1065752ff0735a77007d9e2a0de,"Prepare documentation for Private Beta (#101)

Make sure all examples in the documentation are valid (they compile and
produce the expected result), uniformize the terminology and style used
throughout the documentation, and re-organize some sections to optimize
reader experience.",Doug-AWS,https://api.github.com/repos/aws/aws-cdk/git/commits/233a8cc7a1ebb1065752ff0735a77007d9e2a0de
248c503f019a662f9b19ceb654a55c61b2c8079b,"codepipeline: Move CodeCommit and CodeBuild actions to their modules (#238)

Move the concrete action types from @aws-cdk/codepipeline into the modules of the resources they represent integrations with.

This is doing this refactoring for CodeCommit Repositories and CodeBuild Projects.

BREAKING CHANGE",skinny85,https://api.github.com/repos/aws/aws-cdk/git/commits/248c503f019a662f9b19ceb654a55c61b2c8079b
680a96a573311abde52681d37e54164735cfcb86,Update .NET namespace names.,mpiroc,https://api.github.com/repos/aws/aws-cdk/git/commits/680a96a573311abde52681d37e54164735cfcb86
