First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
b5117775e86cff40399187b6292c98fba9dc5034,Initial Commit,adamhjk,https://api.github.com/repos/chef/chef/git/commits/b5117775e86cff40399187b6292c98fba9dc5034
6e01aceacecf136a1b04fc91b87fb98e3cebed4e,"Fixed issue me and Adam were seeing regarding regarding openID json parsing.
Merb was sending content type: application/json; charset=utf-8 and we were string matching. changed to regex match of /json/",fujin,https://api.github.com/repos/chef/chef/git/commits/6e01aceacecf136a1b04fc91b87fb98e3cebed4e
12cfbc1ff3e5d8a18aee2ab62862a82c3398d45a,"add ultraviolet and merb-haml as dependencies, plus ruby-openid must be >2",btm,https://api.github.com/repos/chef/chef/git/commits/12cfbc1ff3e5d8a18aee2ab62862a82c3398d45a
a831499a6f402ca95b8e1152bc913d324eea3199,CHEF-89: Refactor Chef::Provider::RemoteFile to support downloads from any URI.,seancribbs,https://api.github.com/repos/chef/chef/git/commits/a831499a6f402ca95b8e1152bc913d324eea3199
779423e7ff652f560798733e6de93ba2d51e462a,CHEF-140: Teach chef to use client certs,thommay,https://api.github.com/repos/chef/chef/git/commits/779423e7ff652f560798733e6de93ba2d51e462a
8dafa9127f3cf75ea03b4492a4f509ded07444c3,"CHEF-150: Resource names no longer limited to one underscore

Resource names can now have more than one underscore. For example
the resource name apache_web_server will now correctly
translate to the resource class Chef::Resource::ApacheWebServer.",johnhampton,https://api.github.com/repos/chef/chef/git/commits/8dafa9127f3cf75ea03b4492a4f509ded07444c3
ef505929201eb979e18e1ca29c0128de34010bc3,move Linux specific check_lock code into useradd provider,essh,https://api.github.com/repos/chef/chef/git/commits/ef505929201eb979e18e1ca29c0128de34010bc3
2a8d3370bff8b57b7b02d3457fa29e8a067a6bdd,hacky test for using openid-store-couchdb,b,https://api.github.com/repos/chef/chef/git/commits/2a8d3370bff8b57b7b02d3457fa29e8a067a6bdd
e8cd52dde3e5860d951c09b4f11e5b2c82033f91,init scripts on Gentoo support status automatically.  Add this in so it's on by default.,ctennis,https://api.github.com/repos/chef/chef/git/commits/e8cd52dde3e5860d951c09b4f11e5b2c82033f91
3430fa620af34a45da73b2c67e4e25a89151db0f,"Implement caching in yum provider to speed it up.

Adds a python script that dumps yum packages as json.",mdkent,https://api.github.com/repos/chef/chef/git/commits/3430fa620af34a45da73b2c67e4e25a89151db0f
24c353de9e5564bda099ba2c3be2f64117fd1c03,Fixed OpenID authentication when Chef Server is deployed with Passenger,mikelim,https://api.github.com/repos/chef/chef/git/commits/24c353de9e5564bda099ba2c3be2f64117fd1c03
