First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
bda4052092408dd9b971c79b35b4c34c56b120c4,Initializing repo,anpete,https://api.github.com/repos/dotnet/efcore/git/commits/bda4052092408dd9b971c79b35b4c34c56b120c4
fee46155917d79d27ed240b5be2adaa236986ef2,Updated build files.,davidfowl,https://api.github.com/repos/dotnet/efcore/git/commits/fee46155917d79d27ed240b5be2adaa236986ef2
ab565487574504cc9b299f0b960714ed8075344a,"Low memory footprint... (Initial stubbed-out top-level API)

This is the API surface required to build the version of Music Store checked in. No implementation as yet, and some things (like Database.Create) will likely change.",ajcvickers,https://api.github.com/repos/dotnet/efcore/git/commits/ab565487574504cc9b299f0b960714ed8075344a
ba43a69686894e032e48e9dc8a47bbaffc58590a,Updatng build.cmd to use cached NuGet.exe,pranavkm,https://api.github.com/repos/dotnet/efcore/git/commits/ba43a69686894e032e48e9dc8a47bbaffc58590a
285ba07d5e0b97f23df513bdb51767eda042fea0,Add build files,bricelam,https://api.github.com/repos/dotnet/efcore/git/commits/285ba07d5e0b97f23df513bdb51767eda042fea0
24dfa12912370773a37e853d9e45761a07dc39ce,SimpleCUD - adding simple CUD command text generator,moozzyk,https://api.github.com/repos/dotnet/efcore/git/commits/24dfa12912370773a37e853d9e45761a07dc39ce
fe1be206808e027e9e00a7b63f5662a8babb81fe,"Enable round tripping with SQL Server

Wiring up SaveChanges in RelationalDataStore
Adding temporary wire up of EntitySet IEnumerable and IQuerable to use
List<T> to enable query
Adding a few end to end tests against SQL Server",rowanmiller,https://api.github.com/repos/dotnet/efcore/git/commits/fe1be206808e027e9e00a7b63f5662a8babb81fe
df09fde1d513f91902279b0afd8d6ce724dc6af3,Switching to the System.Data.SqlClient package.,AndriySvyryd,https://api.github.com/repos/dotnet/efcore/git/commits/df09fde1d513f91902279b0afd8d6ce724dc6af3
947b801088b9bfebb265e24a1c7cb04895eb2db8,Fixes for IServiceCollection,HaoK,https://api.github.com/repos/dotnet/efcore/git/commits/947b801088b9bfebb265e24a1c7cb04895eb2db8
7ea3df73602ca681eb954720d6094b63b9e12f3d,Updating build scripts,loudej,https://api.github.com/repos/dotnet/efcore/git/commits/7ea3df73602ca681eb954720d6094b63b9e12f3d
f7131aceafe87f4766da57ff61708d1e14be2d1c,Removed unused dependency,ChengTian,https://api.github.com/repos/dotnet/efcore/git/commits/f7131aceafe87f4766da57ff61708d1e14be2d1c
3bd07d661787f0697a895aba3d909a5ee50ce974,Adding a test for issue #153 and fixing a couple of Check.NotNull() calls.,DavidObando,https://api.github.com/repos/dotnet/efcore/git/commits/3bd07d661787f0697a895aba3d909a5ee50ce974
b8d2181099d4cd21032778f83f231e20e9aefbec,Create LICENSE.txt,Eilon,https://api.github.com/repos/dotnet/efcore/git/commits/b8d2181099d4cd21032778f83f231e20e9aefbec
346365baa09b582c049bd4aaa02434cbc1d7bec6,Update README.md,danroth27,https://api.github.com/repos/dotnet/efcore/git/commits/346365baa09b582c049bd4aaa02434cbc1d7bec6
23416d9a534e669b0f973b595dce9dc765fdd3e4,"Fix to issue 271 - Table names and identifiers are not quoted when querying, fix is to start escaping identifiers in query generator, as well as provide means to extend it for other providers. CR: AnPete",maumar,https://api.github.com/repos/dotnet/efcore/git/commits/23416d9a534e669b0f973b595dce9dc765fdd3e4
12cc46a9428830b92acc90a01afb3caf8f8113e2,Pass the format provider to DateTime.Parse to make tests that rely on Shared\Nothwind.cs works on machines with a culture different than 'en-US'.,MrJingle,https://api.github.com/repos/dotnet/efcore/git/commits/12cc46a9428830b92acc90a01afb3caf8f8113e2
c0dd2967928383cc467c803897aa77a1755bdb56,"Double, double, toil and trouble
Make unit test work on non-US systems",ErikEJ,https://api.github.com/repos/dotnet/efcore/git/commits/c0dd2967928383cc467c803897aa77a1755bdb56
1bbb5f7e0518450a966cb6a35bc1d91b10a4bca4,"First working copy. Supports insert, update and delete but not query yet.
Various tests added - more to come.",lajones,https://api.github.com/repos/dotnet/efcore/git/commits/1bbb5f7e0518450a966cb6a35bc1d91b10a4bca4
640b08daacc92534cc6db9933dcdc461f9b8063a,Handle IBuilder rename to IApplicationBuilder.,Tratcher,https://api.github.com/repos/dotnet/efcore/git/commits/640b08daacc92534cc6db9933dcdc461f9b8063a
7ac6280cef68b0113b1b599193e464f2b11671b3,Initial Commit of EF Performance Microbenchmark applications. This commit is a direct copy of the performance applications from the performance repository to enable a clean transition of pending changes in the performance repo and clean rebases.  Future commits will address changes necessary for building applications depending directly on the EF source code.,lukewaters,https://api.github.com/repos/dotnet/efcore/git/commits/7ac6280cef68b0113b1b599193e464f2b11671b3
c0aab51bb10db51d4e45b3a87e51885666f9e014,"Updates to ILogger, see aspnet/Logging#3",SonjaKhan,https://api.github.com/repos/dotnet/efcore/git/commits/c0aab51bb10db51d4e45b3a87e51885666f9e014
f57b95000f3d48b7080269ad365ac6d8f5f33d22,Moved Compiled Model out of Product Assembly,smitpatel,https://api.github.com/repos/dotnet/efcore/git/commits/f57b95000f3d48b7080269ad365ac6d8f5f33d22
0977d75d9fb9372c84dff88b7498382efe5c5805,"Moved Column from Relational.Model to Migrations.Model
Moved RelationalMetadataExtensionProvider to test code. Implemented SQLiteMetadataExtensionProvider to return Relational extensions.
Added RelationalTestHelper and MigrationsTestHelper.",emilcicos,https://api.github.com/repos/dotnet/efcore/git/commits/0977d75d9fb9372c84dff88b7498382efe5c5805
547334540772c44629ee76ee0b340ba34fe1ff47,Add schema version to kproj files,victorhurdugaci,https://api.github.com/repos/dotnet/efcore/git/commits/547334540772c44629ee76ee0b340ba34fe1ff47
69049dff88cf0d32c543a9cb76449a8a4278eb65,Moved Entry Methods from ChangeTracker to DbContext,mikary,https://api.github.com/repos/dotnet/efcore/git/commits/69049dff88cf0d32c543a9cb76449a8a4278eb65
3c7d705d5ebeba47ce76f08f94ccbf54df5ec0ea,Updating to release NuGet.config,suhasj,https://api.github.com/repos/dotnet/efcore/git/commits/3c7d705d5ebeba47ce76f08f94ccbf54df5ec0ea
76ad8c149d17ce698333e502d78509be1d4327e6,"supported ""Contains"" method of string in Where clause.

Conflicts:
	src/EntityFramework.Relational/EntityFramework.Relational.csproj",RickyLin,https://api.github.com/repos/dotnet/efcore/git/commits/76ad8c149d17ce698333e502d78509be1d4327e6
0e0254f0b1bda866624e7036c7e14f0645539bdf,Updating .kproj files,BrennanConroy,https://api.github.com/repos/dotnet/efcore/git/commits/0e0254f0b1bda866624e7036c7e14f0645539bdf
1db6efecb4db744a2ae866c34ac12400bf5d9726,Fix to #1640 - Make SqlGeneratorTestBase implementation independent by removing dbo constant as table schema,bartdevriendt,https://api.github.com/repos/dotnet/efcore/git/commits/1db6efecb4db744a2ae866c34ac12400bf5d9726
ebdcb16dd564a12ca8eeb9b513592c4be4030265,React to Options changes.,GrabYourPitchforks,https://api.github.com/repos/dotnet/efcore/git/commits/ebdcb16dd564a12ca8eeb9b513592c4be4030265
fa1711caf4513ac8aee0f4ef068fe9b20a6637d1,Update aspnet50/aspnetcore50 => dnx451/dnxcore50.,NTaylorMullen,https://api.github.com/repos/dotnet/efcore/git/commits/fa1711caf4513ac8aee0f4ef068fe9b20a6637d1
601a1d9d742d7988dd0fb9a69eca12eef35e870d,"Renaming Nuget.org feed key name to Nuget.

fixes https://github.com/aspnet/Universe/issues/174",Praburaj,https://api.github.com/repos/dotnet/efcore/git/commits/601a1d9d742d7988dd0fb9a69eca12eef35e870d
