First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
ec72ca8b7a115f9b2eea3c76c518062b99a1d015,first commit,kimchy,https://api.github.com/repos/elastic/elasticsearch/git/commits/ec72ca8b7a115f9b2eea3c76c518062b99a1d015
8efe5dc9ae0b91f79702333be551d60b448dd7bb,Highlighter enhancements.,lukas-vlcek,https://api.github.com/repos/elastic/elasticsearch/git/commits/8efe5dc9ae0b91f79702333be551d60b448dd7bb
c69e77d2c4539809008023ce7f82a26f3fb71329,Make bin/elasticsearch foreground mode launchd/daemontools compatible,abh,https://api.github.com/repos/elastic/elasticsearch/git/commits/c69e77d2c4539809008023ce7f82a26f3fb71329
c657c7c6d06f4fc601a9f1390b61a14e3f753895,"Filter parameters not formed properly in couchdb river plugin, closes #394",mahendra,https://api.github.com/repos/elastic/elasticsearch/git/commits/c657c7c6d06f4fc601a9f1390b61a14e3f753895
0660a2912ea3e6b9fb42118a37ef1a661ad61b7a,"Two tests for parsing ""geo_distance"" filter: distance/unit parameters

Those two are supposed to be equivalent:

    distance: 12, unit: ""mi""

    vs

    distance: ""12"", unit: ""mi""

but they are not because of an underlying bug in the query parsing
code, providing non-equivalent behavior whether a number or a string
comes via JSON.",aferreira,https://api.github.com/repos/elastic/elasticsearch/git/commits/0660a2912ea3e6b9fb42118a37ef1a661ad61b7a
6b672e29f5efac913621deae118575fc7f51f2a6,Remove infinite loop typo,dysinger,https://api.github.com/repos/elastic/elasticsearch/git/commits/6b672e29f5efac913621deae118575fc7f51f2a6
c95544141b9fbfff6711f3848514aa1b344cf095,Adding a decompounding token filter.,scompt,https://api.github.com/repos/elastic/elasticsearch/git/commits/c95544141b9fbfff6711f3848514aa1b344cf095
fcdd103345e75e99f901dcbaaa6df506637701e6,Simplify some error-handling logic a bit.,tsuna,https://api.github.com/repos/elastic/elasticsearch/git/commits/fcdd103345e75e99f901dcbaaa6df506637701e6
785fb11f2ae3a6849fc71d67ffbeb271e5d33986,Allow plugins to provide additional settings.,imotov,https://api.github.com/repos/elastic/elasticsearch/git/commits/785fb11f2ae3a6849fc71d67ffbeb271e5d33986
fb53afc8f99122a9f1dd6c3943391ea59d22e7fb,README: Fixed typo and formatting in the „Building from Source” chapter,karmi,https://api.github.com/repos/elastic/elasticsearch/git/commits/fb53afc8f99122a9f1dd6c3943391ea59d22e7fb
b9245a961b0592708c69afc43085ca484928a69e,Fix typo,jgeiger,https://api.github.com/repos/elastic/elasticsearch/git/commits/b9245a961b0592708c69afc43085ca484928a69e
