First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
9998490f93d3ad3d56c00d23c0aa13fac41c3f6b,Initial commit,tj,https://api.github.com/repos/expressjs/express/git/commits/9998490f93d3ad3d56c00d23c0aa13fac41c3f6b
01f4c7bbf21e1907c855d0143b06821aed0b5c30,"Using the newer node API to stop an error related to v8's runtime.js.

Signed-off-by: TJ Holowaychuk <tj@vision-media.ca>",justinabrahms,https://api.github.com/repos/expressjs/express/git/commits/01f4c7bbf21e1907c855d0143b06821aed0b5c30
d40c5e3aac2c2533ac910d7bcd07b14d46b374ee,"Fix the form post to work with firefox.

The request object was making the assumption that the content-type header
was an exact match for 'application/x-www-form-urlencoded'  this is not always
the case :) ... for example in firefox the header value looks like 'application/x-www-form-urlencoded; charset=UTF-8'",ciaranj,https://api.github.com/repos/expressjs/express/git/commits/d40c5e3aac2c2533ac910d7bcd07b14d46b374ee
da390ff43d84b808385ad38574f57e98d6ebff7a,Introduce .gitignore.,jherdman,https://api.github.com/repos/expressjs/express/git/commits/da390ff43d84b808385ad38574f57e98d6ebff7a
dda12561d3809ffbea27be71c284beaec8209423,Minor spell checking,adamsanderson,https://api.github.com/repos/expressjs/express/git/commits/dda12561d3809ffbea27be71c284beaec8209423
5a5f23fc88e9420d82fefd748635f8bcc2a3a0c1,Added some additional file extension to mime type mappings.,gjritter,https://api.github.com/repos/expressjs/express/git/commits/5a5f23fc88e9420d82fefd748635f8bcc2a3a0c1
e823e315502dffe12110519856a6cf56e5a3ccb1,remove unneeded require call,aheckmann,https://api.github.com/repos/expressjs/express/git/commits/e823e315502dffe12110519856a6cf56e5a3ccb1
cf09f86df2c50c19d5a0150930926ad105a59da4,Expose the http.Server instance,rauchg,https://api.github.com/repos/expressjs/express/git/commits/cf09f86df2c50c19d5a0150930926ad105a59da4
970ff87ef65c848e54bbdf230cda9a6a37abb15e,Fix binary uploads.,mcolyer,https://api.github.com/repos/expressjs/express/git/commits/970ff87ef65c848e54bbdf230cda9a6a37abb15e
15beb813688820eb1ce5a1acccc1d732a10be5c2,Allow ejs templates to contain single quotes,nick,https://api.github.com/repos/expressjs/express/git/commits/15beb813688820eb1ce5a1acccc1d732a10be5c2
624cf93e2e1e5c079fc4da9ab56a23f98ac045ce,Fixing EJS partial support by passing along the context. Issue #307,bdotdub,https://api.github.com/repos/expressjs/express/git/commits/624cf93e2e1e5c079fc4da9ab56a23f98ac045ce
458bb3d7f717f0faef61609a23974341b8f56c30,Redo cookies parsing to accept quoted values and url escaped cookies,tritonrc,https://api.github.com/repos/expressjs/express/git/commits/458bb3d7f717f0faef61609a23974341b8f56c30
767bba9c044c2b2ba556412428fde2671a08f23f,s/parseQuery/parse/g (The node querystring module changed recently),isaacs,https://api.github.com/repos/expressjs/express/git/commits/767bba9c044c2b2ba556412428fde2671a08f23f
aceb6ab666b3075825265868abc931a9180151e0,Fixed issue where options.cache was always ignored in view.js.,ewoudj,https://api.github.com/repos/expressjs/express/git/commits/aceb6ab666b3075825265868abc931a9180151e0
a383b302c2dc93e279145cf5681f3086996cf2c2,Added callback query check on response.send to autowrap JSON objects for simple webservice implementations,davglass,https://api.github.com/repos/expressjs/express/git/commits/a383b302c2dc93e279145cf5681f3086996cf2c2
