First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
33850c0ebd23ae615e6823993d441f46d80b1ff0,Initial checkin of stuff that exists so far.,mitsuhiko,https://api.github.com/repos/pallets/flask/git/commits/33850c0ebd23ae615e6823993d441f46d80b1ff0
36071ca1f42a26ef327e9d14e4909a8c92cd4fae,added in example tornado and gevent usage for flask integration,justquick,https://api.github.com/repos/pallets/flask/git/commits/36071ca1f42a26ef327e9d14e4909a8c92cd4fae
5acc491c94262912baa30a4cffc780a46b7faf56,"Refactored the @route decorator to use the new add_url_rule method.
Tagged add_url_rule with versionadded of 0.2",cgrinds,https://api.github.com/repos/pallets/flask/git/commits/5acc491c94262912baa30a4cffc780a46b7faf56
3c821a0fa45082bcec73dfb08662fb1de5263c48,Fix typos and remove unused import.,florentx,https://api.github.com/repos/pallets/flask/git/commits/3c821a0fa45082bcec73dfb08662fb1de5263c48
a9bb965b6dcd931cefdc7dd05fa4c672b5dff69c,add a decorator to add custom template filter,sebest,https://api.github.com/repos/pallets/flask/git/commits/a9bb965b6dcd931cefdc7dd05fa4c672b5dff69c
93a8ca02822d07cd9f13495f53d27ab22e9adf3a,Fixed some minor typos throughout docs.,rduplain,https://api.github.com/repos/pallets/flask/git/commits/93a8ca02822d07cd9f13495f53d27ab22e9adf3a
a5a41d40aaa9f6ed70b487133ddaf48ceb3d054f,Fix typo.,mrluanma,https://api.github.com/repos/pallets/flask/git/commits/a5a41d40aaa9f6ed70b487133ddaf48ceb3d054f
395ff8120ccf055614d03db7d2360ab1182c7c10,Fix typo.,matrixise,https://api.github.com/repos/pallets/flask/git/commits/395ff8120ccf055614d03db7d2360ab1182c7c10
133920c83bf78db17631b637b8b2ffabcb26f3d4,Fix typo in docs.,dingens,https://api.github.com/repos/pallets/flask/git/commits/133920c83bf78db17631b637b8b2ffabcb26f3d4
63caf6e15882292832485372cd86b8265a007f92,Fix some typos.,birkenfeld,https://api.github.com/repos/pallets/flask/git/commits/63caf6e15882292832485372cd86b8265a007f92
7a4b6088395387abe4127c9650f9cbaac11a0ec4,"Add Module.app_errorhandler, like Flask.errorhandler.",SimonSapin,https://api.github.com/repos/pallets/flask/git/commits/7a4b6088395387abe4127c9650f9cbaac11a0ec4
216472b43dbb2c2501ab7f8b3e5ae861a082db3f,Fix missing plural in documentation,dag,https://api.github.com/repos/pallets/flask/git/commits/216472b43dbb2c2501ab7f8b3e5ae861a082db3f
540eca16f8a5963a74298f3630523fd9ad49187a,"Fix some typos in the docs

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",jgraeme,https://api.github.com/repos/pallets/flask/git/commits/540eca16f8a5963a74298f3630523fd9ad49187a
f66c252e47c63d7961b8d2c00acdf5aed11eb851,typo,wobsta,https://api.github.com/repos/pallets/flask/git/commits/f66c252e47c63d7961b8d2c00acdf5aed11eb851
824c10c6e4d9c2235d41a2276a0158b1456c3b06,Added MongoKit pattern and fixed typo in sqlalchemy pattern,EnTeQuAk,https://api.github.com/repos/pallets/flask/git/commits/824c10c6e4d9c2235d41a2276a0158b1456c3b06
5ede53066fc26d993dd229fe0c54209e700f4c09,"Minor tutorial documentation fixes (grammar, etc)",adamzap,https://api.github.com/repos/pallets/flask/git/commits/5ede53066fc26d993dd229fe0c54209e700f4c09
b2c7efd0fabcc0514e27d03ed30f5f8af1de1065,Typo,DrMegahertz,https://api.github.com/repos/pallets/flask/git/commits/b2c7efd0fabcc0514e27d03ed30f5f8af1de1065
0198313a22a98361947fceb8544c355be676f784,"added workaround for json on Google AppEngine

Google AppEngine unfortunately does not offer json/simplejson where
we would expect it to be, but since they do offer django and django
comes with simplejson as a frozen dependency, we can import it
from there.

prior art:
http://github.com/facebook/python-sdk/blob/master/src/facebook.py#L50",tosh,https://api.github.com/repos/pallets/flask/git/commits/0198313a22a98361947fceb8544c355be676f784
a993a314fe7be148747cf804167d45f2ea8bf18e,Removed unused import,aliafshar,https://api.github.com/repos/pallets/flask/git/commits/a993a314fe7be148747cf804167d45f2ea8bf18e
3561a398b1a9ad4cfe7f056fe10811930f54b502,Made one sentence easier to parse in docs/foreword,eagleflo,https://api.github.com/repos/pallets/flask/git/commits/3561a398b1a9ad4cfe7f056fe10811930f54b502
4cd5201cdd03e14edbceb24620717bbe82300524,"use custom tox file named tox-flask-test.ini, dont delete the real tox.ini",RonnyPfannschmidt,https://api.github.com/repos/pallets/flask/git/commits/4cd5201cdd03e14edbceb24620717bbe82300524
f52f4fd31b9858f8b42be3fbb2818440e58978b4,Added initial version of 'setup.py audit',plaes,https://api.github.com/repos/pallets/flask/git/commits/f52f4fd31b9858f8b42be3fbb2818440e58978b4
c62422c3181f2f8332893b06ee83581d63bceac8,Updated documentation on packaging patterns,agentultra,https://api.github.com/repos/pallets/flask/git/commits/c62422c3181f2f8332893b06ee83581d63bceac8
405c2992f8de441789a1ed82045ab77cefbbedfc,"Updated from_pyfile so its dynamic module creation uses the imp module instead of type.

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",jbweber,https://api.github.com/repos/pallets/flask/git/commits/405c2992f8de441789a1ed82045ab77cefbbedfc
a327452540bbcffe73207f8164504115b6c9e856,"Better handling for `test_request_context` don't just append the port.
Also implemented a proper initial environment to use with
`Flask.test_app()` based on the application's configuration.

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",s0undt3ch,https://api.github.com/repos/pallets/flask/git/commits/a327452540bbcffe73207f8164504115b6c9e856
94a7312d5ac5e2f949c4e27ecf2a273cec3d8c0c,"Add missing semicolon to test

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",dhaaker,https://api.github.com/repos/pallets/flask/git/commits/94a7312d5ac5e2f949c4e27ecf2a273cec3d8c0c
1c24b62727704016813a44d7c677ead0b6638c91,"Minor on docs (fixes #133)

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",fsouza,https://api.github.com/repos/pallets/flask/git/commits/1c24b62727704016813a44d7c677ead0b6638c91
67f483bf647549d6f3a6a3b5f73a2bf913a0b25c,"Typo.

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",doobeh,https://api.github.com/repos/pallets/flask/git/commits/67f483bf647549d6f3a6a3b5f73a2bf913a0b25c
ed517c7215fc17a46f85c2c0324d519572b67f6b,"Minor spelling fixes

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",jasondavies,https://api.github.com/repos/pallets/flask/git/commits/ed517c7215fc17a46f85c2c0324d519572b67f6b
9ae4eba9861bfa959bac6adfaf5842ef7d937eb6,"fix subdomain for static rule on registering module

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",dgerber,https://api.github.com/repos/pallets/flask/git/commits/9ae4eba9861bfa959bac6adfaf5842ef7d937eb6
07688d7b9302fd47cfd0ea053171ad6561c3f9b9,"Fixed 'schemal' doc typo.

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",fidlej,https://api.github.com/repos/pallets/flask/git/commits/07688d7b9302fd47cfd0ea053171ad6561c3f9b9
8a73097fe528430eb77ac26c81ba85229a8af553,"Add unittests for the endpoint decorator

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",mvantellingen,https://api.github.com/repos/pallets/flask/git/commits/8a73097fe528430eb77ac26c81ba85229a8af553
94f90bc4eb88224d6639cbe94c4e88d8299644e2,"updated docs on FastCGI deployment with Lighty

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",fmw,https://api.github.com/repos/pallets/flask/git/commits/94f90bc4eb88224d6639cbe94c4e88d8299644e2
b49de851d943c24a565488a51b8f11fbfd5ad796,"Link to issue tracker

Signed-off-by: Armin Ronacher <armin.ronacher@active-4.com>",baijum,https://api.github.com/repos/pallets/flask/git/commits/b49de851d943c24a565488a51b8f11fbfd5ad796
4141afa22b6a52279098ef39413f97773c1b75bf,fixing cross-reference links on API doc page,swanson,https://api.github.com/repos/pallets/flask/git/commits/4141afa22b6a52279098ef39413f97773c1b75bf
