First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
00882d626a478a3ce391b736234a768b762c853a,Open the Sky,abarth,https://api.github.com/repos/flutter/flutter/git/commits/00882d626a478a3ce391b736234a768b762c853a
928524947acf841d84f92dd595618d8bddb1bc06,"Placeholder Sky start page.

R=eseidel@chromium.org

Review URL: https://codereview.chromium.org/677513002",Hixie,https://api.github.com/repos/flutter/flutter/git/commits/928524947acf841d84f92dd595618d8bddb1bc06
86cd8beee788acec7abb668b7ad7bb7cef62523c,"Make skydb load examples/home.sky by default.

I had to also register for the text/plain mime-type
which turned out to be harder than expected.
Mostly due to my confusion with mojo_shell
using last-argument-wins argument parsing.

R=ianh@google.com

Review URL: https://codereview.chromium.org/672363002",eseidelGoogle,https://api.github.com/repos/flutter/flutter/git/commits/86cd8beee788acec7abb668b7ad7bb7cef62523c
fe0d6c747fce8de75dfdf5d28b50b405b23a49af,"Add initial SkyElement & city-list example

BUG=
R=eseidel@chromium.org

Review URL: https://codereview.chromium.org/698653002",rafaelw,https://api.github.com/repos/flutter/flutter/git/commits/fe0d6c747fce8de75dfdf5d28b50b405b23a49af
f9a8fd51ee479c002bb5a359d512ef4f555ce370,"Add the flights app scaffolding demo.

R=abarth@chromium.org

Review URL: https://codereview.chromium.org/720593002",esprehn,https://api.github.com/repos/flutter/flutter/git/commits/f9a8fd51ee479c002bb5a359d512ef4f555ce370
af585507a00991d8da846b4fb2d45d39f723f955,"Revert ""Add a version of flights that's made of components.""

This reverts commit e8fdb90bca3120d1c991256a2adf83a8315bf867.

This CL breaks the linux bots:
https://chromegw.corp.google.com/i/client.mojo/builders/Mojo%20Linux/builds/216/steps/mojob%20test/logs/stdio

TBR=esprehn@chromium.org

Review URL: https://codereview.chromium.org/722103002",qsr,https://api.github.com/repos/flutter/flutter/git/commits/af585507a00991d8da846b4fb2d45d39f723f955
85817b24a05bbef07e7dbee30740fab7e6226126,"First step at getting rid of anonymous blocks and continuations.

-Add RenderParagraph and display:paragraph. This is the only
render type that's allowed to contain inlines or text.
-If you put text nodes directly in a non-paragraph, wrap them
in an anonymous paragraph. This may not be the place we want
to end up, but it's a good stopgap to make it so we don't
crash in this case.
-Make StyleAdjuster force that non-paragraph blocks only contain
RenderBlock subclasses and that paragraphs and inlines only contain
inlines.
-Considerably simplify addChildIgnoringAnonymousColumnBlocks
now that we only create anonymous blocks for the case of
text nodes in non-paragraphs. Also get rid of the behavior
where we try to group multiple nodes into a single
anonymous block.

R=esprehn@chromium.org

Review URL: https://codereview.chromium.org/729693003",ojanvafai,https://api.github.com/repos/flutter/flutter/git/commits/85817b24a05bbef07e7dbee30740fab7e6226126
73f0a8d121816e631638e326b7a64ec983f9c8d2,"Revert ""Add a close box to flights-app toast.""

This reverts commit ffcbc3b2f5417b09328eae4aeb8de2e5eab6324d.

This test broke sky_tests:

Regressions: Unexpected text-only failures (6)
  framework/flights-app.sky [ Failure ]

Example:

http://build.chromium.org/p/client.mojo/builders/Mojo%20Linux%20ASan%20%28dbg%29/builds/173/steps/Sky%20tests/logs/stdio

TBR=ojan

Review URL: https://codereview.chromium.org/880863002",colinblundell,https://api.github.com/repos/flutter/flutter/git/commits/73f0a8d121816e631638e326b7a64ec983f9c8d2
ae503019b77d3b2e22c48271c5568f5587a00918,"A simple Sky color chooser example. The color-picker is
two components: color-wheel, and color-picker which adds
a div that displays the selected color. Data binding is
used to connect the color-wheel's ""color"" property to the
sample div's background-color.

BUG=
R=abarth@chromium.org

Review URL: https://codereview.chromium.org/872993006",HansMuller,https://api.github.com/repos/flutter/flutter/git/commits/ae503019b77d3b2e22c48271c5568f5587a00918
1a9b6b68d42f8331e7af2a7a04bb00db50f966dd,"Dart: Renames dart:mojo_blah -> mojo:blah

This improves consistency with the convention that the dart: scheme is
only for things from the Dart standard library.

BUG=
R=erg@chromium.org

Review URL: https://codereview.chromium.org/951783004",zanderso,https://api.github.com/repos/flutter/flutter/git/commits/1a9b6b68d42f8331e7af2a7a04bb00db50f966dd
a87e8d9db1c580b8278a5d04c13f3c827b2fc014,"Add a simple prototype ""terminal"" example.

(Together with an app that echoes stuff from the terminal.)

R=erg@chromium.org

Review URL: https://codereview.chromium.org/999193002",viettrungluu-cr,https://api.github.com/repos/flutter/flutter/git/commits/a87e8d9db1c580b8278a5d04c13f3c827b2fc014
769cef59baa50e03c64a905a515fa63ce46ce3ee,"Flesh out the Painting API a bit.

This exposes most methods from Skia's C canvas API to Dart. For now, SkRect and
SkMatrix are represented simply as an array of floats, which requires a
conversion at the bindings layer. More complex types like SkPath are still TODO.

R=eseidel@chromium.org

Review URL: https://codereview.chromium.org/1144483002",mpcomplete,https://api.github.com/repos/flutter/flutter/git/commits/769cef59baa50e03c64a905a515fa63ce46ce3ee
57ec759e97e2fe6fed0032366137a5818e520a42,"Rationalize Dart mojo and sky package structure.

NOTE: This CL appears far larger than it actually is for two reasons:

1) Many files were moved around to use the Dart package directory structure.
2) Many .dart files had to have import paths updated.

- Organize mojo/public/dart so that it uses standard Dart package layout
- Organize mojo/dart/apptest so that it uses a standard Dart package layout
- Organize sky/sdk so that it uses a standard Dart package layout
- Create a mojo/testing package (used by unittests)
- Introduce the 'dart_pkg' gn rule which populates gen/Config/dart-pkg
- All internally vended Dart packages must have a corresponding dart_pkg rule
- It is now possible to use dependency_overrides: in pubspec.yaml to mix internal and external package dependencies (enables analyzer, editor, webstorm usage for internal developers).
- Package root for dart content handler ends with ""packages/""
- Imports of mojo package uris no longer need the ""public/dart""
- mojo/public/tools/dart_package.py is a clone of mojo/public/tools/gn/zip.py
- Sky tests no longer run 'deploy_sdk' script.

R=eseidel@chromium.org

Review URL: https://codereview.chromium.org/1132063007",johnmccutchan,https://api.github.com/repos/flutter/flutter/git/commits/57ec759e97e2fe6fed0032366137a5818e520a42
87e8b162c7216d9ed5d86514882de7498a462162,"WIP Flexbox Layout Manager for Sky framework.

This only handles really basic cases and doesn't understand
justification, wrapping, and so on. Submitting for code
review so I can get some early feedback before I invest
more time into making it correct.

R=ianh@google.com, abarth

Review URL: https://codereview.chromium.org/1151293002",collinjackson,https://api.github.com/repos/flutter/flutter/git/commits/87e8b162c7216d9ed5d86514882de7498a462162
3118a6fba11590eeed0cf237e33a64fb7e1c86e5,"Initial version of working game with Box2D, images, nodes and sprites.

R=abarth@chromium.org

Review URL: https://codereview.chromium.org/1161023006",vlidholt,https://api.github.com/repos/flutter/flutter/git/commits/3118a6fba11590eeed0cf237e33a64fb7e1c86e5
