First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
475e3471b4e8da8776fe7e66a3390c8a30c19f08,Create README.md,unknwon,https://api.github.com/repos/gogs/gogs/git/commits/475e3471b4e8da8776fe7e66a3390c8a30c19f08
a30e5bcaf83a82f5f7d1c89a6f9f7e52036d74af,add createrepository & deleterepository,lunny,https://api.github.com/repos/gogs/gogs/git/commits/a30e5bcaf83a82f5f7d1c89a6f9f7e52036d74af
ffcfd428b8372b3b5fafc70acf2ecc189bd7712e,"ui design for sign-in and sign-up page
add /login and /sign-up link for user signing
fix typo error",fuxiaohei,https://api.github.com/repos/gogs/gogs/git/commits/ffcfd428b8372b3b5fafc70acf2ecc189bd7712e
2289ff20bf40e2adaa096aeac80837c69c2f01c3,"That's one small step for man, one giant leap for gopher.",slene,https://api.github.com/repos/gogs/gogs/git/commits/2289ff20bf40e2adaa096aeac80837c69c2f01c3
ccd43b09b22f551070c2656dd2f4c7f347619a1c,add some comment,codeskyblue,https://api.github.com/repos/gogs/gogs/git/commits/ccd43b09b22f551070c2656dd2f4c7f347619a1c
588a700257e982fda3fee66d38672e9598d350a7,fix typo s/Broad/Board,mattbaird,https://api.github.com/repos/gogs/gogs/git/commits/588a700257e982fda3fee66d38672e9598d350a7
60b83ce0c670e2b96c19ff694301684500392838,Fix up the spelling on the intro :),jakejscott,https://api.github.com/repos/gogs/gogs/git/commits/60b83ce0c670e2b96c19ff694301684500392838
7524aeab638cf6645deab1ae9215cc95d1e8174b,"add the license section under the README.md file
It's very clear if we add the license type in the README.md",laofo,https://api.github.com/repos/gogs/gogs/git/commits/7524aeab638cf6645deab1ae9215cc95d1e8174b
1a247340dbea3404431f60a24bb8f8d06d94b1e9,"Merge pull request #1 from gogits/master

Sync to lastest",genedna,https://api.github.com/repos/gogs/gogs/git/commits/1a247340dbea3404431f60a24bb8f8d06d94b1e9
868d921f7bb30a3bd5c690b484722fc35c0d8211,Description list instead of div's in admin Dashboard & Configuration.,crackcomm,https://api.github.com/repos/gogs/gogs/git/commits/868d921f7bb30a3bd5c690b484722fc35c0d8211
fa34656b5dd914938950da6ce95230caab733da7,Add missing deps,wind0r,https://api.github.com/repos/gogs/gogs/git/commits/fa34656b5dd914938950da6ce95230caab733da7
5966dd78e67de613bea53a517712645c8449b358,Add the scirpts for auto deploy.,crystaldust,https://api.github.com/repos/gogs/gogs/git/commits/5966dd78e67de613bea53a517712645c8449b358
f3ed11d177d76bcb1850c6670c1516d25a66eb2c,mistakes,zhsso,https://api.github.com/repos/gogs/gogs/git/commits/f3ed11d177d76bcb1850c6670c1516d25a66eb2c
