First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
c3550d90867392905edbd91c94fec8c89fbfe648,"Web Apps 1.0 initial checkin of working directory

git-svn-id: http://svn.whatwg.org/webapps@1 340c8d12-0b0e-0410-8428-c7bf67bfef74",Hixie,https://api.github.com/repos/whatwg/html/git/commits/c3550d90867392905edbd91c94fec8c89fbfe648
2bf320bc20cc8dd21682b006ae9053546dc46791,git-svn-id: http://svn.whatwg.org/webapps@8556 340c8d12-0b0e-0410-8428-c7bf67bfef74,annevk,https://api.github.com/repos/whatwg/html/git/commits/2bf320bc20cc8dd21682b006ae9053546dc46791
aaa19d5fc035c045b4c0d0736d0e99925c386550,Remove dead revision tracking code,domenic,https://api.github.com/repos/whatwg/html/git/commits/aaa19d5fc035c045b4c0d0736d0e99925c386550
93b81c036021533a297b5cb419378d57345fc752,"Fix typos ""transfered"" and ""targetted""",foolip,https://api.github.com/repos/whatwg/html/git/commits/93b81c036021533a297b5cb419378d57345fc752
863358278887ef3636d29e9f6ad6068b4632b3eb,Make GH consider .inc files HTML (instead of PHP),sideshowbarker,https://api.github.com/repos/whatwg/html/git/commits/863358278887ef3636d29e9f6ad6068b4632b3eb
b0ec7168f44ac6281e7867dc2367ffb2b66131d9,"Clarify that there is no attribute named ""inert""

Fixes http://w3bug.com/28906",cvrebert,https://api.github.com/repos/whatwg/html/git/commits/b0ec7168f44ac6281e7867dc2367ffb2b66131d9
a0ec607dc94db3d0b40213e51ae72b3357407213,"Remove the v2 ideas

They are now covered by issues #17 and #18.",Ms2ger,https://api.github.com/repos/whatwg/html/git/commits/a0ec607dc94db3d0b40213e51ae72b3357407213
36073fc2f36851dbf855ac49017a5829cd77ac7a,"More precisely specify property creation during structured clone

Explicitly reference the CreateDataProperty() internal algorithm
from ECMAScript which in turn relies on [[DefineOwnProperty]].
This removes any ambiguity about whether to use that or [[Set]]
when producing clones.

Resolves https://www.w3.org/Bugs/Public/show_bug.cgi?id=28052",inexorabletash,https://api.github.com/repos/whatwg/html/git/commits/36073fc2f36851dbf855ac49017a5829cd77ac7a
955fbaa1856bee413eb976f22fe4d5a8983f859c,"Add an 'allow-popups-to-escape-sandbox' sandboxing token

This patch adds the sandbox-escaping functionality described at [1],
which will allow a sandboxed docuent to spawn new windows without
forcing the set of active sandboing flags upon them. This allows, for
example, a third-party advertisement to be (more) safely sandboxed
without forcing the same restrictions upon a landing page.

Discussed at [2] and [3].

[1]: https://www.w3.org/Bugs/Public/show_bug.cgi?id=28817
[2]: https://lists.w3.org/Archives/Public/public-whatwg-archive/2015May/0035.html
[3]: https://groups.google.com/a/chromium.org/d/msg/blink-dev/wXbgxLu63Fo/YtsqkySmTWcJ",mikewest,https://api.github.com/repos/whatwg/html/git/commits/955fbaa1856bee413eb976f22fe4d5a8983f859c
4fa12c98538878ac73007aec5194448961de91ba,List all editors' emails in acknowledgements,zcorpan,https://api.github.com/repos/whatwg/html/git/commits/4fa12c98538878ac73007aec5194448961de91ba
228563091add9a21546f8a3c2965e5113fdc025e,Fix the WebM Container Guidelines link,alrra,https://api.github.com/repos/whatwg/html/git/commits/228563091add9a21546f8a3c2965e5113fdc025e
367707af5cd76864be9224e4b5a769fbf44fed96,"Avoid side-effects when cloning Maps and Sets

The [[MapData]]/[[SetData]] Lists (respectively) are now copied
before cloning their contents, which allows the spec to avoid
handling mutations to the cloned Map/Set that occur during cloning.

Resolves https://www.w3.org/Bugs/Public/show_bug.cgi?id=28849",ajklein,https://api.github.com/repos/whatwg/html/git/commits/367707af5cd76864be9224e4b5a769fbf44fed96
509578d97bd12374e50a409bd4f1ec63cd36a543,"Refactor importScripts(urls)

Refactor importScripts(urls) by extracting it into an algorithm,  import scripts
into worker global scope, having hooks that can be overriden by derived
interfaces. The service worker spec uses the extracted algorithm with the
overriden options: https://slightlyoff.github.io/ServiceWorker/spec/service_worker/#importscripts

Fixes https://www.w3.org/Bugs/Public/show_bug.cgi?id=28737.",jungkees,https://api.github.com/repos/whatwg/html/git/commits/509578d97bd12374e50a409bd4f1ec63cd36a543
23cf780116ba53168748c243989b357c0a4d337b,"Fix #96: change requestAnimationFrame type to unsigned long

The animation frame callback identifier concept, which is returned from requestAnimationFrame() as index into the callbacks and which index cancelAnimationFrame() uses to remove a callback, cannot be negative.",saneyuki,https://api.github.com/repos/whatwg/html/git/commits/23cf780116ba53168748c243989b357c0a4d337b
f4f6075e541e0b7dc8e3e470873f52da4921b80c,"Emacs file-local variables only work on the first line.

Fixes #105.",hober,https://api.github.com/repos/whatwg/html/git/commits/f4f6075e541e0b7dc8e3e470873f52da4921b80c
f619b0c0dfa6076d738c90e0d115221efc7cd003,"Close #109: reference other documents for ARIA behavior and semantics

This moves most normative language regarding ARIA elsewhere. Per a fix for #108 it also takes care of referencing the latest version of ARIA.",stevefaulkner,https://api.github.com/repos/whatwg/html/git/commits/f619b0c0dfa6076d738c90e0d115221efc7cd003
b6fad7dbcdd6c1ee9ac76d7e6381bd4df4eb3995,"Fix typo ""ul, element""

Resolves #99.

PR: #146",jonathantneal,https://api.github.com/repos/whatwg/html/git/commits/b6fad7dbcdd6c1ee9ac76d7e6381bd4df4eb3995
be37ac7154f18615af90cc677dc283d86249807e,"Fix a typo 'tailoirings' => 'tailorings'

Fixes https://github.com/whatwg/html/issues/202",yuyokk,https://api.github.com/repos/whatwg/html/git/commits/be37ac7154f18615af90cc677dc283d86249807e
0abf537186a48f05171d6daf262306fb933ab327,"Remove multicol from elements with default margins
As Firefox is the only element with default margins, hence it was reasonable to remove it.

Fixes https://www.w3.org/Bugs/Public/show_bug.cgi?id=27672",Ritsyy,https://api.github.com/repos/whatwg/html/git/commits/0abf537186a48f05171d6daf262306fb933ab327
f7ff53e761a9fc813d9765073e2752d42347f0b6,"Fix #247: make SVG titles first child, not last

The SVG spec says that the title should be the first child, and that
some UAs might only respect such children, although non-first children
are also valid.  The only UA that seems to implement setting
document.title in SVG documents, IE, inserts as the first child and not
the last.",ayg,https://api.github.com/repos/whatwg/html/git/commits/f7ff53e761a9fc813d9765073e2752d42347f0b6
4b3e06eaa750f129f25999c742dfc782daa085c9,Fixes #179: Add note about clearing timers,nikkisquared,https://api.github.com/repos/whatwg/html/git/commits/4b3e06eaa750f129f25999c742dfc782daa085c9
260b66f352b34143c29bf3b2f5a17f9b5c34c1e1,Close #279: stop using IDL Date so it can be removed from IDL,bzbarsky,https://api.github.com/repos/whatwg/html/git/commits/260b66f352b34143c29bf3b2f5a17f9b5c34c1e1
cb3316db45e369ba31d97c5ee2dcd9c353a3cb5d,"Fixes #265: Change whitelist/blacklist to safelist/blocklist

Closes #281.",vakila,https://api.github.com/repos/whatwg/html/git/commits/cb3316db45e369ba31d97c5ee2dcd9c353a3cb5d
1b4b0eff5a51769e13a9b6cbb10c2dea3742f3a5,"Drop [Exposed=Window, Worker] for DOMStringMap

Fixes https://www.w3.org/Bugs/Public/show_bug.cgi?id=28104",PoojaSanklecha,https://api.github.com/repos/whatwg/html/git/commits/1b4b0eff5a51769e13a9b6cbb10c2dea3742f3a5
d8576337e0d6568c1bdf71e1e57603495472fd54,Fix a typo 'succintly' => 'succinctly',aristov,https://api.github.com/repos/whatwg/html/git/commits/d8576337e0d6568c1bdf71e1e57603495472fd54
bb00977fe0f4960f929bb9fa136be2003383d551,"Replace 2dcontext's currentTransform with get/setTransform

After discussion in #264 we concluded that it makes more sense for the canvas
2dcontext object to expose currentTransform as set and get methods rather than
an attribute. This avoids the complications of having a ""live"" object.

However, since we already have a setTransform() method, the solution was
to replace currentTransform with a getTransform() getter, and overload
setTransform() to also accept a DOMMatrixInit object.

Also clean up the wording around the term ""current transformation matrix"".",grorg,https://api.github.com/repos/whatwg/html/git/commits/bb00977fe0f4960f929bb9fa136be2003383d551
