First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
0216e811e9da88b867742710f7d166cef2eabfbc,Initial commit,smawson,https://api.github.com/repos/istio/istio/git/commits/0216e811e9da88b867742710f7d166cef2eabfbc
8ba719ba0b74f70a1bcd85563a4b252c3f9633fa,Initial commit,geeknoid,https://api.github.com/repos/istio/istio/git/commits/8ba719ba0b74f70a1bcd85563a4b252c3f9633fa
e5282a60f8e76738b50a964cfb67ffe621ce3623,Create LICENSE,louiscryan,https://api.github.com/repos/istio/istio/git/commits/e5282a60f8e76738b50a964cfb67ffe621ce3623
b17bfb73a640b696bca91b8c0e132271cb93c522,"remove bad file


Former-commit-id: f7236567e528ee753271511681abc42cad475bfd",mandarjog,https://api.github.com/repos/istio/istio/git/commits/b17bfb73a640b696bca91b8c0e132271cb93c522
853df951b12766140daa2130c4c10a7998724f24,"Establish initial contrib docs.

These docs borrow heavily from the k8s docs, making only
small changes to remove unneeded parts and/or to replace
kubernetes with istio mixer where appropriate.

A number of TODOs are left in place to indicate areas that
need further attention as our dev story becomes more fleshed
out.


Former-commit-id: 01d84311cde4be30f0c35024ab2bb9606f57254c",douglas-reid,https://api.github.com/repos/istio/istio/git/commits/853df951b12766140daa2130c4c10a7998724f24
acd38bc1957e3a0e5fb8e9c21743d3f3e1363ce4,"Suggest to use singular names for directory naming (#28)



Former-commit-id: 0a0c56aabf7bdceb31b65a179a51c8752d90751d",wora,https://api.github.com/repos/istio/istio/git/commits/acd38bc1957e3a0e5fb8e9c21743d3f3e1363ce4
490e149863998b5f0194ee80157a75f40a83c8c5,Initial code import for istio manager,kyessenov,https://api.github.com/repos/istio/istio/git/commits/490e149863998b5f0194ee80157a75f40a83c8c5
c4545db8a50ffef056dd62f5d98f499e07dcb65c,Add initial travis-CI build config for bazel.build.,sebastienvas,https://api.github.com/repos/istio/istio/git/commits/c4545db8a50ffef056dd62f5d98f499e07dcb65c
57224f8cfb8ed85ad0a7c05e8cb147ee0ac0387d,"add repositories.bzl to remove boilerplate in BUILD files (#101)



Former-commit-id: 1b5ffae676e58e9daa83c05f5f39e6a037010dd2",lizan,https://api.github.com/repos/istio/istio/git/commits/57224f8cfb8ed85ad0a7c05e8cb147ee0ac0387d
1d759d48aca02db25b6a5e80082a206ebc09a769,Add a simple CDS API.,ijsnellf,https://api.github.com/repos/istio/istio/git/commits/1d759d48aca02db25b6a5e80082a206ebc09a769
480bff8e943e9768ffdeb2fd5d9732860e7a6101,add demos from amalgam8,frankbu,https://api.github.com/repos/istio/istio/git/commits/480bff8e943e9768ffdeb2fd5d9732860e7a6101
cdbf93679baf3d309a2c4aa9b675139673f33293,"Initial stab at some governance type of docs

Signed-off-by: Doug Davis <dug@us.ibm.com>",duglin,https://api.github.com/repos/istio/istio/git/commits/cdbf93679baf3d309a2c4aa9b675139673f33293
662642a5050e080e2659cc4ddcc7c81df8a2285f,"Merge pull request #3 from frankbu/master

add demos from amalgam8",rshriram,https://api.github.com/repos/istio/istio/git/commits/662642a5050e080e2659cc4ddcc7c81df8a2285f
d6be2f9bd389db92d07b13e1fb494e4d365ddf63,"Move proxy iptable configuration into istio init image (#73)

* Move proxy iptable configuration into istio init image",ayj,https://api.github.com/repos/istio/istio/git/commits/d6be2f9bd389db92d07b13e1fb494e4d365ddf63
