First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
4502e7e51c0569419c26e75fbdd5748170603e54,- initial commit,nlohmann,https://api.github.com/repos/nlohmann/json/git/commits/4502e7e51c0569419c26e75fbdd5748170603e54
0f371b4086dcb058d3d3b5ed216ad097e8fce4af,CMake and coverage report,Teemperor,https://api.github.com/repos/nlohmann/json/git/commits/0f371b4086dcb058d3d3b5ed216ad097e8fce4af
0773f40a8e6c6e9ecfbf91ce732bd898dce4f6b5,"Fix double delete on std::bad_alloc exception

If the new operator throws in the json::find methods then result.oi_ is
deleted again in the destructor of json::iterator/json::const_iterator,
which is a double delete and undefined behaviour.",elliotgoodrich,https://api.github.com/repos/nlohmann/json/git/commits/0773f40a8e6c6e9ecfbf91ce732bd898dce4f6b5
36f61998986d9cdb0449c8f19138e1ac8a97c172,Fix string conversion under Clang,wancw,https://api.github.com/repos/nlohmann/json/git/commits/36f61998986d9cdb0449c8f19138e1ac8a97c172
20d75a26a552646c1b1bbdfebc2e41bb299f7e63,"more descriptive documentation in example

I wasn't sure what that parameter was at first glance",luxe,https://api.github.com/repos/nlohmann/json/git/commits/20d75a26a552646c1b1bbdfebc2e41bb299f7e63
ef3ad895aeece70cc187f1c0ad6feca4fef6dc43,Adds (failing) test for small float serialisation,jrandall,https://api.github.com/repos/nlohmann/json/git/commits/ef3ad895aeece70cc187f1c0ad6feca4fef6dc43
754c38e871497013e22de894e696122cb7991d93,Moved buffer management into the lexer class and implemented YYFILL so that streams are read incrementally.,aburgh,https://api.github.com/repos/nlohmann/json/git/commits/754c38e871497013e22de894e696122cb7991d93
ad6ad4ae1ecf963d36abcc85a190a655584b5499,"Fix compilation of json_unit with GCC 5

Addressing:
```
+ make json_unit
g++ -std=c++11  -Wall -Wextra -pedantic -Weffc++ -Wcast-align -Wcast-qual -Wctor-dtor-privacy -Wdisabled-optimization -Wformat=2 -Winit-self -Wmissing-declarations -Wmissing-include-dirs -Wold-style-cast -Woverloaded-virtual -Wredundant-decls -Wshadow -Wsign-conversion -Wsign-promo -Wstrict-overflow=5 -Wswitch -Wundef -Wno-unused -Wnon-virtual-dtor -Wreorder -Wdeprecated -Wfloat-equal  -I src -I test -Dprivate=public test/unit.cpp  -o json_unit
In file included from test/catch.hpp:65:0,
                 from test/unit.cpp:11:
/usr/include/c++/5.0.0/sstream:300:7: error: 'struct std::__cxx11::basic_stringbuf<_CharT, _Traits, _Alloc>::__xfer_bufptrs' redeclared with different access
       struct __xfer_bufptrs
```",dkopecek,https://api.github.com/repos/nlohmann/json/git/commits/ad6ad4ae1ecf963d36abcc85a190a655584b5499
28f64c22a9ca3abb905addd97ae31796b8df5f9f,simplify operator<,Florianjw,https://api.github.com/repos/nlohmann/json/git/commits/28f64c22a9ca3abb905addd97ae31796b8df5f9f
91aee105798df4a9c74f51d75d897f70bdbf855f,"support enum

construct enum type to basic_json (proxy by int type)
```
    enum { t = 0 };
    json  j = json::array();
    j.push_back(t);

    j.push_back(json::object({
         {""game_type"", t}
    }));
```",likebeta,https://api.github.com/repos/nlohmann/json/git/commits/91aee105798df4a9c74f51d75d897f70bdbf855f
7da56cf2924ba9baf171cc5c10cc9625b62c7a15, Fix typos,aqnouch,https://api.github.com/repos/nlohmann/json/git/commits/7da56cf2924ba9baf171cc5c10cc9625b62c7a15
c49d83172f198029da2074cbdfb70ac285294cc5,Avoid warning with Xcode's clang,ahamez,https://api.github.com/repos/nlohmann/json/git/commits/c49d83172f198029da2074cbdfb70ac285294cc5
c6c37d00d1962257607138def2e788157e9e9969,Fix small oversight.,ColinH,https://api.github.com/repos/nlohmann/json/git/commits/c6c37d00d1962257607138def2e788157e9e9969
8fdd20cdda61b9f168028e8a965e5dc2399649f7,Overload parse() to accept an rvalue reference,silverweed,https://api.github.com/repos/nlohmann/json/git/commits/8fdd20cdda61b9f168028e8a965e5dc2399649f7
2d7f1542b1b022fde18d5004fce91a51b71dc6b0,Use the right variable name in doc string,whoshuu,https://api.github.com/repos/nlohmann/json/git/commits/2d7f1542b1b022fde18d5004fce91a51b71dc6b0
f7fb40556463c73659151d1d0116deb5e7849a4b,"exception-safe object creation, fixes #118",d-frey,https://api.github.com/repos/nlohmann/json/git/commits/f7fb40556463c73659151d1d0116deb5e7849a4b
4f27004dd55c3b7327045f713a2a60e9b98eccc5,remove invalid parameter '-stdlib=libc++' in CMakeLists.txt,emvivre,https://api.github.com/repos/nlohmann/json/git/commits/4f27004dd55c3b7327045f713a2a60e9b98eccc5
260745810de240cbba7c331a519af0ad77f5e95a,fixed typos in comments for examples,dmenendez-gruposantander,https://api.github.com/repos/nlohmann/json/git/commits/260745810de240cbba7c331a519af0ad77f5e95a
55cbd903e8960ef8b4ddd41c37aa2eb551aed9de,"removed stream operator for iterator, resolution for #125

It doesn't really make sense to stream an iterator.
Besides, this was causing trouble in MSVC in Debug mode (see #125)",dariomt,https://api.github.com/repos/nlohmann/json/git/commits/55cbd903e8960ef8b4ddd41c37aa2eb551aed9de
ec7a1d834773f9fee90d8ae908a0c9933c5646fc,"Fix character skipping after a surrogate pair

In a string the first character following a surrogate pair is skipped by the
lexer, but the rest of the string is parsed as usual.",robertmrk,https://api.github.com/repos/nlohmann/json/git/commits/ec7a1d834773f9fee90d8ae908a0c9933c5646fc
14d8a91f7349baefa83cabc96113a12b9d9848a9,"Replace sprintf with hex function, this fixes #149",whackashoe,https://api.github.com/repos/nlohmann/json/git/commits/14d8a91f7349baefa83cabc96113a12b9d9848a9
8ecccf8628f434420ab0b2c10dcea3bc55dd9b1a,Fixed some typos in CONTRIBUTING.md,nibroc,https://api.github.com/repos/nlohmann/json/git/commits/8ecccf8628f434420ab0b2c10dcea3bc55dd9b1a
08fd6dbf98e92889051ca3695752f71380e5f795,Fix broken link,vog,https://api.github.com/repos/nlohmann/json/git/commits/08fd6dbf98e92889051ca3695752f71380e5f795
9e500b49ace31f53cab94ca426cde5998b3b91fd,"Add support for afl-fuzz testing

""make fuzz"" creates a simple executable that de-serialises stdin
and re-serialises to stdout.
""make fuzz_testcases"" extracts the smaller json test cases into
a testcases directory.

The library can then be fuzzed as follows:
    CC=afl-clang-fast make fuzz
    make fuzz_testcases
    mkdir out
    afl-fuzz -i testcases -o out ./fuzz",mykter,https://api.github.com/repos/nlohmann/json/git/commits/9e500b49ace31f53cab94ca426cde5998b3b91fd
78a020354ddf50ea621934eb41b7d76ded018ac0,"Corrected readme

Internally, the elements in a map are always sorted by its key following a specific strict weak ordering criterion indicated by its internal comparison object (of type Compare).
With string type, the default comparator is alphabetical order, and thus two come after three.",Annihil,https://api.github.com/repos/nlohmann/json/git/commits/78a020354ddf50ea621934eb41b7d76ded018ac0
