First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
1f0bd8cac393d7da2e5845b5ffce5f4a8568006f,Initial commit,fchollet,https://api.github.com/repos/keras-team/keras/git/commits/1f0bd8cac393d7da2e5845b5ffce5f4a8568006f
0e0545a1221891bbc684cad94514b30fd0c35ff7,"Update README.md

Typo fix.",vasili-zolotov,https://api.github.com/repos/keras-team/keras/git/commits/0e0545a1221891bbc684cad94514b30fd0c35ff7
45daf4b165dfc936476650231ab3bdeddf4da972,Typo fixes,cosmith,https://api.github.com/repos/keras-team/keras/git/commits/45daf4b165dfc936476650231ab3bdeddf4da972
0ca14146ab678b2e26206d0bee920c7d5c43f3e5,Fix untar,nagadomi,https://api.github.com/repos/keras-team/keras/git/commits/0ca14146ab678b2e26206d0bee920c7d5c43f3e5
e2359453d355c988e2301fe9bd6891c1efb5c0d1,Various typo fixes,vinhkhuc,https://api.github.com/repos/keras-team/keras/git/commits/e2359453d355c988e2301fe9bd6891c1efb5c0d1
23050e0a423f3cd664b40aa0f524852d09b85b90,improved setup.py,mbatchkarov,https://api.github.com/repos/keras-team/keras/git/commits/23050e0a423f3cd664b40aa0f524852d09b85b90
c57d5cce7903511edd4048f8bfed2ad0dc6f6b6b,Integrate aleju's validation_split,aleju,https://api.github.com/repos/keras-team/keras/git/commits/c57d5cce7903511edd4048f8bfed2ad0dc6f6b6b
82cd5612451733554638bdaac05e8415c4285659,generalization to ndim for predict_proba and predict_classes,charlesollion,https://api.github.com/repos/keras-team/keras/git/commits/82cd5612451733554638bdaac05e8415c4285659
465d8d14bc7d0b9e6c109cf2ff41e0aab1e627e7,Added Time Distributed Softmax to allow softmax activation over 3D inputs,patyork,https://api.github.com/repos/keras-team/keras/git/commits/465d8d14bc7d0b9e6c109cf2ff41e0aab1e627e7
a1c9d0823cd284213c884be0964cd47c47d5e666,Add Glorot & He initializations,untom,https://api.github.com/repos/keras-team/keras/git/commits/a1c9d0823cd284213c884be0964cd47c47d5e666
eb150bd06564b2d981f686bd3847b88941b58550,Fixed standardize_y to allow using classes that emulate ndarray API and replaces lists by slices in the case of sequential samples,jfsantos,https://api.github.com/repos/keras-team/keras/git/commits/eb150bd06564b2d981f686bd3847b88941b58550
254b7cb1ad7322e423dd636d85e47b1261a0e962,fix verbose=2?,capybaralet,https://api.github.com/repos/keras-team/keras/git/commits/254b7cb1ad7322e423dd636d85e47b1261a0e962
70efc97ff4fe8b3a37f7fa11b45e98a3ca6633ae,"Fix Adam

Use decaying betas to update m_t and v_t and change relative weighting to match paper",the-moliver,https://api.github.com/repos/keras-team/keras/git/commits/70efc97ff4fe8b3a37f7fa11b45e98a3ca6633ae
bc14d15094ba85b43c22fe7926ba31929c25a382,Added 1D Convolution and Pooling,pranv,https://api.github.com/repos/keras-team/keras/git/commits/bc14d15094ba85b43c22fe7926ba31929c25a382
e172e12182868f70d39ff27b307663d6fe9422e1,join function TypeError fixed,mizdler,https://api.github.com/repos/keras-team/keras/git/commits/e172e12182868f70d39ff27b307663d6fe9422e1
2d5c1c3702ba2676cdc26bd5affc750dc93a4a38,"Add new initializations to the docs

Two new initializations: glorot_uniform and he_uniform",seiteta,https://api.github.com/repos/keras-team/keras/git/commits/2d5c1c3702ba2676cdc26bd5affc750dc93a4a38
d788b8e9194f8125af7059bcc1b730dcc10f196e,Fixed grayscale IO,mthrok,https://api.github.com/repos/keras-team/keras/git/commits/d788b8e9194f8125af7059bcc1b730dcc10f196e
269c46fcdcc7e7f734fcf4876021b49aea64e6ae,fix typo,floydwch,https://api.github.com/repos/keras-team/keras/git/commits/269c46fcdcc7e7f734fcf4876021b49aea64e6ae
c0691dfad9a8faff83764929caecefd0ffc6efc2,Fix typo where label should be used. Original files work fine because `labels` is a global variable,weilinear,https://api.github.com/repos/keras-team/keras/git/commits/c0691dfad9a8faff83764929caecefd0ffc6efc2
9a083903207f9199003e1b75143f0415925a8783,Add L1-L2 (ElasticNet) regularization,nizhib,https://api.github.com/repos/keras-team/keras/git/commits/9a083903207f9199003e1b75143f0415925a8783
1a3f984abd788a87ad3b34d64446d97c1c3864ef,adding ability for users to stop training early and still return the training history,lukedeo,https://api.github.com/repos/keras-team/keras/git/commits/1a3f984abd788a87ad3b34d64446d97c1c3864ef
feb44adde3c8917c2032cd452ead5680733fc178,fixed missing parenthesis in README,alvarouc,https://api.github.com/repos/keras-team/keras/git/commits/feb44adde3c8917c2032cd452ead5680733fc178
094acd9319664c27caa5a87e68fcb1b48c7129c1,"Add inner_activation to get_config

Add the printing of the inner activation to the recurrent models that have one",jramapuram,https://api.github.com/repos/keras-team/keras/git/commits/094acd9319664c27caa5a87e68fcb1b48c7129c1
f8d8def510659a161da0bc8dffd2e5154e2baf6f,fix imports in the LSTM example,dragoon,https://api.github.com/repos/keras-team/keras/git/commits/f8d8def510659a161da0bc8dffd2e5154e2baf6f
77fb6a3873ca6bd82a7dc1620eeb706c66177fc5,"Pad the progress bar strings so formatting stays when going from 99 to 100, etc.",stephenroller,https://api.github.com/repos/keras-team/keras/git/commits/77fb6a3873ca6bd82a7dc1620eeb706c66177fc5
80fac9f351afc0528e5e41729b1ff0fca9920989,Updated example with new location of Embedding,texttheater,https://api.github.com/repos/keras-team/keras/git/commits/80fac9f351afc0528e5e41729b1ff0fca9920989
