First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
2c4b3a562ce34cddc3f8218a2c4d11c7310e6d56,First commit,jbeda,https://api.github.com/repos/kubernetes/kubernetes/git/commits/2c4b3a562ce34cddc3f8218a2c4d11c7310e6d56
130560a769fe6da64c87f695e4665225de1faec3,Proofread guestbook.md,lavalamp,https://api.github.com/repos/kubernetes/kubernetes/git/commits/130560a769fe6da64c87f695e4665225de1faec3
ba593770151eb32d44e66ea5326c0164924aabf3,"Merge pull request #10 from jbeda/script-reorg

Move everything out of src and reorganize scripts.",brendandburns,https://api.github.com/repos/kubernetes/kubernetes/git/commits/ba593770151eb32d44e66ea5326c0164924aabf3
f528ef80189f7d1ad11bd788791e4941fe6eaca9,guestbook: add link to cluster setup instruction,proppy,https://api.github.com/repos/kubernetes/kubernetes/git/commits/f528ef80189f7d1ad11bd788791e4941fe6eaca9
7d9a58bc4e38618963ce6fd962f37a98862ba853,Update README.md,MikeJeffrey,https://api.github.com/repos/kubernetes/kubernetes/git/commits/7d9a58bc4e38618963ce6fd962f37a98862ba853
e01adf3ec1f84ed75a52d5c5c3b7fae16d62177e,"Switch from the deprecated bootstrap.saltstack.org to the .com redirect

As per saltstack/salt#12105",whiteinge,https://api.github.com/repos/kubernetes/kubernetes/git/commits/e01adf3ec1f84ed75a52d5c5c3b7fae16d62177e
ab8b3e6c086e5dae685d04b7558ae2e33c62458a,Fix typo in DESIGN.md,hmrm,https://api.github.com/repos/kubernetes/kubernetes/git/commits/ab8b3e6c086e5dae685d04b7558ae2e33c62458a
f6c4dd2332a43b4676c5c465f8ae96308224379d,Make cloudcfg method switch idiomatic.,juliusv,https://api.github.com/repos/kubernetes/kubernetes/git/commits/f6c4dd2332a43b4676c5c465f8ae96308224379d
d482673bcb5c07d128b5434f0d903f3bdd1881e5,Use a CSPRNG to generate passwords.,mmdriley,https://api.github.com/repos/kubernetes/kubernetes/git/commits/d482673bcb5c07d128b5434f0d903f3bdd1881e5
6939fa66161910302fa545203dcf297e963fa77e,Typo in command,adnanh,https://api.github.com/repos/kubernetes/kubernetes/git/commits/6939fa66161910302fa545203dcf297e963fa77e
5b6879a932fa4d939de02aab8438e40d4bd8f60c,Update DESIGN.md,asm89,https://api.github.com/repos/kubernetes/kubernetes/git/commits/5b6879a932fa4d939de02aab8438e40d4bd8f60c
0ef752aa00912f243ce107c547cfb3b9d1f03285,"Remove unnecessary application/json properties

Since the default mediaType is declared at the root level, you can omit the explicit application/json media types for any body. DRY!",usarid,https://api.github.com/repos/kubernetes/kubernetes/git/commits/0ef752aa00912f243ce107c547cfb3b9d1f03285
7f3989f91bebef9e1be94a7d003ab16d848b48a1,"Change flag.Duration descriptions to be unit-free.

flag.Duration permits different durations, not just seconds.",dsymonds,https://api.github.com/repos/kubernetes/kubernetes/git/commits/7f3989f91bebef9e1be94a7d003ab16d848b48a1
07420419bb1a7da3f1c1ad3116e40dfdea57aed6,"Fix Typo in Design Document Overview

s/arechitecture/architecture/",travisby,https://api.github.com/repos/kubernetes/kubernetes/git/commits/07420419bb1a7da3f1c1ad3116e40dfdea57aed6
0a4e7985a9b7376d20db79c019603ec894baa06a,"e2e-test: expose minion 8080 port

Otherwise the test fails when trying to reach the
nginx containers.",danielnorberg,https://api.github.com/repos/kubernetes/kubernetes/git/commits/0a4e7985a9b7376d20db79c019603ec894baa06a
76e0391ad378887de8a1f61b50e43fee000dfb25,Allow the use of a network other than default,ctso,https://api.github.com/repos/kubernetes/kubernetes/git/commits/76e0391ad378887de8a1f61b50e43fee000dfb25
