First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
9d7895c567e8f38abfff35da1b6d6d6a0a06f9aa,add dependencies,ry,https://api.github.com/repos/nodejs/node/git/commits/9d7895c567e8f38abfff35da1b6d6d6a0a06f9aa
9e6603476aa262bf92dd723cf8a224d76ca2db99,Mentioning the google group in the README and documentation.,ujh,https://api.github.com/repos/nodejs/node/git/commits/9e6603476aa262bf92dd723cf8a224d76ca2db99
4b9f26c51a25a07f314343b3f654ed3c048c4c8c,validate js,joshaven,https://api.github.com/repos/nodejs/node/git/commits/4b9f26c51a25a07f314343b3f654ed3c048c4c8c
8489bdbaeb07b18a736a438719adc8837c1908a0,"Buggy connections could crash node.js. Now check connection before sending data every time

http://groups.google.com/group/nodejs/browse_thread/thread/16abfa87c32408f3

We have our node.js server monitored by monit, however it seems monit is pretty
agressive / quick about closing its connection and thus we've gotten into a
loop of errors like this:

    at #<a ServerResponse>.flush
    at #<a ServerResponse>.sendBody
    at [object Object].json
    at [object Object].[anonymous]
    at [object Object].[anonymous]
    at [object Object].[anonymous]
http.js:353: Socket is not open for writing
      connection.send(out, out.encoding);
                 ^

Below is a patch that basically cause flushMessageQueue to check the connection
state for each item in the queue rather than just a single time in the
beginning.",kvz,https://api.github.com/repos/nodejs/node/git/commits/8489bdbaeb07b18a736a438719adc8837c1908a0
8ea6adcae63d7114e9765d471168fb19d2818863,Feature: add node.cwd() to access the current working directory.,mcarter,https://api.github.com/repos/nodejs/node/git/commits/8ea6adcae63d7114e9765d471168fb19d2818863
bc6f381c98a624f600be451a1151f4b6c5741785,"Use ""platform.architecture()"" to find the proper architecture.

In Snow Leopard ""platform.machine()"" returns ""i386"" while
""platform.architecture()"" returns ('64bit',''). Using information from both
we can determine the proper architecture

This reverts commit ea29e137b5a9acda27bd9601448639aacfc1cd9e re-enabling the
64bit build on Macintosh.",sprsquish,https://api.github.com/repos/nodejs/node/git/commits/bc6f381c98a624f600be451a1151f4b6c5741785
e57c16bc2d72d23b2e897e3f79c4df607aa18a7b,Add failing spec for node.fs.write,jcrosby,https://api.github.com/repos/nodejs/node/git/commits/e57c16bc2d72d23b2e897e3f79c4df607aa18a7b
be3dddeec9c970f5cc81b672a4cf034d917d450c,"Syntax highlighting for api.html.

Asciidoc does not seem to support including custom JS, so this patch is a hack
for toc.js to dynamically include the needed CSS / JS. It should be ok unless
somebody has a better approach ...",felixge,https://api.github.com/repos/nodejs/node/git/commits/be3dddeec9c970f5cc81b672a4cf034d917d450c
5e7a8dc75ef2d23f0afc7c7024fe1131f6ec5353,"Fixes for libeio wscript on Debian.

- Link libeio to pthread.
- Add -D_GNU_SOURCE to libeio wscript.",kapouer,https://api.github.com/repos/nodejs/node/git/commits/5e7a8dc75ef2d23f0afc7c7024fe1131f6ec5353
f0682514940baa5d737065af6673b404221cb08c,"Added signal handler.

To be used internally. Needs an exposed interface.",brandon-beacher,https://api.github.com/repos/nodejs/node/git/commits/f0682514940baa5d737065af6673b404221cb08c
d2f5094096b7e40f8ee5f2243d00f34e8e90db6c,Fix the link to the new Contribute section,creationix,https://api.github.com/repos/nodejs/node/git/commits/d2f5094096b7e40f8ee5f2243d00f34e8e90db6c
2dbd0d3806bde4c68374b7de4474d1e1a2257221,Add node.fs.sendfile(),Connorhd,https://api.github.com/repos/nodejs/node/git/commits/2dbd0d3806bde4c68374b7de4474d1e1a2257221
04f9c9fb095a2b85ecb38348f184fb6f4660192b,Supply the strerror as a second arg to the tcp.Connection close event,js,https://api.github.com/repos/nodejs/node/git/commits/04f9c9fb095a2b85ecb38348f184fb6f4660192b
bd6c08a984edaec6c10ba5e68409aa2a2cecc7f8,Add EventEmitter.removeListener,fwg,https://api.github.com/repos/nodejs/node/git/commits/bd6c08a984edaec6c10ba5e68409aa2a2cecc7f8
9d39e18c6d0ff236aa2688be63312b39dfbec52c,"fixes lib/file.js write, it doesnt allways emit errors or success",onnlucky,https://api.github.com/repos/nodejs/node/git/commits/9d39e18c6d0ff236aa2688be63312b39dfbec52c
b6dda612495d7edb73250649ae53bdf3e7fc223e,Initial TLS support,waveto,https://api.github.com/repos/nodejs/node/git/commits/b6dda612495d7edb73250649ae53bdf3e7fc223e
9c1034b1832ea861fdacd4788dea4686c33bacc5,detect ccache and bail out since v8 doens't like to build with ccache,janl,https://api.github.com/repos/nodejs/node/git/commits/9c1034b1832ea861fdacd4788dea4686c33bacc5
