First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
94cdd58f9f0434aff478582e29b6cc0ab514a194,Initial commit,goldbergyoni,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/94cdd58f9f0434aff478582e29b6cc0ab514a194
1df96585b43478acbab9049dff25505ac4491074,Update README.md,idori,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/1df96585b43478acbab9049dff25505ac4491074
c72c65bafa443ad90631ebaa0795b4722dfceb75,Fix incomplete function declaration,kevinrambaud,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/c72c65bafa443ad90631ebaa0795b4722dfceb75
8cfcc2116b715fc451a693472aa5f0b1c21705b2,Fix ambiguous typo in 4.1,mfine15,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/8cfcc2116b715fc451a693472aa5f0b1c21705b2
ae7a6a7d2977242947ff2ec5d760189d1bfbacbc,"Fixed typo

I believe it should be ""Even worse"", not ""Even worth"".",squgeim,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/ae7a6a7d2977242947ff2ec5d760189d1bfbacbc
504cf72546379281042bec3f06eee216244a4385,Fix typo pitfal to pitfall,ChangJoo-Park,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/504cf72546379281042bec3f06eee216244a4385
da4263e51f42ebae7119ac93614ebe3a8a41b1d3,"Update README.md

Fixing typo.",matheusrocha89,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/da4263e51f42ebae7119ac93614ebe3a8a41b1d3
9864269c6d607c104f3ff7e2536d80bd2f7c26b7,README.md: added semantic,BitYog,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/9864269c6d607c104f3ff7e2536d80bd2f7c26b7
8672f5590f3daf3adaff661b415a77bcc2ea6c09,"[breakintcomponents.md] Fix some typos

-- 
   * correct 'modulurize' => 'modularize'
   * correct 'consumeits' => 'consume its'
   * add full stop at end of first paragraph",kudapara,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/8672f5590f3daf3adaff661b415a77bcc2ea6c09
8e54c9a27c6d88eee2685d20ae517a576f214759,Fixed some typos,BrunoScheufler,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/8e54c9a27c6d88eee2685d20ae517a576f214759
f29b698ef5c2cbc975e84e9a145e086c2e8c8b4c,fix(readme): typos,t1st3,https://api.github.com/repos/goldbergyoni/nodebestpractices/git/commits/f29b698ef5c2cbc975e84e9a145e086c2e8c8b4c
