First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
9d0080576446de475d34b0dbb58389b15cd4f529,"Initial directory structure.

git-svn-id: http://pandas.googlecode.com/svn/trunk@1 d5231056-7de3-11de-ac95-d976489f1ece",wesm,https://api.github.com/repos/pandas-dev/pandas/git/commits/9d0080576446de475d34b0dbb58389b15cd4f529
43b84bc31efa770b9bb6fcd650643db50266917d,"BUILD: Fixed issue #80, xls/csv file copying",jberka,https://api.github.com/repos/pandas-dev/pandas/git/commits/43b84bc31efa770b9bb6fcd650643db50266917d
7b6254e34fdc5ab395a6a15b1649bc38d246cd82,"README updated for better Github output

Syntax errors in the README are fixed, so that the
presentation in Github is as good as could be. Other
changes include some minor changes to wording and
added hyperlinks.",timClicks,https://api.github.com/repos/pandas-dev/pandas/git/commits/7b6254e34fdc5ab395a6a15b1649bc38d246cd82
f0120c1fb9983309c7148655e9723610c5f281bf,Added functions to pull data off Yahoo! and FRED,smc77,https://api.github.com/repos/pandas-dev/pandas/git/commits/f0120c1fb9983309c7148655e9723610c5f281bf
0fd307e732259201b5e7685bab1faf739191c829,ENH: Add join to Panel,jseabold,https://api.github.com/repos/pandas-dev/pandas/git/commits/0fd307e732259201b5e7685bab1faf739191c829
cc2206a49a4c53b9e213de36bc44a7a8d16dc99f,ENH: add package_check and skip_if_no_package to ease conditional testing,yarikoptic,https://api.github.com/repos/pandas-dev/pandas/git/commits/cc2206a49a4c53b9e213de36bc44a7a8d16dc99f
ffc977ebfd27a345d8f063e15081a880f04aeef4,"BUG: Use stdlib csv module to write csv, so commas in data are escaped
correctly.",takluyver,https://api.github.com/repos/pandas-dev/pandas/git/commits/ffc977ebfd27a345d8f063e15081a880f04aeef4
2fa995e71704ce1c42d25f24b425b5d3dab06670,Support different delimiters for to_csv,lbeltrame,https://api.github.com/repos/pandas-dev/pandas/git/commits/2fa995e71704ce1c42d25f24b425b5d3dab06670
91632344094eeb6bcee19de11750e6a8a1fd1e3a,Fixed issue with plotting a column with all null values.,aman-thakral,https://api.github.com/repos/pandas-dev/pandas/git/commits/91632344094eeb6bcee19de11750e6a8a1fd1e3a
6141961de7908490bf550aa5075627386236854a,"Adding set_eng_float_format(), which controls default float format for DataFrame.",lodagro,https://api.github.com/repos/pandas-dev/pandas/git/commits/6141961de7908490bf550aa5075627386236854a
48348a28632f275100bd7bccf6c2a60da42af661,"Added the level arguments to the series and frame math operations
such as sum, etc.",adamklein,https://api.github.com/repos/pandas-dev/pandas/git/commits/48348a28632f275100bd7bccf6c2a60da42af661
315b88cec2ac4418b550f9e3f57b89d17e3996bd,Issue #194 and #92. I ran test_frame and all passed,changhiskhan,https://api.github.com/repos/pandas-dev/pandas/git/commits/315b88cec2ac4418b550f9e3f57b89d17e3996bd
b6be1c088e9fce50635047639cd3b9806b168a61,"Fixed DataReader for yahoo to match the API.

The months are expected to be zero-index. relativedelta was used to roll back
the month, but did it incorrectly.

This is a fix for issue 419.

This bug was fixed in class as a part of the RIT FLOSS game development seminar.
http://ritfloss.rtfd.org/",ralphbean,https://api.github.com/repos/pandas-dev/pandas/git/commits/b6be1c088e9fce50635047639cd3b9806b168a61
44f689a03065063c45f288f70950b89b078c5aeb,Minor fix for simpler indexing syntax in array of subplots.,fperez,https://api.github.com/repos/pandas-dev/pandas/git/commits/44f689a03065063c45f288f70950b89b078c5aeb
153b0a14262ded2cc3d8655dc621e2108e40fe21,added yahoo quote fetcher,sjev,https://api.github.com/repos/pandas-dev/pandas/git/commits/153b0a14262ded2cc3d8655dc621e2108e40fe21
07d8e8b6cc8edcda24445441564f5dfa14cbd277,Fixed typo in dsintro.rst.,twiecki,https://api.github.com/repos/pandas-dev/pandas/git/commits/07d8e8b6cc8edcda24445441564f5dfa14cbd277
9aa56cffa5c1ef13b724f8b5b266f19c6aa3c67f,"One approach to requirements handling

Others could be:

* have requirements{2,3}.txt, and read from them with a function",gregglind,https://api.github.com/repos/pandas-dev/pandas/git/commits/9aa56cffa5c1ef13b724f8b5b266f19c6aa3c67f
bd2e92b4e2b3fed6d503c7bc499453b1bbb47d33,"(1) add a get() method like dicts have, (2) throw KeyError, not Exception, when a column isn't found",pietrust,https://api.github.com/repos/pandas-dev/pandas/git/commits/bd2e92b4e2b3fed6d503c7bc499453b1bbb47d33
782bec3ac02d018617095a576846e56ae3bd342d,closing tag of 'tbody' was 'body',theandygross,https://api.github.com/repos/pandas-dev/pandas/git/commits/782bec3ac02d018617095a576846e56ae3bd342d
9135394ca2fb734b6b0cde7108d47412860bea25,Make _get_terminal_size_linux() work inside Emacs,gwtaylor,https://api.github.com/repos/pandas-dev/pandas/git/commits/9135394ca2fb734b6b0cde7108d47412860bea25
8b5351ede4b4e5172e9777a71b7f026d642950a2,DOC: CSS fix for the reference documentation headers,ogrisel,https://api.github.com/repos/pandas-dev/pandas/git/commits/8b5351ede4b4e5172e9777a71b7f026d642950a2
