First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
053065ba239e3421d1b2cbec55e3f177a21d6829,initial revamp of torch7 tree,andresy,https://api.github.com/repos/pytorch/pytorch/git/commits/053065ba239e3421d1b2cbec55e3f177a21d6829
ade0d0e1f22811cd42af33dd7c6afe4e3c16ea60,First basic skeleton for package manager,clementfarabet,https://api.github.com/repos/pytorch/pytorch/git/commits/ade0d0e1f22811cd42af33dd7c6afe4e3c16ea60
426a2b19670c7e95b3c59008970ca12e331908fb,"added maskedSelect method to select elements using a mask vector
documentation changes for Tensor",koraykv,https://api.github.com/repos/pytorch/pytorch/git/commits/426a2b19670c7e95b3c59008970ca12e331908fb
9e099237d3e863ef1b56aa82fc75a547ffae6aa0,Add NEON assembly routine for ARM processor,arnaudchauveur,https://api.github.com/repos/pytorch/pytorch/git/commits/9e099237d3e863ef1b56aa82fc75a547ffae6aa0
9766daa1b211b0dd403d9764b0e05fceb03ddf5c,"Fix bad string.format usage in pkg/torch/File

* .. should be ,
* wrapped className with tostring, in case it is nil",pflaquerre,https://api.github.com/repos/pytorch/pytorch/git/commits/9766daa1b211b0dd403d9764b0e05fceb03ddf5c
43fead371b4ecf844ec0c69003ee908c8e30dc5c,added cuda convolutionMap,soumith,https://api.github.com/repos/pytorch/pytorch/git/commits/43fead371b4ecf844ec0c69003ee908c8e30dc5c
84a5bcb17a07bd28659b85ad50901217894c77b5,Allow running subset of tests,jtbates,https://api.github.com/repos/pytorch/pytorch/git/commits/84a5bcb17a07bd28659b85ad50901217894c77b5
87ecea3154168d53295b141a8b4ff8e66df8d83c,"Added missing form of CudaTensor:add

This adds the form that performs x:add(y,s,z), which was previously missing.",akfidjeland,https://api.github.com/repos/pytorch/pytorch/git/commits/87ecea3154168d53295b141a8b4ff8e66df8d83c
8ed97e6961ed7247bc785120b42cf03af2ccf7f2,Using a local var.,fidlej,https://api.github.com/repos/pytorch/pytorch/git/commits/8ed97e6961ed7247bc785120b42cf03af2ccf7f2
526def20a0f38c799b1a2dd78d7e32c49f2120f8,Allow negative step with range,jucor,https://api.github.com/repos/pytorch/pytorch/git/commits/526def20a0f38c799b1a2dd78d7e32c49f2120f8
962e1df4a7035141ee115e7d2543dc2db0f92fce,luaopen_xxx functions need LUA_EXTERNC,leonbottou,https://api.github.com/repos/pytorch/pytorch/git/commits/962e1df4a7035141ee115e7d2543dc2db0f92fce
6cf948cd0ff036f1d0ce3c43641731b823f8ad01,Add more tests for torch.sort(),d11,https://api.github.com/repos/pytorch/pytorch/git/commits/6cf948cd0ff036f1d0ce3c43641731b823f8ad01
1dc0c1812178455d8c3fcf88fbf2c942a3bf7c10,"Refactored TH to not use global state for random number generation.

* Style / naming needs work.
* Breaks other layers within torch",timharley,https://api.github.com/repos/pytorch/pytorch/git/commits/1dc0c1812178455d8c3fcf88fbf2c942a3bf7c10
