First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
db045dbbf60b53dbe013ef25554fd013baf88134,"Initial

git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@4 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",dhh,https://api.github.com/repos/rails/rails/git/commits/db045dbbf60b53dbe013ef25554fd013baf88134
45acc8c760baf8a677cb947aa5814f4d30b13b41,"test commit


git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@659 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",leonbreedt,https://api.github.com/repos/rails/rails/git/commits/45acc8c760baf8a677cb947aa5814f4d30b13b41
d547c3f5ecd0318d9d3ddb95778867d4c43273c2,"Update to Prototype 1.2.0

git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@1198 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",sstephenson,https://api.github.com/repos/rails/rails/git/commits/d547c3f5ecd0318d9d3ddb95778867d4c43273c2
359caef33ca71b37b3ea2feef0960beccfabf4de,"A very thorough refactoring, resulting in new mail property setters and support for attachments and multipart messages.


git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@1359 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",jamis,https://api.github.com/repos/rails/rails/git/commits/359caef33ca71b37b3ea2feef0960beccfabf4de
cd033c63c230e0eddfb336937421264802503143,"Preserve extendedWarranty case in PostgreSQL computers table.

git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@1401 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",jeremy,https://api.github.com/repos/rails/rails/git/commits/cd033c63c230e0eddfb336937421264802503143
e3af27c51b3a7bb9dcbb45bce07c029ba019eba3,"Improved testing of functional test setup.

Fixed functional test setup so that :controller and :action
are stored into path_parameters using string keys.

Added with_routing test helper which can be used to dynamically
replace the current set of routes inside a unit test.



git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@1763 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",seckar,https://api.github.com/repos/rails/rails/git/commits/e3af27c51b3a7bb9dcbb45bce07c029ba019eba3
2346f5716f7b08168b74b29e0279d51c51557b08,"Fix open/save dialog in IE not opening files send with send_file/send_data, #2279

git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@2325 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",madrobby,https://api.github.com/repos/rails/rails/git/commits/2346f5716f7b08168b74b29e0279d51c51557b08
656fb866f91a87677ce501d3c9ad6aba9048d00f,"Quote booleans according the rules defined by the adapter
* SQLite schema has been updated
* Postgresql schema needs to be fixed too
Simplify AR::Base#toggle to store the boolean, not the quoted value
* expand the tests


git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@2474 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",NZKoz,https://api.github.com/repos/rails/rails/git/commits/656fb866f91a87677ce501d3c9ad6aba9048d00f
9285f6c7ae3e4addf940b033713e6d0e09ae1540,"Made the instantiated/transactional fixtures settings be controlled through Rails::Initializer. Transactional and non-instantiated fixtures are default from now on.


git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@2588 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",csshsh,https://api.github.com/repos/rails/rails/git/commits/9285f6c7ae3e4addf940b033713e6d0e09ae1540
5a7722de98bcf4ad932cf2ec15faa47d1d431457,"added assert_queries for the AR test suite

git-svn-id: http://svn-commit.rubyonrails.org/rails/trunk@3784 5ecf4fe2-1ee6-0310-87b1-e25e094e27de",technoweenie,https://api.github.com/repos/rails/rails/git/commits/5a7722de98bcf4ad932cf2ec15faa47d1d431457
