First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,Initial public release,zpao,https://api.github.com/repos/facebook/react/git/commits/75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4
6fc478516b489ac5c41939777fa6f13e305dcb6e,Fix some URLs,petehunt,https://api.github.com/repos/facebook/react/git/commits/6fc478516b489ac5c41939777fa6f13e305dcb6e
5ec4542dfbaacacaa672dd31b153ef3fedc0ddd8,"Merge pull request #2 from paulshen/homebuttons

[docs] Fix button links on bottom of home",yungsters,https://api.github.com/repos/facebook/react/git/commits/5ec4542dfbaacacaa672dd31b153ef3fedc0ddd8
0487cc8dea6db416ddee296184e1b0b7b59a7c70,"Merge pull request #3 from paulshen/spellings

[docs] Fix couple minor typos/spelling",benjamn,https://api.github.com/repos/facebook/react/git/commits/0487cc8dea6db416ddee296184e1b0b7b59a7c70
a341f778ae277bf4636c75ceaadf83f203388b26,Fix links in root README.md,jeffreylin,https://api.github.com/repos/facebook/react/git/commits/a341f778ae277bf4636c75ceaadf83f203388b26
a8866ab824ae9697a5c67c6173d6cb889c50a1a3,Fix minor typo error,christianroman,https://api.github.com/repos/facebook/react/git/commits/a8866ab824ae9697a5c67c6173d6cb889c50a1a3
39c4414d5aec8476404432c58958f0424be3396e,Highlighting the correct line,seiffert,https://api.github.com/repos/facebook/react/git/commits/39c4414d5aec8476404432c58958f0424be3396e
292dd238e70400a16bebd000fc4364c42d3effe7,"Add new onInput event

'input' is supported in IE9+ and all other browsers according to
https://developer.mozilla.org/en-US/docs/Web/API/window.oninput

Test Plan:
Modified ballmer-peak example to use onInput instead of onKeyUp and
tested that it works properly on latest Chrome.",sophiebits,https://api.github.com/repos/facebook/react/git/commits/292dd238e70400a16bebd000fc4364c42d3effe7
415192c0017cdef4887678f4f94109c95147f344,Add attributes used in input[type=range],camspiers,https://api.github.com/repos/facebook/react/git/commits/415192c0017cdef4887678f4f94109c95147f344
779596838240086a32e8bc60d66e5161ce7add66,"Consistently use autoBind on homepage examples

Except for todo.js, all the other examples on the homepage use React.autoBind
when defining event handler methods.

Test Plan: Added todo items successfully",divad12,https://api.github.com/repos/facebook/react/git/commits/779596838240086a32e8bc60d66e5161ce7add66
1902eafa8de3e1e72865ed771982e5d75545290e,Initial version of the blog,vjeux,https://api.github.com/repos/facebook/react/git/commits/1902eafa8de3e1e72865ed771982e5d75545290e
8c37499af82e57f0487319abca2242cbad4024b8,"Adding instructions for chrome. (No server needed! Just execute a single command
  line to load in Chrome).",jordwalke,https://api.github.com/repos/facebook/react/git/commits/8c37499af82e57f0487319abca2242cbad4024b8
