First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
07ecc75e81cbc466d6bc98a12505ae58fec68d59,init,sindresorhus,https://api.github.com/repos/sindresorhus/refined-github/git/commits/07ecc75e81cbc466d6bc98a12505ae58fec68d59
fbd864ceee13c29db044a00a79d056e679102304,Add canned responses as related project,passy,https://api.github.com/repos/sindresorhus/refined-github/git/commits/fbd864ceee13c29db044a00a79d056e679102304
b03644b1627fce8c765e0f8fa17b388a29478961,Close #7 PR: Improve linkifying branches by using repo name from fork URL.,paulmolluzzo,https://api.github.com/repos/sindresorhus/refined-github/git/commits/b03644b1627fce8c765e0f8fa17b388a29478961
3346ccc4ab5343946743083ef9b9dfed06b7d5dd,"fix bug where switcher is messing with account menu

This closes https://github.com/sindresorhus/refined-github/issues/13",joshmanders,https://api.github.com/repos/sindresorhus/refined-github/git/commits/3346ccc4ab5343946743083ef9b9dfed06b7d5dd
4f82478b8cce46f852dd237b5b4d43014adda6bc,Close #12 PR: Add `Releases` tab to the repo page. Fixes #8,hkdobrev,https://api.github.com/repos/sindresorhus/refined-github/git/commits/4f82478b8cce46f852dd237b5b4d43014adda6bc
be43ef0b15b6933ccceccd196530b0f01534bbe4,Close #17 PR: Implement like / dislike count. Fixes #15,SpaceK33z,https://api.github.com/repos/sindresorhus/refined-github/git/commits/be43ef0b15b6933ccceccd196530b0f01534bbe4
db8a60624ca029cff3ed3ffdaacd5313c674e000,Moves the account switcher thumbnail next to the text,ionutvmi,https://api.github.com/repos/sindresorhus/refined-github/git/commits/db8a60624ca029cff3ed3ffdaacd5313c674e000
b84a59bde7071de579304f5626ea078faa49e1f6,Close #51 PR: Add minimize/maximize buttons and functionality to PRs. Fixes #50,tdlm,https://api.github.com/repos/sindresorhus/refined-github/git/commits/b84a59bde7071de579304f5626ea078faa49e1f6
42922e2ef30d4fd8a4232997831785cce64ec230,Close #88 PR: Add contributors-on-github as a related extension.,hzoo,https://api.github.com/repos/sindresorhus/refined-github/git/commits/42922e2ef30d4fd8a4232997831785cce64ec230
40cee76e96c3ed3c48fe879fa19f47fd7f2d830c,Close #107 PR: Hide add collaborator from activity feed. Fixes #106,bevacqua,https://api.github.com/repos/sindresorhus/refined-github/git/commits/40cee76e96c3ed3c48fe879fa19f47fd7f2d830c
89b7bacea71e7144dbcb862f294573a2bebdc242,Show current file name in floating header on commit diff pages,DrewML,https://api.github.com/repos/sindresorhus/refined-github/git/commits/89b7bacea71e7144dbcb862f294573a2bebdc242
965534dc49d4d4734dade2e991f66e5fa35cef73,"fix merge commit duplicated icon

fixes #114",blackjid,https://api.github.com/repos/sindresorhus/refined-github/git/commits/965534dc49d4d4734dade2e991f66e5fa35cef73
5e9446f37d1ad2e1ad01307e160ba5d7cbff4224,"Switch from maximize/minimize to collapse/expand

I believe the correct action would be collapse instead of minimize. I understand minimize as normally to add a window into a dock/taskbar.

What the feature does is actually collapse/expand or fold if you like so.",leocaseiro,https://api.github.com/repos/sindresorhus/refined-github/git/commits/5e9446f37d1ad2e1ad01307e160ba5d7cbff4224
42ee6c5fa688208c0922364b361fcd42fcb71a61,"Merge pull request #155 from kentcdodds/patch-1

allow default behavior in textareas",kentcdodds,https://api.github.com/repos/sindresorhus/refined-github/git/commits/42ee6c5fa688208c0922364b361fcd42fcb71a61
