First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
a879ec06ef9504db8df2a19aac0d07609fe36131,init,yyx990803,https://api.github.com/repos/vuejs/vue/git/commits/a879ec06ef9504db8df2a19aac0d07609fe36131
6e251e0721b4dbb4896999df78450d912dcba30d,"Change svg parameter to namespace (#3)

* change svg parameter into namespace

* fixed svg to namespace bug

* change svg detecting into namespace detecting in parser

* fixed eslint error",Jinjiang,https://api.github.com/repos/vuejs/vue/git/commits/6e251e0721b4dbb4896999df78450d912dcba30d
ed5149001033056248e9b5be85b64ee4d31516de,Update package.json,FadyMak,https://api.github.com/repos/vuejs/vue/git/commits/ed5149001033056248e9b5be85b64ee4d31516de
681dc603e46ee09b22e2f9432ab60b598d4f07fd,added v-once directive unit tests (#2740),blake-newman,https://api.github.com/repos/vuejs/vue/git/commits/681dc603e46ee09b22e2f9432ab60b598d4f07fd
da7f2731e2824e1c869760cc0263cae68224e367,fix x-template typo in select2 example (#2748),razh,https://api.github.com/repos/vuejs/vue/git/commits/da7f2731e2824e1c869760cc0263cae68224e367
6f06f1b724ad1dd394eb18b7ca71a711a2bbbcb8,"Expose the author URL in ""commits"" example (#2751)",phanan,https://api.github.com/repos/vuejs/vue/git/commits/6f06f1b724ad1dd394eb18b7ca71a711a2bbbcb8
9a6d80c1332530a30eca08fcb6cde285ff082447,comment spelling errors (#2800),nunnly,https://api.github.com/repos/vuejs/vue/git/commits/9a6d80c1332530a30eca08fcb6cde285ff082447
49d5f2f393d416fd9f6b5abc74472435b66306e8,Suppress a warning 'Unknown custom element' with SSR <img> tag,tejitak,https://api.github.com/repos/vuejs/vue/git/commits/49d5f2f393d416fd9f6b5abc74472435b66306e8
64de68b6f55d5f3e61fa79787c0d85c47d3f46f9,"add observer tests (#2855)

* test: add observer tests

NOTE: bring vue 1.x observer test

* update observer tests",kazupon,https://api.github.com/repos/vuejs/vue/git/commits/64de68b6f55d5f3e61fa79787c0d85c47d3f46f9
93bfc9baa7689c7ca2ed42c5190030f892d498b2,"Unit tests for v-bind:style (#2932)

* begin unit tests for v-bind:style

* add unit tests for v-bind:style directive",brendanbowidas,https://api.github.com/repos/vuejs/vue/git/commits/93bfc9baa7689c7ca2ed42c5190030f892d498b2
7d55af6b6ad5ec2220ff5a2ab0f13102480e055f,"Delimiters tests (#2948)

* delimiters spec

* delete Vue.options.delimiters",bartlomieju,https://api.github.com/repos/vuejs/vue/git/commits/7d55af6b6ad5ec2220ff5a2ab0f13102480e055f
c4c3ebdd963dca0ceb1c40d83af997d7bd2958ab,"Added the missing break (#3021)

Break in loop when condition is fulfilled.",dsonet,https://api.github.com/repos/vuejs/vue/git/commits/c4c3ebdd963dca0ceb1c40d83af997d7bd2958ab
170acc4f69b16283ff16d91b56339998dc973937,Fix typo in util/debug (#3032),posva,https://api.github.com/repos/vuejs/vue/git/commits/170acc4f69b16283ff16d91b56339998dc973937
fbe81fbc0ce89a62b05ec29dff34f55200ce065a,"Load external assets with https in select2 example (#3053)

Otherwise it doesn't work if the page is loaded with http.",franciscolourenco,https://api.github.com/repos/vuejs/vue/git/commits/fbe81fbc0ce89a62b05ec29dff34f55200ce065a
5d582df55633014c9fd08df3885121241b8a7dde,Fix options for inline-template instances (#3063),simplesmiler,https://api.github.com/repos/vuejs/vue/git/commits/5d582df55633014c9fd08df3885121241b8a7dde
94c7527d3cafc5154e8efb1c5f57d578eafe8a2d,"Nextrefactor: `.test` is faster than `.match` for regex bools (#3074)

* refactor: `.test` is faster than `.match` for regex bools

* chore: whoops.. wasnt suppose to commit these files

* fix: mixxup from the iOS version match",maraisr,https://api.github.com/repos/vuejs/vue/git/commits/94c7527d3cafc5154e8efb1c5f57d578eafe8a2d
27252928d37e2067173a232c15e8af3a3fc1e129,Add failing test.,zigomir,https://api.github.com/repos/vuejs/vue/git/commits/27252928d37e2067173a232c15e8af3a3fc1e129
ac7d2dd5f454e792c636ee5cc7d8ca09fef88322,"add ""body"" as reservedTag (#3248)

fix ""[Vue warn]: Unknown custom element: <body> - did you register the component correctly? ...""",tommyZZM,https://api.github.com/repos/vuejs/vue/git/commits/ac7d2dd5f454e792c636ee5cc7d8ca09fef88322
bbc07afd15b2d163515c9985a6951ff9cf6bfeb6,allow to initialize value attribute to 0 (#3334),ktsn,https://api.github.com/repos/vuejs/vue/git/commits/bbc07afd15b2d163515c9985a6951ff9cf6bfeb6
3e06c575cb547ff398b7effcc1bd277e5424af2d,"Allow 2 root nodes with v-if and v-else (#3329)

* allow 2 root nodes with v-if and v-else

* apply root constraints to 2nd root element with v-else",chrisvfritz,https://api.github.com/repos/vuejs/vue/git/commits/3e06c575cb547ff398b7effcc1bd277e5424af2d
ea77ac28f5a287772d001ede5cab4f411e3323c6,Allow rendering forbidden tags on the server (#3425),naumovs,https://api.github.com/repos/vuejs/vue/git/commits/ea77ac28f5a287772d001ede5cab4f411e3323c6
0f8ad06b2c580fd9e484b2d559a59fc06914f22a,"Fix Spelling (#3496)

* Fix Spelling

* Fix other instances.",BrandonSurowiec,https://api.github.com/repos/vuejs/vue/git/commits/0f8ad06b2c580fd9e484b2d559a59fc06914f22a
a3314c8610a199cc2882f69b22da918b222c6329,"Fixed ""delcare"" typo error (#3552)

* Fixed ""delcare"" typo error

* Revert ""Fixed ""delcare"" typo error""

This reverts commit 14c3563c48fe9fc68b413e468db221ea4430ade4.

* Typo fixed on src folder only",javisperez,https://api.github.com/repos/vuejs/vue/git/commits/a3314c8610a199cc2882f69b22da918b222c6329
2998bbfae9c618b49d48152a078e14ecf74607f8,createElement won't return Array<VNode> (#3574),imyzf,https://api.github.com/repos/vuejs/vue/git/commits/2998bbfae9c618b49d48152a078e14ecf74607f8
dfc64e8a110d63177869528e2f9cdc103cf514b4,"Add TypeScript definitions

Add TypeScript definition

Remove unnecessary definition

Update definitions

* separate files
* remove unnecessary `{[key: string]: any}`
* from singular to plural

Update definitions

* Add more definitions
* Rename filename and interface
* Sort definitions
* Fix indent

Fix

Add test

* add test
* fix some definitions
* fix typo

Fix ComputedOptions

Update Vue.set

Update definitions

Add npm script",kaorun343,https://api.github.com/repos/vuejs/vue/git/commits/dfc64e8a110d63177869528e2f9cdc103cf514b4
04eb32e4f06cbff7daab3024d93b8109c0a70786,fix typo (#3578),QingWei-Li,https://api.github.com/repos/vuejs/vue/git/commits/04eb32e4f06cbff7daab3024d93b8109c0a70786
4061c42748bcf374d2ad54c0a5f46bf258db06da,"adapt index.d.ts for end users (#3582)

* adapt index.d.ts for end users

* fix extend return type",HerringtonDarkholme,https://api.github.com/repos/vuejs/vue/git/commits/4061c42748bcf374d2ad54c0a5f46bf258db06da
b47d773c58de077e40edd54a3f5bde2bdfa5fd3d,support short prop declaration as prop: true (#3643),iagafonov,https://api.github.com/repos/vuejs/vue/git/commits/b47d773c58de077e40edd54a3f5bde2bdfa5fd3d
724a59348fa2036d5184ce65bef211d24440ee11,"Add undefined check for instance methods (#3656)

* add undefined check for instance methods

* added a warning for undefined methods

* add production ENV check",kingdaro,https://api.github.com/repos/vuejs/vue/git/commits/724a59348fa2036d5184ce65bef211d24440ee11
575e810670de125b311be4bad126648d79f78adf,"Optimization unit testing [vdom/patch/children] (#3733)

Optimization unit testing for vdom/patch/children.spec.js",bluemsn,https://api.github.com/repos/vuejs/vue/git/commits/575e810670de125b311be4bad126648d79f78adf
790c99cdb488883142d86122e006154882d3a30a,"fix IE/Edge select remembering selection (#3803)

* fix IE/Edge select remembering selection

* Use const over let",fergaldoyle,https://api.github.com/repos/vuejs/vue/git/commits/790c99cdb488883142d86122e006154882d3a30a
e29b711cb522b614fea3992697114f1b9e5dc690,fix reference to backers.md (#3808),Henni,https://api.github.com/repos/vuejs/vue/git/commits/e29b711cb522b614fea3992697114f1b9e5dc690
463c9c9e086f919e61fe7fa74f1a8f0695693de3,"Switch to https (#3864)

Replaced all http vuejs.org links with https instead.",vinkla,https://api.github.com/repos/vuejs/vue/git/commits/463c9c9e086f919e61fe7fa74f1a8f0695693de3
f59e903d0b695eb1427eef4516589a1b56c11116,"setTimeout fallback update  (#3868)

* - update setTimeout fallback
- reset cachedWrite.cacheBuffer with .length = 0 for better efficient

* update style

* revert cacheBuffer

* update to arrow function",defcc,https://api.github.com/repos/vuejs/vue/git/commits/f59e903d0b695eb1427eef4516589a1b56c11116
443ef1c26c299856709ff59aa2f9e7816fbd7908,"Update CONTRIBUTING.md's jdfiddle template, and vue's version inside ISSUE_TEMPLATE.md (#3921)

* Update CONTRIBUTING.md's jdfiddle template

* Update ISSUE_TEMPLATE.md",fnlctrl,https://api.github.com/repos/vuejs/vue/git/commits/443ef1c26c299856709ff59aa2f9e7816fbd7908
8ba420c35975583486308a55d31c1df7b195574a,"Fix using one delay to control all transitions. (#3932)

* Fix using one delay to control all transitions.

Vue transitions have wrong timing when having CSS like the following:

```
.[transition-name]-enter-active, .[transition-name]-leave-active {
  transition: opacity 0.8s ease, transform 0.7s ease;
  transition-delay: 0.4s;
}
```

Which in turn bubbles errors to the console.

* Fix linting.",guidobouman,https://api.github.com/repos/vuejs/vue/git/commits/8ba420c35975583486308a55d31c1df7b195574a
6d31ed255df3e6b6f97270396c04c0eef0d2802b,typo fix (#3963),javoski,https://api.github.com/repos/vuejs/vue/git/commits/6d31ed255df3e6b6f97270396c04c0eef0d2802b
1a8720d6ead500eed5d40457a3e7f59fe8972472,Fix typo in 'component' (#3978),AlexandreBonneau,https://api.github.com/repos/vuejs/vue/git/commits/1a8720d6ead500eed5d40457a3e7f59fe8972472
9c91190b40dd8e5ec61992e97d476af28e754de9,Fix typos. (#3956),bringtree,https://api.github.com/repos/vuejs/vue/git/commits/9c91190b40dd8e5ec61992e97d476af28e754de9
5f8ae401d468694d2476890eb5f0c021e9bf2720,minor typos (#4011),shreeve,https://api.github.com/repos/vuejs/vue/git/commits/5f8ae401d468694d2476890eb5f0c021e9bf2720
defd45ccbadb7e0e347b1999d48fe354998ba37a,Typo fix: optimizier -> optimizer (#4015),bmax,https://api.github.com/repos/vuejs/vue/git/commits/defd45ccbadb7e0e347b1999d48fe354998ba37a
