Issue Description,Assignees to the Issue,Link
Extend nn.Module() with Support for Federated Learning of non-parameter information,,https://github.com/OpenMined/PySyft/issues/3236
Enhance encryption API,,https://github.com/OpenMined/PySyft/issues/3212
adding german translated tutorial 1st notebook,,https://github.com/OpenMined/PySyft/pull/3178
Installation error: invalid command 'udacity',,https://github.com/OpenMined/PySyft/issues/3152
FLOptimizer,,https://github.com/OpenMined/PySyft/issues/3141
Remove ZSTD,,https://github.com/OpenMined/PySyft/issues/3134
Add latency simulation to Virtual workers,,https://github.com/OpenMined/PySyft/issues/3007
Handcrafted RNNs are not Tested At All,,https://github.com/OpenMined/PySyft/issues/2926
Consolidate Translated Notebooks into Single Notebook Series (Multi-Language),,https://github.com/OpenMined/PySyft/issues/2917
Cleanup FixedPrecisionTensor,,https://github.com/OpenMined/PySyft/issues/2897
Remove Numpy from LargePrecisionTensor,,https://github.com/OpenMined/PySyft/issues/2872
Send (or not) Autograd Tensor,,https://github.com/OpenMined/PySyft/issues/2797
Translate our tutorials to Korean,,https://github.com/OpenMined/PySyft/issues/2794
Multi-Language Notebook Support in Tutorials,,https://github.com/OpenMined/PySyft/issues/2783
Translate our tutorials to your native language!,,https://github.com/OpenMined/PySyft/issues/2782
Translate our tutorials to German,,https://github.com/OpenMined/PySyft/issues/2781
Translate our tutorials to Japanese,,https://github.com/OpenMined/PySyft/issues/2780
Translate our tutorials to Simplified Chinese / Chiniese,,https://github.com/OpenMined/PySyft/issues/2778
Translate our tutorials to Portuguese,,https://github.com/OpenMined/PySyft/issues/2777
Translate our tutorials to Portuguese,,https://github.com/OpenMined/PySyft/issues/2776
Translate our tutorials to Spanish,,https://github.com/OpenMined/PySyft/issues/2775
search over tagged AdditiveSharingTensor,,https://github.com/OpenMined/PySyft/issues/2768
Add Paillier CUDA Support,,https://github.com/OpenMined/PySyft/issues/2747
Single run_websocket_server.py file,,https://github.com/OpenMined/PySyft/issues/2744
"Benchmark FixedPrecision, LargePrecision and CRTPrecision",,https://github.com/OpenMined/PySyft/issues/2734
Copy Paste Notebook Tutorials into Unit Tests,,https://github.com/OpenMined/PySyft/issues/2731
Single effective send of plan to worker,,https://github.com/OpenMined/PySyft/issues/2710
Fix Beaver triple generation,,https://github.com/OpenMined/PySyft/issues/2708
Allow worker registration of objects within python context,,https://github.com/OpenMined/PySyft/issues/2689
"Protocol.plans should be a dictionary, not a list of tuples",,https://github.com/OpenMined/PySyft/issues/2683
Send & Get datasets,,https://github.com/OpenMined/PySyft/issues/2670
Wrong printout  in workers' verbose mode,,https://github.com/OpenMined/PySyft/issues/2665
handle_command_function doesn't use @overloaded.module for pure tensors,,https://github.com/OpenMined/PySyft/issues/2637
Invalid registration on tensor when calling .fix_prec().share(...),,https://github.com/OpenMined/PySyft/issues/2625
.squeeze(1) transforms autograd gradient to None,,https://github.com/OpenMined/PySyft/issues/2621
get_obj should raise a syft exception,,https://github.com/OpenMined/PySyft/issues/2608
Use _send_msg for websocket clients,,https://github.com/OpenMined/PySyft/issues/2586
Test send operation inside a plan,,https://github.com/OpenMined/PySyft/issues/2539
Removing the sklearn dependency,,https://github.com/OpenMined/PySyft/issues/2535
Better integration of Message class throughout codebase,,https://github.com/OpenMined/PySyft/issues/2531
Calling .size() on a PointerTensor always returns a size of 0,,https://github.com/OpenMined/PySyft/issues/2527
Optimize Message Detailing and Simplification,,https://github.com/OpenMined/PySyft/issues/2512
Add documentation to the existing code base,,https://github.com/OpenMined/PySyft/issues/2510
generate_triple in base.py,,https://github.com/OpenMined/PySyft/issues/2475
"Add ""force_delete()"" method to Object Pointers (including TensorPointer)",,https://github.com/OpenMined/PySyft/issues/2448
Move create_sandbox function,,https://github.com/OpenMined/PySyft/issues/2446
"Add ""disable_garbage_collection"" and ""enable_garbage_collection"" flags to native.py",,https://github.com/OpenMined/PySyft/issues/2444
"Serde is potentially simplifying information twice, creating a bad nested structure",,https://github.com/OpenMined/PySyft/issues/2424
"All strings should simplify without ""b"" and additional comma",,https://github.com/OpenMined/PySyft/issues/2423
Everything should simplify as a tuple in serde._simplify,,https://github.com/OpenMined/PySyft/issues/2422
Hack PySyft,,https://github.com/OpenMined/PySyft/issues/2421
"We double simplify the Plan.readable_plan object, making the plan quite large",,https://github.com/OpenMined/PySyft/issues/2412
Add div support of autograd Tensor,,https://github.com/OpenMined/PySyft/issues/2336
Add sy.__version__,,https://github.com/OpenMined/PySyft/issues/2334
Fixed precision on LongTensor,,https://github.com/OpenMined/PySyft/issues/2327
Few typing errors in tutorials,,https://github.com/OpenMined/PySyft/issues/2322
Cosmetic space to add for TensorsNotCollocatedException,,https://github.com/OpenMined/PySyft/issues/2319
3 Tests fail when local worker is verbose,,https://github.com/OpenMined/PySyft/issues/2279
Monitoring network usage,,https://github.com/OpenMined/PySyft/issues/2256
Faster torch.max for AdditiveSharedTensors,,https://github.com/OpenMined/PySyft/issues/2246
Support more basic operations for AdditiveSharedTensor,,https://github.com/OpenMined/PySyft/issues/2245
Raise Error When We Call .item() on a PointerTensor,,https://github.com/OpenMined/PySyft/issues/2227
Raise Error when trying to share additively float values,,https://github.com/OpenMined/PySyft/issues/2176
LargePrecisionTensor,,https://github.com/OpenMined/PySyft/issues/2145
Move simplifier and detailer from serde to specific objects,,https://github.com/OpenMined/PySyft/issues/2110
Plaintext-speed SMPC Linear Regression,,https://github.com/OpenMined/PySyft/issues/2069
int(10e10 * random.random()) all over syft,,https://github.com/OpenMined/PySyft/issues/2063
Add Jupyter Notebooks to Unit Tests (Travis),,https://github.com/OpenMined/PySyft/issues/2061
Create a hook module,,https://github.com/OpenMined/PySyft/issues/2016
Add status for Plan,,https://github.com/OpenMined/PySyft/issues/2003
Increase test coverage to 100%,,https://github.com/OpenMined/PySyft/issues/1989
Automatically add workers to known workers,,https://github.com/OpenMined/PySyft/issues/1958
Can't have a worker with a id integer,,https://github.com/OpenMined/PySyft/issues/1939
Replace conda with venv in travis,,https://github.com/OpenMined/PySyft/issues/1924
Add serde for all torch types,,https://github.com/OpenMined/PySyft/issues/1920
rename functions in hook_args.py to better say what they do,,https://github.com/OpenMined/PySyft/issues/1903
Moving a module to cuda throws errors,,https://github.com/OpenMined/PySyft/issues/1893
Function hooking bug in nn.functional (F.max_pool2d),,https://github.com/OpenMined/PySyft/issues/1878
Add CIFAR10 to the sandbox,,https://github.com/OpenMined/PySyft/issues/1872
Add MNIST to the sandbox,,https://github.com/OpenMined/PySyft/issues/1871
