Issue Description,Assignees to the Issue,Link
[Bug] Changing Text of TableSection changes focus.,,https://github.com/xamarin/Xamarin.Forms/issues/9618
[Bug] MacOS switching between details pages in MasterDetailPage causes Mac window to move up and down,,https://github.com/xamarin/Xamarin.Forms/issues/9544
PopModalAsync hides navigation bar on macOS,,https://github.com/xamarin/Xamarin.Forms/issues/9536
[Bug] Trigger not correctly resetting to default value when none of the style trigger conditions are met,,https://github.com/xamarin/Xamarin.Forms/issues/9495
Some font icons do not position properly in FormattedString with text,,https://github.com/xamarin/Xamarin.Forms/issues/9491
[Bug] Setting Frame ControlTemplate causes the whole page to be blank,,https://github.com/xamarin/Xamarin.Forms/issues/9480
[Bug] RelativeLayout Constraint can not go back to zero,,https://github.com/xamarin/Xamarin.Forms/issues/9451
[Enhanement] Enable RefreshView on UWP to work with the mouse,,https://github.com/xamarin/Xamarin.Forms/issues/9446
[Bug] Flyout remains open on FlyoutItem double click ,,https://github.com/xamarin/Xamarin.Forms/issues/9440
[Bug] UWP WebView custom Font not working,,https://github.com/xamarin/Xamarin.Forms/issues/9438
[Bug] Scroll breaks for ScrollView (or works on some tiny part of it) in nested grid after ScrollView translation by Y,,https://github.com/xamarin/Xamarin.Forms/issues/9263
A11y: Image in a11y tree stops voiceover from hopping to the next element,,https://github.com/xamarin/Xamarin.Forms/issues/9137
[Housekeeping] Typo in StackLayout,,https://github.com/xamarin/Xamarin.Forms/issues/8935
"[Bug] UWP ListView, ItemTemplate with a Label.IsVisible bound to ""."", property converter receives the wrong model",,https://github.com/xamarin/Xamarin.Forms/issues/8827
[Bug] ContextAction Button on ListView Cell on iOS passes Tap to Cell when CanExecute is false,,https://github.com/xamarin/Xamarin.Forms/issues/8763
[Bug] Setting style on TextCell does not take effect,,https://github.com/xamarin/Xamarin.Forms/issues/8755
[Bug] [iOS] Entry Text Selection Thumbs shown if MasterDetailPage Master Pane is slided ove,,https://github.com/xamarin/Xamarin.Forms/issues/8752
"When an Item inside a ListView is deleted, the item below is shown with moved in the first cell with Translation property of the removed item",,https://github.com/xamarin/Xamarin.Forms/issues/8744
BindableLayout loses sync with source if RaiseChild is used [Bug] ,,https://github.com/xamarin/Xamarin.Forms/issues/8724
[Bug] Crash in ListView When Source is ObservableCollection<T> and Empty with IsGroppingEnabled=True and HasUnevenRows=True,,https://github.com/xamarin/Xamarin.Forms/issues/8694
[Bug] ListView Group Header Height Doesn't Autosize to Content,,https://github.com/xamarin/Xamarin.Forms/issues/8662
[Bug] Shell Flyout Items on UWP aren't showing the Title,,https://github.com/xamarin/Xamarin.Forms/issues/8207
[Bug] Adding children to iOS VisualElementPackager has O(N^2) performance and thrashes the native layer,,https://github.com/xamarin/Xamarin.Forms/issues/8129
[XAMARIN-FORMS-WPF] View doesn't render when set IsClippedToBounds to true,,https://github.com/xamarin/Xamarin.Forms/issues/8087
[XAMARIN-FORMS-WPF] Label's VerticalOptions and VerticalTextAlignment doesn't work when loaded inside Layout<View>,,https://github.com/xamarin/Xamarin.Forms/issues/8064
[Bug] Listview takes a lot to fill on Gtk,,https://github.com/xamarin/Xamarin.Forms/issues/8055
[Bug] Listview on wpf takes takes a lot to clear when changing itemsource,,https://github.com/xamarin/Xamarin.Forms/issues/8053
[Bug] Images not shown correctly while using GTK#,,https://github.com/xamarin/Xamarin.Forms/issues/8042
[Bug] WPF ListView ArgumentOutOfRangeException when tapped,,https://github.com/xamarin/Xamarin.Forms/issues/8039
[Bug] [WPF]ImageButton with source from resource throw System.InvalidOperationException,,https://github.com/xamarin/Xamarin.Forms/issues/8038
[Bug] [macOS] Navigation.PopModalAsync() makes toolbar disappear and a subsequent call to PushModalAsync() results in app freeze,,https://github.com/xamarin/Xamarin.Forms/issues/7859
[Bug] macOS button padding not implemented,,https://github.com/xamarin/Xamarin.Forms/issues/7851
[Enhancement] Allow providing custom ShellSectionRootRenderer,,https://github.com/xamarin/Xamarin.Forms/issues/7808
[Bug] Device.Idiom reports TargetIdiom.Phone for Amazon Fire TV Stick 4K,,https://github.com/xamarin/Xamarin.Forms/issues/7772
[Bug] UWP Shell Support Not Rendering and Mis-Rendering some Button Controls,,https://github.com/xamarin/Xamarin.Forms/issues/7735
[Enhancement] FontImageSource Size property should support named font sizes,,https://github.com/xamarin/Xamarin.Forms/issues/7664
Transition Animation is not smooth in Xamarin Forms WPF platform[Bug] ,,https://github.com/xamarin/Xamarin.Forms/issues/7633
[Bug] When a view appears it is not accessible via VoiceOver,,https://github.com/xamarin/Xamarin.Forms/issues/7606
[Bug] Shell: Setting Shell.BackgroundColor overrides all colors of TabBar,,https://github.com/xamarin/Xamarin.Forms/issues/7396
[Enhancement] Increase XA Versions running UI Tests,,https://github.com/xamarin/Xamarin.Forms/issues/7390
[Bug] FontImageSource don't work on wpf,,https://github.com/xamarin/Xamarin.Forms/issues/7320
[Bug] Xamarin RotateTo is not rotating from center ( images or views ) on UWP,,https://github.com/xamarin/Xamarin.Forms/issues/7280
[Bug] Master Details Icon not going to the right when you set MDP to RTL,,https://github.com/xamarin/Xamarin.Forms/issues/7272
[Bug] Scale/Translate works in different order between UWP and Android,,https://github.com/xamarin/Xamarin.Forms/issues/7257
[Android] Create Android Q binaries and run all UI Tests against Android Q project,,https://github.com/xamarin/Xamarin.Forms/issues/7169
[Bug] Setting Android's SoftInputMode to Resize breaks entry focusing on ListView's Header,,https://github.com/xamarin/Xamarin.Forms/issues/7168
Shell Bottom Navigation Bar Rendering Issue,,https://github.com/xamarin/Xamarin.Forms/issues/7160
[Enhancement] Add platform specific property to set the iOS UITabBar Translucent property to false,,https://github.com/xamarin/Xamarin.Forms/issues/7135
[Bug] Navigating to CarouselPage in Flyout shows Black Page on iOS,,https://github.com/xamarin/Xamarin.Forms/issues/7090
Image's NoImage,,https://github.com/xamarin/Xamarin.Forms/issues/7015
[Bug] Device.StartTimer() won't fire on WPF if it is executed on Non UI thread,,https://github.com/xamarin/Xamarin.Forms/issues/6957
[Bug][iOS] CheckBox accessibility: no tab selection,,https://github.com/xamarin/Xamarin.Forms/issues/6954
Add property IsReadOnly to Switch control,,https://github.com/xamarin/Xamarin.Forms/issues/6953
Receiver not registered PowerSaveModeBroadcastReceiver,,https://github.com/xamarin/Xamarin.Forms/issues/6903
[Bug] [WPF] ViewCell in scrollable list view does not update width when restoring from maximized window,,https://github.com/xamarin/Xamarin.Forms/issues/6842
[Bug] [Shell] [iOS] ShellItem.CurrentItem not set when selecting shell section aggregated in more tab,,https://github.com/xamarin/Xamarin.Forms/issues/6784
[Bug] Memory leak in grouping enabled ListView,,https://github.com/xamarin/Xamarin.Forms/issues/6742
[Bug] [iOS] unset font properties on a Span are not inherited if any font property is set,,https://github.com/xamarin/Xamarin.Forms/issues/6734
"[Bug, Core] incorrect reset CornerRadius of Button",,https://github.com/xamarin/Xamarin.Forms/issues/6731
[Bug] [WPF] Images size and position,,https://github.com/xamarin/Xamarin.Forms/issues/6723
[Bug] FontImageSource on ImageButton prevents click gesture,,https://github.com/xamarin/Xamarin.Forms/issues/6716
[Bug] Application crash when image binded to non existent image file,,https://github.com/xamarin/Xamarin.Forms/issues/6703
[Bug] [iOS] Listview Scrolling does not work when implementing PullAndSwipe gesture,,https://github.com/xamarin/Xamarin.Forms/issues/6691
[Bug] NavigationStack's first page is null and page can not be extracted form shell,,https://github.com/xamarin/Xamarin.Forms/issues/6681
[Bug]  WebView UWP not displaying (BugZilla: 57451),,https://github.com/xamarin/Xamarin.Forms/issues/6679
[Bug] Invalid value appears in year picker portion of DatePicker when hovered over with Inspect,,https://github.com/xamarin/Xamarin.Forms/issues/6655
[UWP] Image Loading issues with URI images,,https://github.com/xamarin/Xamarin.Forms/issues/6653
[Bug] Editor placeholder using Visual Material renders incorrectly,,https://github.com/xamarin/Xamarin.Forms/issues/6647
[Bug] iOS - ListView cell height,,https://github.com/xamarin/Xamarin.Forms/issues/6638
[Bug] Icon not correctly centered with text when using FontImageSource,,https://github.com/xamarin/Xamarin.Forms/issues/6632
"[XForms] If parent and child element have gestures , Then child element gesture only fired. Parent element gesture not fired",,https://github.com/xamarin/Xamarin.Forms/issues/6625
[Bug] [Android] DeepLinking registration is crashing every time in Android with Custom ROMs,,https://github.com/xamarin/Xamarin.Forms/issues/6622
Set enabled after delay not working on Android,,https://github.com/xamarin/Xamarin.Forms/issues/6612
[Bug][Android] Entry's instance count get increases in each and every scroll while adding it in Table View,,https://github.com/xamarin/Xamarin.Forms/issues/6608
[Bug] Shell - Navigation.PushAsync - Navigation Bar ignored on iOS,,https://github.com/xamarin/Xamarin.Forms/issues/6604
Xamarin.Forms. Build error,,https://github.com/xamarin/Xamarin.Forms/issues/6598
UI Test Issue2577 could be automated,,https://github.com/xamarin/Xamarin.Forms/issues/6597
"[Android, CollectionView] After changing the ItemSizingStrategy to MeasureFirstItem, the images inside have a wrong vertical offset.",,https://github.com/xamarin/Xamarin.Forms/issues/6594
Android Crash - ObjectDisposedException Rendering Shadow with FramerRenderer,,https://github.com/xamarin/Xamarin.Forms/issues/6587
"[Bug, iOS] Shell current tab action not update ""Shell.CurrentState.Location""",,https://github.com/xamarin/Xamarin.Forms/issues/6581
[Bug] Material Entry TextColor does not update correctly,,https://github.com/xamarin/Xamarin.Forms/issues/6571
StyleSheet is not working in TableView,,https://github.com/xamarin/Xamarin.Forms/issues/6563
[Bug] XAML compilation faills with compiled bindings on UWP,,https://github.com/xamarin/Xamarin.Forms/issues/6547
FlowDirection doesn't work with SearchBar,,https://github.com/xamarin/Xamarin.Forms/issues/6538
UWP IconImageSource from netstandard 2.0,,https://github.com/xamarin/Xamarin.Forms/issues/6534
[Bug] Slider ThumbImageSource: Binding not working for Glyph,,https://github.com/xamarin/Xamarin.Forms/issues/6532
[Bug] TitleView behavior inconsistent between Android and iOS,,https://github.com/xamarin/Xamarin.Forms/issues/6522
[Bug] TapGestureRecognizer on iOS with Material Visual,,https://github.com/xamarin/Xamarin.Forms/issues/6521
[Bug] Greylisted API's ,,https://github.com/xamarin/Xamarin.Forms/issues/6509
[Bug] Update results in SearchHandler crashes on real iOS device,,https://github.com/xamarin/Xamarin.Forms/issues/6505
[Bug] SearchHandler.ItemsSource does not listen to INotifyCollectionChanged.CollectionChanged event,,https://github.com/xamarin/Xamarin.Forms/issues/6500
"[Material,Frame] Clipping kills the shadow",,https://github.com/xamarin/Xamarin.Forms/issues/6494
[Bug] Mouse-over effect does not deactivate after tap in WPF,,https://github.com/xamarin/Xamarin.Forms/issues/6490
[Bug] Shell TabBarIsVisible Ignored,,https://github.com/xamarin/Xamarin.Forms/issues/6485
[Bug] NRE triggered by iOS NavigationRenderer,,https://github.com/xamarin/Xamarin.Forms/issues/6480
[Bug] NRE in iOS NavigationRenderer.CreateViewControllerForPage(),,https://github.com/xamarin/Xamarin.Forms/issues/6479
[Bug]  Control with DataTemplate can only be added to a page once,,https://github.com/xamarin/Xamarin.Forms/issues/6476
[Bug] [WPF] Grid + ListView -> first row height not correct,,https://github.com/xamarin/Xamarin.Forms/issues/6436
[Bug] Xamarin.Forms UWP Entry CursorPosition and SelectionLength on Focused,,https://github.com/xamarin/Xamarin.Forms/issues/6414
[Bug] Shell Flyout FlyoutItem Title Text Vanishes On Scroll [Android],,https://github.com/xamarin/Xamarin.Forms/issues/6410
[Bug] [iOS] Button inside a ScrollView does not work when keyboard is up.,,https://github.com/xamarin/Xamarin.Forms/issues/6409
[Bug] [WPF] BoxView not correctly restored,,https://github.com/xamarin/Xamarin.Forms/issues/6408
[Bug] Xamari.Forms.Maps Custom Pins are null if they are data bound,,https://github.com/xamarin/Xamarin.Forms/issues/6393
[Bug] Device.StartTimer documentation - contradiction,,https://github.com/xamarin/Xamarin.Forms/issues/6378
[Bug] Material Activity Indicator has unusual large size on iOS,,https://github.com/xamarin/Xamarin.Forms/issues/6374
[Bug] [iOS] Shell Displays TabBar when only one ShellContent Present,,https://github.com/xamarin/Xamarin.Forms/issues/6373
[Bug] Listview - Label  rendering Bindings Layout options,,https://github.com/xamarin/Xamarin.Forms/issues/6370
[Bug] [Forms][iOS] Vector in ToolbarItem too big,,https://github.com/xamarin/Xamarin.Forms/issues/6366
"[Bug] Disabled entry field shows dotted border on iOS with Visual=""Material"" applied",,https://github.com/xamarin/Xamarin.Forms/issues/6365
[Bug] Xamarin.Forms 3.6 and Xamarin.Forms.Visual.Material 3.6 failed with exception when resources are defined in Android class library,,https://github.com/xamarin/Xamarin.Forms/issues/6343
[Bug] Flyout Header is taking too much space than its content on iOS,,https://github.com/xamarin/Xamarin.Forms/issues/6295
[Bug] [UWP][Android] Grid.WidthRequest=0 ignored when changed during runtime,,https://github.com/xamarin/Xamarin.Forms/issues/6287
[Bug] ContentPage.ControlTemplate not working in Xamarin WPF ,,https://github.com/xamarin/Xamarin.Forms/issues/6264
[Bug] [Android] TabbedPage overrides Entry values when more than 4 Pages are added,,https://github.com/xamarin/Xamarin.Forms/issues/6259
[Bug] Tap event not firing inside scrollview,,https://github.com/xamarin/Xamarin.Forms/issues/6257
[UWP] Active child elements gets focused after disabling its root parent element,,https://github.com/xamarin/Xamarin.Forms/issues/6254
[Bug] When putting multiple ShellContent in Tab in FlyoutItem in Shell isn't shown correctly on iOS,,https://github.com/xamarin/Xamarin.Forms/issues/6253
[Bug] NullReference Exception: Grid.MeasureGrid (Android),,https://github.com/xamarin/Xamarin.Forms/issues/6247
