Issue Description,Assignees to the Issue,Link
SecretValue.secretsManager should validate input doesn't contain `:`,,https://github.com/aws/aws-cdk/issues/6272
"Route53 A/AAAA Alias Record to ELB does not use ""dualstack"" prefix",,https://github.com/aws/aws-cdk/issues/6271
elbv2: ALB listener rule supports path-routing condition with multiple values(up to 5 currently),,https://github.com/aws/aws-cdk/issues/6251
apigateway - support basepathmapping,,https://github.com/aws/aws-cdk/issues/6248
RequestValidator shouldn't require (or even expect) a restApi property.,,https://github.com/aws/aws-cdk/issues/6193
API Gateway ModelOptions interface should require contentType,,https://github.com/aws/aws-cdk/issues/6161
AWS::CloudFormation::Interface,,https://github.com/aws/aws-cdk/issues/5944
Provide more grant APIs for the StateMachine construct,,https://github.com/aws/aws-cdk/issues/5933
NLB: Can't make a private NLB,,https://github.com/aws/aws-cdk/issues/5928
Attach an existing Role to a Rule,,https://github.com/aws/aws-cdk/issues/5865
[IAM] Ability to add conditions to AccountPrincipal,,https://github.com/aws/aws-cdk/issues/5855
Control over VPC AZs,,https://github.com/aws/aws-cdk/issues/5847
IAM User.fromUserName does not implement IUser functions,,https://github.com/aws/aws-cdk/issues/5797
route53.CaaAmazonRecord ignores recordName prop,,https://github.com/aws/aws-cdk/issues/5764
[Glue] Empty string is not considered a proper value,,https://github.com/aws/aws-cdk/issues/5763
Enable logging for express stepfunctions,,https://github.com/aws/aws-cdk/issues/5754
Lambda event sources can't be added as disabled when using add_event_source method,,https://github.com/aws/aws-cdk/issues/5750
Lambda cannot subscribe to SNS Topic in different region,,https://github.com/aws/aws-cdk/issues/5734
Auto assume credentialsRole for aws integration when credentialsRole is true,,https://github.com/aws/aws-cdk/issues/5725
NLB: UDP support,,https://github.com/aws/aws-cdk/issues/5571
Typo in aws-sns-notifications README example code,,https://github.com/aws/aws-cdk/issues/5512
Tokenized URL Parser,,https://github.com/aws/aws-cdk/issues/5433
Lambda: unable to access event source mapping ID,,https://github.com/aws/aws-cdk/issues/5430
CloudFront distribution starts logging even when it's disabled,,https://github.com/aws/aws-cdk/issues/5371
cdk-dasm does not support CFN parameters,,https://github.com/aws/aws-cdk/issues/5323
'parameters' not coming through in Step Functions TaskProps,,https://github.com/aws/aws-cdk/issues/5267
Lambda handlers with differing code exclusions end up with same asset,,https://github.com/aws/aws-cdk/issues/5238
Lambda Event Source - failure handling for kinesis and dynamodb event sources,,https://github.com/aws/aws-cdk/issues/5236
Metrics for RDS Cluster,,https://github.com/aws/aws-cdk/issues/5212
Unable to recover from UPDATE_ROLLBACK_COMPLETE,,https://github.com/aws/aws-cdk/issues/5151
lambda.Function allow undefined as values for environment,,https://github.com/aws/aws-cdk/issues/5124
Cannot reference EcrImage by digest instead of tag,,https://github.com/aws/aws-cdk/issues/5082
docs: document how to get around cyclic deps created by connections calls,,https://github.com/aws/aws-cdk/issues/5047
metricHealthyHostCount() & metricUnHealthyHostCount() doesn't use required targetGroup dimension,,https://github.com/aws/aws-cdk/issues/5046
Peer.anyIpv6() should be ::/0 and not ::0/0,,https://github.com/aws/aws-cdk/issues/5043
aws-ecr: support create ECR repository with scanOnPush enabled,,https://github.com/aws/aws-cdk/issues/4979
"aws_s3.CfnBucket ""logging_configuration"" is always empty in CF",,https://github.com/aws/aws-cdk/issues/4900
Allow zero natGateways in VPC construct without requiring a subnetConfiguration,,https://github.com/aws/aws-cdk/issues/4814
CDK fails when the STS token is expired during deploy operation,,https://github.com/aws/aws-cdk/issues/4804
route53: HostedZone should have a `hostedZoneArn` property,,https://github.com/aws/aws-cdk/issues/4744
allow different image for aws_cdk.aws_ec2.BastionHostLinux,,https://github.com/aws/aws-cdk/issues/4730
Add support for MessageAttributes in PublishToTopic step functions task,,https://github.com/aws/aws-cdk/issues/4702
this.node.addError does not cause `cdk diff` to fail,,https://github.com/aws/aws-cdk/issues/4700
BucketDeployment: unable to set cacheControl,,https://github.com/aws/aws-cdk/issues/4665
Lambda as target in ALB fails to create due to Principal permission issue,,https://github.com/aws/aws-cdk/issues/4663
Clean up grantRead(asg/instance.role),,https://github.com/aws/aws-cdk/issues/4660
elbv2: ApplicationTargetGroup should validate that port is specified (when required),,https://github.com/aws/aws-cdk/issues/4628
self managed ManagedPolicy.managed_policy_name returns an ARN,,https://github.com/aws/aws-cdk/issues/4581
autoscaling.AutoscalingGroup does not implement IGrantable,,https://github.com/aws/aws-cdk/issues/4554
Feature: Add ability to set stack description,,https://github.com/aws/aws-cdk/issues/4457
ApplicationListener variable `Open` default value to False,,https://github.com/aws/aws-cdk/issues/4385
Support for TCP_UDP as a supported protocol,,https://github.com/aws/aws-cdk/issues/4341
elbv2: NetworkLoadBalancer can't be fully configured,,https://github.com/aws/aws-cdk/issues/4319
[apigateway] Allow importing existing VpcLink resources,,https://github.com/aws/aws-cdk/issues/4178
