Issue Description,Assignees to the Issue,Link
knife  suggest to use -VVV option to collect the ouput which is not giving full Trackback of the command output.,,https://github.com/chef/chef/issues/8433
apt_repository resource generates bad source list files,,https://github.com/chef/chef/issues/6524
Support multiple keys for apt_repository to match yum_repository,,https://github.com/chef/chef/issues/6369
chef chokes on git version string on apple.,,https://github.com/chef/chef/issues/6350
[Enhancement] Add sensitive to registry_key ,,https://github.com/chef/chef/issues/5695
Mount resource: Action :umount for mount resource is an obtuse anachronism,,https://github.com/chef/chef/issues/5595
default_unless reads merged values,,https://github.com/chef/chef/issues/5556
Remove Chef::Config[:resource_cloning],,https://github.com/chef/chef/issues/5555
Knife should give a useful error when the chef_server_url isn't a chef server API.,,https://github.com/chef/chef/issues/5552
Upstart provider only supports the start and stop states,,https://github.com/chef/chef/issues/5513
Remove create_if_missing from declare_resource API,,https://github.com/chef/chef/issues/5372
Remove `supports { manage_home: true }` from user providers,,https://github.com/chef/chef/issues/5371
Mark all LWRPs and Custom Resources why-run safe by default,,https://github.com/chef/chef/issues/5341
yum_repository action :delete doesn't seem to work,,https://github.com/chef/chef/issues/5282
Parsing -version resulted in exception:  Cannot bundle unregistered option '-e',,https://github.com/chef/chef/issues/5256
Knife search ID only option should filter result set,,https://github.com/chef/chef/issues/5192
Unable to use :raw_key with Chef::ServerAPI,,https://github.com/chef/chef/issues/5175
Remove iconv from the ruby build,,https://github.com/chef/chef/issues/5140
Wrong mount defaults on FreeBSD (/etc/fstab: Inappropriate file or format),,https://github.com/chef/chef/issues/4959
gem_package upgrade is always upgrading if there is any old version installed.,,https://github.com/chef/chef/issues/4954
Upstart service provider should provide a way to restart with a stop + start,,https://github.com/chef/chef/issues/4877
knife environment from file ignores --config option,,https://github.com/chef/chef/issues/4876
zypper upgrade is broken,,https://github.com/chef/chef/issues/4863
Mount provider should support sensitive property,,https://github.com/chef/chef/issues/4850
cookbook show definitions throws exception.,,https://github.com/chef/chef/issues/4821
Exit on run lock,,https://github.com/chef/chef/issues/4754
"Fix API for Service Resource ""priority"" property",,https://github.com/chef/chef/issues/4394
Parameterize bootstrap client.rb log_location,,https://github.com/chef/chef/issues/4346
MvUnix not actually atomic,,https://github.com/chef/chef/issues/4313
Suppress databag warning about unencrypted databag,,https://github.com/chef/chef/issues/4154
Subversion - shell unfriendly parameters,,https://github.com/chef/chef/issues/4132
Ensure that tags are properly initialized,,https://github.com/chef/chef/pull/4064
OpenIndiana/OpenSolaris: user resource is sad on password change,,https://github.com/chef/chef/issues/4020
knife bootstrap against OSX 10.10.5 node giving error at first chef-client run (post chef omnibus install),,https://github.com/chef/chef/issues/4019
Chef::Provider::Script need to include ksh an lwrp similar to bash or csh,,https://github.com/chef/chef/issues/3923
Mounting cifs shares with spaces in the device path is broken,,https://github.com/chef/chef/issues/3884
Fix for package upgrading,,https://github.com/chef/chef/pull/3812
Error when using lazy attribute with link resource,,https://github.com/chef/chef/issues/3703
Chef::DataBagItem.save does not properly validate names with periods,,https://github.com/chef/chef/issues/3697
Decommissioning 12-stable,,https://github.com/chef/chef/issues/3640
Issue with knife tag create ,,https://github.com/chef/chef/issues/3534
Add a 'null' or 'notifies' NOP resource to hang chained notifies off of,,https://github.com/chef/chef/issues/3426
chef_gem compile_time should default to false,,https://github.com/chef/chef/issues/3377
Need Config/CLI options to move interval+splay sleep to end of client loop,,https://github.com/chef/chef/issues/3305
A simple change to add periods at the end of sentences.,,https://github.com/chef/chef/pull/3185
knife search exhibits surprising exit code behavior,,https://github.com/chef/chef/issues/2981
Why output `new_run_list.inspect` in chef-client logs?,,https://github.com/chef/chef/issues/2863
Git resource's user attribute does not properly support whyrun mode,,https://github.com/chef/chef/issues/2860
powershell_script user attribute: no method for uid,,https://github.com/chef/chef/issues/2850
for Solaris packages 'candidate_version' doesn't have the same kind of protection as 'load_current_resource',,https://github.com/chef/chef/issues/2840
Upstart Service Provider doesn't handle certain status output,,https://github.com/chef/chef/issues/2819
Feature request: Show remote_file progress,,https://github.com/chef/chef/issues/2812
Chef client does not accept relative dir,,https://github.com/chef/chef/issues/2809
knife bootstrap windows winrm - wrong chef server url,,https://github.com/chef/chef/issues/2796
usermod: -o flag is only allowed with the -u flag,,https://github.com/chef/chef/issues/2789
add check for redirected/relocated git directory,,https://github.com/chef/chef/pull/2775
Update audit DSL method names,,https://github.com/chef/chef/issues/2755
Chef::Util::PathHelper.validate_path fails on network paths,,https://github.com/chef/chef/issues/2705
Resource guard mistake,,https://github.com/chef/chef/issues/2683
The `create_url` in lib/chef/http.rb needs to handle URI (the scheme part) in a case-insensitive matter,,https://github.com/chef/chef/issues/2500
Remove 1.8 and 1.9 specific code,,https://github.com/chef/chef/issues/2497
dpkg_package with + in filename causes reinstall when not necessary,,https://github.com/chef/chef/issues/2417
Delete SecureRandom monkey patch,,https://github.com/chef/chef/issues/2384
typo fixes - https://github.com/vlajos/misspell_fixer,,https://github.com/chef/chef/pull/2382
