Issue Description,Assignees to the Issue,Link
Document exceptions that should not be caught as part of normal flow control (i.e. most of them),,https://github.com/dotnet/efcore/issues/20086
Missing function DataLength ,,https://github.com/dotnet/efcore/issues/19988
RevEng: Let IDatabaseModelFactory override the scaffolded connection string,,https://github.com/dotnet/efcore/issues/19799
Scaffolder removal of HasDefaultValueSql does not cope with DEFAULT(0),,https://github.com/dotnet/efcore/issues/19720
SQLite: Enable Decimal,,https://github.com/dotnet/efcore/issues/19635
Cosmos: Support IWebProxy configuration,,https://github.com/dotnet/efcore/issues/19492
Query: Timespan.TotalMinutes is not translated to server,,https://github.com/dotnet/efcore/issues/19360
Query: Translate byte array.IndexOf,,https://github.com/dotnet/efcore/issues/19287
Query: SqlServer: Functions to create datetime variations from components,,https://github.com/dotnet/efcore/issues/19237
Query: SqlServer: Convert new DateTime to DATETIMEFROMPARTS,,https://github.com/dotnet/efcore/issues/19236
SQL Server Index Fill Factor,,https://github.com/dotnet/efcore/issues/19147
Orderings when Offset is used,,https://github.com/dotnet/efcore/issues/19031
commandTimeout for some query only,,https://github.com/dotnet/efcore/issues/18895
SQLite: Translate Regex.IsMatch(),,https://github.com/dotnet/efcore/issues/18845
SQLite: UseSpatiaLite can translate more Math members,,https://github.com/dotnet/efcore/issues/18843
Query: optimize arithmetic operation on constants,,https://github.com/dotnet/efcore/issues/18819
Update CommandTimeout API docs to reference DbCommand.CommandTimeout,,https://github.com/dotnet/efcore/issues/18748
ExpressionEqualityComparer cleanup,,https://github.com/dotnet/efcore/issues/18685
Add built-in value converters for IPAddress or PhysicalAddress,,https://github.com/dotnet/efcore/issues/18662
Having a keyless detail scaffolds wrong code,,https://github.com/dotnet/efcore/issues/18633
Search for opportunities to use Dictionary.Remove while enumerating without defensive copy,,https://github.com/dotnet/efcore/issues/18598
"more exception info for ""Include has been used on non entity queryable""",,https://github.com/dotnet/efcore/issues/18471
Provider-agnostic timeouts,,https://github.com/dotnet/efcore/issues/18456
Compute Hash for MemberMemberBinding in ExpressionEqualityComparer,,https://github.com/dotnet/efcore/issues/17959
Scaffold-DbContext with -ContextDir flag doesn't add namespace for models,,https://github.com/dotnet/efcore/issues/17839
HasDefaultvalue() for interfaces/generics,,https://github.com/dotnet/efcore/issues/17780
Query: Translate List.Exists,,https://github.com/dotnet/efcore/issues/17762
DateTime.AddX failure,,https://github.com/dotnet/efcore/issues/17507
Add XML docs referencing how to determine the default CommandTimeout,,https://github.com/dotnet/efcore/issues/17503
Translate `as` in where clause,,https://github.com/dotnet/efcore/issues/17475
Entity comments overwrites property comments,,https://github.com/dotnet/efcore/issues/17474
Translate Queryable.Reverse,,https://github.com/dotnet/efcore/issues/17388
Contains on generic IList/HashSet/ImmutableHashSet will throw exception,,https://github.com/dotnet/efcore/issues/17342
[Perf] SqliteConnection lazy initialization,,https://github.com/dotnet/efcore/issues/17271
Sqlite Support translation of ToString,,https://github.com/dotnet/efcore/issues/17223
please add feature `DateDiffWeek` extension for mssql,,https://github.com/dotnet/efcore/issues/17170
Add hook to allow actions on the context after it is leased/returned from/to the pool,,https://github.com/dotnet/efcore/issues/17086
3.0 Preview 7: ConnectionMode to Cosmos DB is hard-coded to Direct,,https://github.com/dotnet/efcore/issues/16842
Sqlite Migrations: Support HasComment(),,https://github.com/dotnet/efcore/issues/16820
Allow DefaultValueSql when using ForSqlServerUseSequenceHiLo,,https://github.com/dotnet/efcore/issues/16814
Create resource strings for exception messages,,https://github.com/dotnet/efcore/issues/16712
Interception tests don't normalize SQL,,https://github.com/dotnet/efcore/issues/16701
SQLITE: EXPLAIN requires adding values for all query's parameters,,https://github.com/dotnet/efcore/issues/16647
Indexes on hidden fields breaks scaffolding,,https://github.com/dotnet/efcore/issues/16316
Add Clone or With methods to AlterColumnOperation,,https://github.com/dotnet/efcore/issues/16224
Implement events for before and after SaveChanges,,https://github.com/dotnet/efcore/issues/15910
Make MigrationsModelDiffer:ToReferentialAction protected rather than private,,https://github.com/dotnet/efcore/issues/15828
dotnet-ef: Consider showing output that the project is building,,https://github.com/dotnet/efcore/issues/15787
Consider allowing table mapping by attribute on the `DbSet`,,https://github.com/dotnet/efcore/issues/15748
Allow users to check connection string used by database update operation,,https://github.com/dotnet/efcore/issues/15689
[REVENG] Unblock scaffolding of Azure SQL DW,,https://github.com/dotnet/efcore/issues/15487
"Consider translating `System.Math.Round(double, MidpointRounding)`",,https://github.com/dotnet/efcore/issues/15427
Migrations: CHECK enum columns,,https://github.com/dotnet/efcore/issues/15411
RevEng: Check constraint,,https://github.com/dotnet/efcore/issues/15408
Allow `DeleteBehavior` to be reset to the default,,https://github.com/dotnet/efcore/issues/15295
DBFunctions.CreateDateTime,,https://github.com/dotnet/efcore/issues/15283
migrations are too aggressive on RenameColumn,,https://github.com/dotnet/efcore/issues/15178
Unstable sort for Correlated_collection_with_top_level_FirstOrDefault test,,https://github.com/dotnet/efcore/issues/15164
Automatically add query tags to warnings/exceptions,,https://github.com/dotnet/efcore/issues/15127
