Issue Description,Assignees to the Issue,Link
Deprecate & remove undocumented alternatives to the nodes hot threads API,,https://github.com/elastic/elasticsearch/issues/52640
Remove support for delaying state recovery pending master nodes,,https://github.com/elastic/elasticsearch/issues/51806
Add 'monitor_snapshot' cluster privilege,,https://github.com/elastic/elasticsearch/issues/50210
GET _cat/nodes?local is not completely local,,https://github.com/elastic/elasticsearch/issues/50088
Security should not reload files that haven't changed ,,https://github.com/elastic/elasticsearch/issues/50063
Prevent illegal `max_query_terms` values in MLT query,,https://github.com/elastic/elasticsearch/issues/49927
logs about updating IndexSetting should be more detailed,,https://github.com/elastic/elasticsearch/issues/49818
Add standard deviation / variance sampling to extended stats aggregation,,https://github.com/elastic/elasticsearch/issues/49554
[ML] Job message for deleted results not formatted correctly,,https://github.com/elastic/elasticsearch/issues/49549
Rewrite queries on unmapped fields as MatchNoDocsQueryBuilder,,https://github.com/elastic/elasticsearch/issues/49254
Java-REST-Client NodeSniffer Fails parsing publish_address properly,,https://github.com/elastic/elasticsearch/issues/48950
Add query cache hit count and field data cache hit count to rest API ,,https://github.com/elastic/elasticsearch/issues/48645
Pure disjunctions should rewrite to a MatchNoneQueryBuilder when all clauses are instances of MatchNoneQueryBuilder,,https://github.com/elastic/elasticsearch/issues/48475
Refactor and DRY up Kahan Sum algorithm,,https://github.com/elastic/elasticsearch/issues/48469
[ML] Remove ToXContentParams.INCLUDE_TYPE,,https://github.com/elastic/elasticsearch/issues/48057
Rest only High Level APIs completeness,,https://github.com/elastic/elasticsearch/issues/47678
Feature Request - query/fetch/scroll failure count stats,,https://github.com/elastic/elasticsearch/issues/46641
SQL: Extend DATE_TRUNC to also operate on intervals,,https://github.com/elastic/elasticsearch/issues/46632
high level rest client count request fails with 400 Bad Request,,https://github.com/elastic/elasticsearch/issues/46446
HLRC: allow to run delete by query with wait_for_completion=true,,https://github.com/elastic/elasticsearch/issues/46395
shouldStoreResult is not set correctly,,https://github.com/elastic/elasticsearch/issues/46350
[DOCS] Link Snapshot and Restore and SLM together,,https://github.com/elastic/elasticsearch/issues/44588
high level REST client allows for a wrong operation with scroll API,,https://github.com/elastic/elasticsearch/issues/44493
Optimize Min and Max BKD optimizations :),,https://github.com/elastic/elasticsearch/issues/44290
Allow adjustment of index resource constraints in ILM phase transitions,,https://github.com/elastic/elasticsearch/issues/44070
Reindex Task ignores slices configuration in client API,,https://github.com/elastic/elasticsearch/issues/44045
Add explanation of relocating shard state.,,https://github.com/elastic/elasticsearch/issues/43244
Add null check for ParentJoinFieldMapper in ChildrenAggregationBuilder.joinFieldResolveConfig,,https://github.com/elastic/elasticsearch/issues/42997
MTermVector Java High Level Client Misses Fields Property,,https://github.com/elastic/elasticsearch/issues/42232
NullPointerException when creating a watch with Jira action,,https://github.com/elastic/elasticsearch/issues/41922
[DOCS] Update text for chunk size,,https://github.com/elastic/elasticsearch/issues/41591
Add best_compression back to ILM policy,,https://github.com/elastic/elasticsearch/issues/41274
A cluster with no data nodes or indices reports YELLOW health when an index is created.,,https://github.com/elastic/elasticsearch/issues/41073
`cluster_block_exception` should contain the read-only index name,,https://github.com/elastic/elasticsearch/issues/40870
"Percolate query ignores ""name"" parameter",,https://github.com/elastic/elasticsearch/issues/40405
Remove disable Xlint warning from gradle files.,,https://github.com/elastic/elasticsearch/issues/40366
[CI] JobResultsProviderIT testMultipleSimultaneousJobCreations fails,,https://github.com/elastic/elasticsearch/issues/40134
High level REST client parameters look wrong due indirectness and side effects,,https://github.com/elastic/elasticsearch/issues/39666
Reset max_retries counter before executing routing commands,,https://github.com/elastic/elasticsearch/issues/39546
"Can't create anomaly detector that uses ""_index"" as ""partition_field_name""",,https://github.com/elastic/elasticsearch/issues/39406
Index Lifecycle Management does not have a lower bound on poll_interval,,https://github.com/elastic/elasticsearch/issues/39163
Cannot apply settings to all indices,,https://github.com/elastic/elasticsearch/issues/38964
Reindex can ignore op_type create when using external version,,https://github.com/elastic/elasticsearch/issues/37855
LLRC can throw an IllegalCapacityException when selecting nodes.,,https://github.com/elastic/elasticsearch/issues/37739
Inner_hits in should clauses override each other,,https://github.com/elastic/elasticsearch/issues/37584
Invalid variance computed in extended_stats aggregation,,https://github.com/elastic/elasticsearch/issues/37303
Deprecate/remove common_terms query and cutoff_frequency,,https://github.com/elastic/elasticsearch/issues/37096
BUG: Negative value is successfully set for “discovery.zen.commit_timeout” parameter ,,https://github.com/elastic/elasticsearch/issues/36632
bucket_sort aggregation misplace the first bucket,,https://github.com/elastic/elasticsearch/issues/36322
Ingest: Grok: duplicate patterns JAVACLASS and JAVAFILE,,https://github.com/elastic/elasticsearch/issues/35699
LocalExporter leaks a licence state listener,,https://github.com/elastic/elasticsearch/issues/35627
Delete index Java REST API request throws NPE while parsing DeleteResponse,,https://github.com/elastic/elasticsearch/issues/35297
Documentation of elasticsearch-certutil is wrong for parameter --pass,,https://github.com/elastic/elasticsearch/issues/35285
[ML] GetJobStatsAction does not match open jobs correctly,,https://github.com/elastic/elasticsearch/issues/34745
Replace groovy build-tools (buildSrc) with java,,https://github.com/elastic/elasticsearch/issues/34459
Prevent import of dangling indices from a later version,,https://github.com/elastic/elasticsearch/issues/34264
"Introduce ""good first issue"" tags for new contributors",,https://github.com/elastic/elasticsearch/issues/33385
CompletionFieldMapper should ignore null values,,https://github.com/elastic/elasticsearch/issues/33200
[ML] Change close job API to accept payload body vs just query params,,https://github.com/elastic/elasticsearch/issues/32989
Make 0 as invalid value for `min_children` in `has_child` query,,https://github.com/elastic/elasticsearch/issues/32949
"Documentation claims ""index.translog.sync_interval"" is dynamic, but it can not be set dynamically",,https://github.com/elastic/elasticsearch/issues/32763
Limit the number of context mappings,,https://github.com/elastic/elasticsearch/issues/32741
Watcher: croneval tool prints error on valid one time expression,,https://github.com/elastic/elasticsearch/issues/32735
a little error about SearchType,,https://github.com/elastic/elasticsearch/issues/32631
Logging: Clean up logger building,,https://github.com/elastic/elasticsearch/issues/32174
"CCE when re-throwing ""shard not available"" exception in TransportShardMultiGetAction",,https://github.com/elastic/elasticsearch/issues/32173
"Forbid negative values for ""weight""  in Function Score Query",,https://github.com/elastic/elasticsearch/issues/31927
Scroll API fails to apply Rescore query,,https://github.com/elastic/elasticsearch/issues/31775
[ML] Adding an open job to a group does not update autodetect with related scheduled events ,,https://github.com/elastic/elasticsearch/issues/31651
Improve terms aggregation example,,https://github.com/elastic/elasticsearch/issues/31592
certutil: large passwords not set,,https://github.com/elastic/elasticsearch/issues/30944
Add test for QueryExplanation serialization backwards compatibility ,,https://github.com/elastic/elasticsearch/issues/30405
More Like This queries return 0 results if field in source document has 0 tokens in analyzed field,,https://github.com/elastic/elasticsearch/issues/30148
Remove support for 2x role formats,,https://github.com/elastic/elasticsearch/issues/30104
Improve JavaDoc on SecurityClient,,https://github.com/elastic/elasticsearch/issues/30077
SQL: JDBC should validate existance of SQL url,,https://github.com/elastic/elasticsearch/issues/30009
Security: Migrate tool throws a NPE when not using a password,,https://github.com/elastic/elasticsearch/issues/29847
[ML] Revisit Default Primary Shard Counts,,https://github.com/elastic/elasticsearch/issues/29841
Log REST target with 403,,https://github.com/elastic/elasticsearch/issues/29714
"More Like This Queries should error when Routing Set to ""required"" and no routing is supplied",,https://github.com/elastic/elasticsearch/issues/29678
TopHitsAggregation should honor `index.max_result_window`,,https://github.com/elastic/elasticsearch/issues/29190
Fail shard if IndexShard#storeStats runs into an IOException,,https://github.com/elastic/elasticsearch/issues/29008
ThrottlingAllocationDecider outgoing message's nodeid is wrong,,https://github.com/elastic/elasticsearch/issues/28777
composite aggregation as child aggregation,,https://github.com/elastic/elasticsearch/issues/28611
GCP Discovery Plugin instructions using deprecated util,,https://github.com/elastic/elasticsearch/issues/28523
Elastic search documentation about merge scheduling does not explicitly state that `index.merge.scheduler.max_thread_count` is a shard level property,,https://github.com/elastic/elasticsearch/issues/28518
Expose age of oldest entry in the translog,,https://github.com/elastic/elasticsearch/issues/28189
Stored script related docs of Java API are outdated,,https://github.com/elastic/elasticsearch/issues/28144
AggregationBuilder related docs of Java API are outdated,,https://github.com/elastic/elasticsearch/issues/28143
StringTerms.Bucket.getKeyAsNumber should detect integers,,https://github.com/elastic/elasticsearch/issues/28012
UpdateRequest need toString(),,https://github.com/elastic/elasticsearch/issues/27986
Field Collapsing: Version is not visible for inner_hits,,https://github.com/elastic/elasticsearch/issues/27822
Improve error message for whitespace-only JSON field names,,https://github.com/elastic/elasticsearch/issues/27701
Include original index name (if renamed during restore) in snapshot restore exceptions,,https://github.com/elastic/elasticsearch/issues/27601
Remove `index.optimize_auto_generated_id`,,https://github.com/elastic/elasticsearch/issues/27583
Remove `index.ttl.disable_purge`,,https://github.com/elastic/elasticsearch/issues/27582
ec2-discovery plugin document is not accurate.,,https://github.com/elastic/elasticsearch/issues/27464
Normalizer doesn’t like trim filter,,https://github.com/elastic/elasticsearch/issues/27310
Fix RestGetAction name typo,,https://github.com/elastic/elasticsearch/pull/27266
SnapshotShardsService should use TransportMasterNodeAction for shard status updates,,https://github.com/elastic/elasticsearch/issues/27151
Dangling indices living in non-data nodes are detected and auto-imported,,https://github.com/elastic/elasticsearch/issues/27073
NullPointerException on `/_cat/indices` when cluster RED,,https://github.com/elastic/elasticsearch/issues/26942
Simplify underscore requirements in parameters,,https://github.com/elastic/elasticsearch/issues/26886
Upgrade ANTLR to 4.5.3,,https://github.com/elastic/elasticsearch/issues/26834
"Why the response status of the error ""Result window is too large"" is 500?",,https://github.com/elastic/elasticsearch/issues/26799
Range queries on range fields accept `relation: disjoint` but treat it as `relation: intersects`,,https://github.com/elastic/elasticsearch/issues/26575
Add support for querying on range fields in query_string and simple_query_string queries,,https://github.com/elastic/elasticsearch/issues/26555
Typo in date format,,https://github.com/elastic/elasticsearch/issues/26500
Should search preference _primary take primary relocation target into account?,,https://github.com/elastic/elasticsearch/issues/26335
docvalue_fields support wildcard?,,https://github.com/elastic/elasticsearch/issues/26299
[DOCS] Docs show invalid syntax for index/_settings filtering,,https://github.com/elastic/elasticsearch/issues/26223
Histogram Aggregation for values of long type,,https://github.com/elastic/elasticsearch/issues/26122
[docs] Clarify remote reindex api documentation to indicate that slicing isn't available,,https://github.com/elastic/elasticsearch/issues/26114
Bulk API in High Level Rest Client does not support global parameters,,https://github.com/elastic/elasticsearch/issues/26026
Remove the coerce option on numeric fields.,,https://github.com/elastic/elasticsearch/issues/25861
Add a wait for no intializing shards parameter to cluster health,,https://github.com/elastic/elasticsearch/issues/25623
Behaviour of auto fuzziness should be configurable,,https://github.com/elastic/elasticsearch/issues/25528
[docs] Document max_snapshot_bytes_per_sec and max_restore_bytes_per_sec as available settings for S3 repositories,,https://github.com/elastic/elasticsearch/issues/25522
_cluster/reroute?retry_failed only allocates number of shards permitted by node_concurrent_*_recoveries,,https://github.com/elastic/elasticsearch/issues/25291
Add a softlimit to the number of open scroll contexts per node,,https://github.com/elastic/elasticsearch/issues/25244
Create api-conventions.asciidoc,,https://github.com/elastic/elasticsearch/pull/25217
Get all search templates/scripts,,https://github.com/elastic/elasticsearch/issues/25179
Explain where to get path for translog recovery action,,https://github.com/elastic/elasticsearch/issues/24929
null pointer exception with token_count data type and indexing a null value,,https://github.com/elastic/elasticsearch/issues/24928
Update by query should support short script form and `doc`,,https://github.com/elastic/elasticsearch/issues/24898
Refreshes caused by realtime gets are not counted in the refresh stats,,https://github.com/elastic/elasticsearch/issues/24806
5.4+ Add note in docs for users to prefer `word_delimiter_graph` over `word_delimiter`,,https://github.com/elastic/elasticsearch/issues/24665
Hour of the day/Day of the week/Week of the month/Month of the year aggregation,,https://github.com/elastic/elasticsearch/issues/24660
Deprecate the Tribe node,,https://github.com/elastic/elasticsearch/issues/24581
Remove `discovery.type` BWC layer from the EC2/Azure/GCE plugins,,https://github.com/elastic/elasticsearch/issues/24543
Not all meta fields in _source print a nice error,,https://github.com/elastic/elasticsearch/issues/24422
Fast vector highlighting span queries for nested documents,,https://github.com/elastic/elasticsearch/issues/24318
Clear scroll API should support single scroll ID,,https://github.com/elastic/elasticsearch/issues/24233
rollover `max_docs` uses doc count from both primary and replica/s,,https://github.com/elastic/elasticsearch/issues/24217
Doc: Clarify count for index.mapping.total_fields.limit,,https://github.com/elastic/elasticsearch/issues/24096
POST-ing to /_all/_open and /_all/_close break wildcard expansion,,https://github.com/elastic/elasticsearch/issues/24031
Wrong behaviour deleting alias.,,https://github.com/elastic/elasticsearch/issues/23960
Deprecate `:` in cluster and index names,,https://github.com/elastic/elasticsearch/issues/23892
